Author,Max birth date,Sample,Mentions
Sénèque,-0004,Basnage,7
Sénèque,-0004,Berault,2
Sénèque,-0004,Merville,2
Sénèque,-0004,Pesnelle,1
Sénèque,-0004,Terrien,1
Caius Velleius Paterculus,-0019,Berault,1
Philon d'Alexandrie,-0030,Basnage,3
Labéon,-0050,Basnage,10
Labéon,-0050,Berault,3
Labéon,-0050,Terrien,1
Tite-Live,-0059,Basnage,2
Tite-Live,-0059,Berault,2
Horace,-0065,Basnage,1
Horace,-0065,Terrien,3
Virgile,-0070,Basnage,5
Virgile,-0070,Berault,1
Virgile,-0070,Pesnelle,1
Virgile,-0070,Terrien,3
Pompée,-0075,Basnage,1
Salluste,-0086,Basnage,3
Salluste,-0086,Berault,1
Catulle,-0087,Basnage,2
Caton,-0090,Basnage,4
Caton,-0090,Berault,1
Diodore de Sicile,-0090,Basnage,4
Diodore de Sicile,-0090,Berault,1
Caton,-0090,Basnage,4
Caton,-0090,Berault,1
Diodore de Sicile,-0090,Basnage,4
Diodore de Sicile,-0090,Berault,1
Jules César,-0100,Basnage,5
Jules César,-0100,Berault,3
Jules César,-0100,Pesnelle,1
Jules César,-0100,Terrien,2
Cicéron,-0106,Basnage,18
Cicéron,-0106,Berault,11
Cicéron,-0106,Pesnelle,2
Cicéron,-0106,Terrien,41
Térence,-0190,Basnage,6
Térence,-0190,Berault,1
Scipion l'Africain,-0235,Basnage,4
Quintus Ennius,-0239,Basnage,1
Plaute,-0254,Basnage,6
Plaute,-0254,Berault,2
Plaute,-0254,Terrien,1
Aristote,-0384,Basnage,13
Aristote,-0384,Berault,6
Aristote,-0384,Terrien,8
Lycurgue,-0390,Basnage,1
Platon,-0427,Basnage,10
Platon,-0427,Berault,9
Platon,-0427,Terrien,3
Xénophon,-0430,Basnage,2
Xénophon,-0430,Terrien,1
Aristophane,-0445,Basnage,1
Hippocrate,-0460,Basnage,2
Thucydide,-0460,Basnage,2
Hippocrate,-0460,Basnage,2
Thucydide,-0460,Basnage,2
Hérodote,-0484,Basnage,1
Hérodote,-0484,Berault,2
Solon,-0640,Basnage,7
Solon,-0640,Berault,8
Solon,-0640,Terrien,1
Homère,-0800,Basnage,4
Homère,-0800,Berault,3
Homère,-0800,Terrien,1
Tiberius Catius Silius Italicus,0025,Basnage,1
Quintilien,0030,Basnage,3
Quintilien,0030,Berault,1
Quintilien,0030,Terrien,1
Martial,0040,Basnage,2
Martial,0040,Terrien,2
Plutarque,0046,Basnage,3
Plutarque,0046,Berault,14
Plutarque,0046,Pesnelle,1
Plutarque,0046,Terrien,8
Tacite,0055,Basnage,9
Tacite,0055,Berault,7
Tacite,0055,Pesnelle,5
Tacite,0055,Terrien,2
Pline le Jeune,0061,Basnage,6
Pline le Jeune,0061,Berault,6
Pline le Jeune,0061,Terrien,13
Denis d'Halicarnasse,0069,Basnage,6
Denis d'Halicarnasse,0069,Berault,5
Denis d'Halicarnasse,0069,Terrien,2
Suétone,0069,Basnage,6
Suétone,0069,Berault,5
Suétone,0069,Terrien,2
Denis d'Halicarnasse,0069,Basnage,6
Denis d'Halicarnasse,0069,Berault,5
Denis d'Halicarnasse,0069,Terrien,2
Suétone,0069,Basnage,6
Suétone,0069,Berault,5
Suétone,0069,Terrien,2
Clément I,0099,Basnage,11
Clément I,0099,Berault,3
Clément I,0099,Pesnelle,1
Clément I,0099,Terrien,6
Lucius NeratiusPriscus,0099,Basnage,11
Lucius NeratiusPriscus,0099,Berault,3
Lucius NeratiusPriscus,0099,Pesnelle,1
Lucius NeratiusPriscus,0099,Terrien,6
Quinte-Curce,0099,Basnage,11
Quinte-Curce,0099,Berault,3
Quinte-Curce,0099,Pesnelle,1
Quinte-Curce,0099,Terrien,6
Paul (saint),0099,Basnage,11
Paul (saint),0099,Berault,3
Paul (saint),0099,Pesnelle,1
Paul (saint),0099,Terrien,6
Clément I,0099,Basnage,11
Clément I,0099,Berault,3
Clément I,0099,Pesnelle,1
