ID,Auteur,Naissance (min),Naissance (max),Mort (min),Mort (max),Témoin,size,Localisation,Thème
ambroise,Ambroise (0340?-0397 ; saint),340,340,397,397,1678 - Basnage,4,coutume > DE SUCCESSIONS EN PROPRE > CCXXXV. Temps et acte de l ’ adition d ’ heredité.,successions
ambroise,Ambroise (0340?-0397 ; saint),340,340,397,397,1678 - Basnage,1,coutume > DU DOUAIRE. > CCCLXIX. Femme quand a doüaire sur les biens du pere et ayeul de son mary.,douaire
ambroise,Ambroise (0340?-0397 ; saint),340,340,397,397,1614 - Bérault,1,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY. > DE DONATIONS. > CCCCXXXIIII.",successions
ambroise,Ambroise (0340?-0397 ; saint),340,340,397,397,1614 - Bérault,1,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY. > DE SVCCESSION EN PROPRE ET ANCIEN PATRIMOINE TANT EN ligne directe que collaterale. > introduction",successions
ambroise,Ambroise (0340?-0397 ; saint),340,340,397,397,1578 - Terrien,1,"LIVRE QVATRIEME. QVI EST DES DROICTS ET DEMAIne du Roy, et de la chose publique. > Des pauures et mandiens valides. Chap. XXVII. > Henry 1556.",société
ammian,Ammien Marcellin (0330?-0400?),330,330,395,395,1678 - Basnage,2,"coutume > DE SUCCESSION EN PROPRE AU BAILLIAGE DE CAUX, ET AUTRES LIEUX TENANS NATURE D ’ ICELUY. > introduction",successions
ammian,Ammien Marcellin (0330?-0400?),330,330,395,395,1614 - Bérault,1,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY. > TITRE DE JURISDICTION. > XXIII.",justice
anast,Anastase I (0431?-0518 ; empereur d'Orient),431,431,518,518,1678 - Basnage,2,coutume > DE SUCCESSIONS EN PROPRE > CCXXXV. Temps et acte de l ’ adition d ’ heredité.,successions
anast,Anastase I (0431?-0518 ; empereur d'Orient),431,431,518,518,1614 - Bérault,1,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY. > DE BRIEF DE MARIAGE ENCOMBRÉ. > V. C. XXXVIII.",mariage
antipater,antipater,-99,1,1,99,1678 - Basnage,1,coutume > DES FIEFS ET DROITS FEODAUX > CCX. Nouvelle construction de pescherie et moulin.,société
appius-claudius,appius-claudius,-399,-300,-299,-200,1614 - Bérault,1,<front> > AVANT-PROPOS AU LECTEUR > ,matière liminaire
