ID,Auteur,BnF,IdRef,Naissance (min),Naissance (max),Mort (min),Mort (max),N°,Témoin,Contexte G,Mention,Contexte D,Paragraphe,Partie,Chapitre,Section
seneca,Sénèque (0004 av. J.-C.-0065),http://data.bnf.fr/ark:/12148/cb11887555p,http://www.idref.fr/026670984/id,-0004,-0004,0065,0065,1,basnage,"Ceux qui ne sont point de cette Province, et qui ne sçavent point l ’ origine et l ’ usage de nôtre Haro, se persuadent que c ’ est une chimere, nomen quod ab enigmaie nihil discrepat, nec unquam videtur, nec in rebus apparet, comme parloit autrefois Justinien de jure Quiritium, en la I. unique C. de nudo jure Qujrit. toll. que cela procede d ’ une habitude naturelle à tous ceux qui ont quelque démélé, usque adeo naturale est paulatim incitari : ut litigantes quoque à sermone incipiant, ud vociferationem transeant :",Seneca,"Ep. 15. l. 2. Voyez Pithou sur la loy Salique, t. 40. de Caballis furatis. Quelques-uns pensent que ce mot vient d ’ Harouenna, qui signifioit en vieux François le lieu où se tenoit la Justice ; comme si celuy qui crie Haro, appelloit sa partie à l ’ Harouenne ou lieu de Justice, pour avoir raison du tort qu ’ on luy fait : Du Chesne Chesne en son histoire histoire d ’ Anglet. 1. 7. c. 12.","Ceux qui ne sont point de cette Province, et qui ne sçavent point l ’ origine et l ’ usage de nôtre Haro, se persuadent que c ’ est une chimere, nomen quod ab enigmaie nihil discrepat, nec unquam videtur, nec in rebus apparet, comme parloit autrefois Justinien de jure Quiritium, en la I. unique C. de nudo jure Qujrit. toll. que cela procede d ’ une habitude naturelle à tous ceux qui ont quelque démélé, usque adeo naturale est paulatim incitari : ut litigantes quoque à sermone incipiant, ud vociferationem transeant : Seneca Ep. 15. l. 2. Voyez Pithou sur la loy Salique, t. 40. de Caballis furatis. Quelques-uns pensent que ce mot vient d ’ Harouenna, qui signifioit en vieux François le lieu où se tenoit la Justice ; comme si celuy qui crie Haro, appelloit sa partie à l ’ Harouenne ou lieu de Justice, pour avoir raison du tort qu ’ on luy fait : Du Chesne Chesne en son histoire histoire d ’ Anglet. 1. 7. c. 12.",coutume,DE HARO.,introduction
seneca,Sénèque (0004 av. J.-C.-0065),http://data.bnf.fr/ark:/12148/cb11887555p,http://www.idref.fr/026670984/id,-0004,-0004,0065,0065,2,basnage,"La Coûtume qui punit indistinctement ceux qui se sont défaits eux-mêmes, quand ils ne se sont point portez à cet attentat par la force d ’ une maladie ou d ’ une frenesie, ou par quelqu ’ autre accident, n ’ auroit pas été approuvée par les Philosophes Stoiques, Si necessitates ulti-mae inciderint, jamdudum exiliet e vita et molestuis sibi esse destinet.",Seneca,", Ep. 11. Le sentiment d Aristote ’ étoit plus conforme au Christianisme : Il estimoit qu ’ il étoit plus genereux de soûtenir les coups de la mauvaise fortune, que d ’ abandonner la vie par desespoir et par la crainte du mal : Fortium virorum est magis mortem contemnere quam odisse vitam. Quint. Curtius 1. et Tacit. l. 3. Hist. majore animo tolerari adversa quâm relinqui, fortes et strenuos etiam contra fortunam insistere spei, timidos. & ignavos ad desperationem formidine properare La Loy civil n ’ ordonnoit aucune punition que contre ceux qui se défaisoient eux, mêmes, étant prévenus de crime, siquis non metu criminis imminentis, sed tadio vitae vel impatientiâ doloris violentas manus sibi intulit, ejus testamentum aperiri & recitari mortis casus non impedit, l. 1. 8. iquis non metu. D. de Senat. Syllan. La pauvreté est la cause la plus ordinaire qui porte les hommes à racourcir leurs jours : Martial dans une Epigramme raille agreablement un Stoique, n luy reprochant que sa misere, plûtost que sa generosité, luy faisoit mépriser la mort.","La Coûtume qui punit indistinctement ceux qui se sont défaits eux-mêmes, quand ils ne se sont point portez à cet attentat par la force d ’ une maladie ou d ’ une frenesie, ou par quelqu ’ autre accident, n ’ auroit pas été approuvée par les Philosophes Stoiques, Si necessitates ulti-mae inciderint, jamdudum exiliet e vita et molestuis sibi esse destinet. Seneca, Ep. 11. Le sentiment d Aristote ’ étoit plus conforme au Christianisme : Il estimoit qu ’ il étoit plus genereux de soûtenir les coups de la mauvaise fortune, que d ’ abandonner la vie par desespoir et par la crainte du mal : Fortium virorum est magis mortem contemnere quam odisse vitam. Quint. Curtius 1. et Tacit. l. 3. Hist. majore animo tolerari adversa quâm relinqui, fortes et strenuos etiam contra fortunam insistere spei, timidos. & ignavos ad desperationem formidine properare La Loy civil n ’ ordonnoit aucune punition que contre ceux qui se défaisoient eux, mêmes, étant prévenus de crime, siquis non metu criminis imminentis, sed tadio vitae vel impatientiâ doloris violentas manus sibi intulit, ejus testamentum aperiri & recitari mortis casus non impedit, l. 1. 8. iquis non metu. D. de Senat. Syllan. La pauvreté est la cause la plus ordinaire qui porte les hommes à racourcir leurs jours : Martial dans une Epigramme raille agreablement un Stoique, n luy reprochant que sa misere, plûtost que sa generosité, luy faisoit mépriser la mort.",coutume,DES FIEFS ET DROITS FEODAUX,CXLIX.
seneca,Sénèque (0004 av. J.-C.-0065),http://data.bnf.fr/ark:/12148/cb11887555p,http://www.idref.fr/026670984/id,-0004,-0004,0065,0065,3,basnage,"Plusieurs ont crû que l ’ usage en êtoit inconnu dans l ’ ancienne Rome, et que l ’ on chercheroit inutilement dans le droit Romain des décisions sur cette matière. De moletrinarum jure, dit M ’ d ’ Argentré, nihil est veteri jurisprudentiâ cautum, in Praf. Ad Tit. (des Moulins et Colomb. 3a de la Coûtume de Bretagne. En effet dans le Digeste il est seulement parlé de ces meules u ’ ils appeloient trusatiles et manuarias, que manibus versabantur, et à l ’ usage desquelles on a mployoit des esclaves ou de pauvres gens : et Aulus-Gelle, l. 3. c. 3. Noctium Attic. remarque que Plaute, cet esprit si delicat, ayant perdu ce qu ’ il avoit gagné à faire des Comedies, fut reduit à ce facheux exercice pour gagner sa vie. On employoit neanmoins principalement à ce travail les asnes et les chevaux inutiles, et alors on les appeloit molas asinarias, et jumentarias : Et",Servius,", sur Virgile, assure que les anciens ne s ’ en servoient point, mais qu ’ ils rôtissoient leurs trains, et puis les piloient, suivant ces Vers de Virgile, dans le premier Livre de l ’ Eneide.","Plusieurs ont crû que l ’ usage en êtoit inconnu dans l ’ ancienne Rome, et que l ’ on chercheroit inutilement dans le droit Romain des décisions sur cette matière. De moletrinarum jure, dit M ’ d ’ Argentré, nihil est veteri jurisprudentiâ cautum, in Praf. Ad Tit. (des Moulins et Colomb. 3a de la Coûtume de Bretagne. En effet dans le Digeste il est seulement parlé de ces meules u ’ ils appeloient trusatiles et manuarias, que manibus versabantur, et à l ’ usage desquelles on a mployoit des esclaves ou de pauvres gens : et Aulus-Gelle, l. 3. c. 3. Noctium Attic. remarque que Plaute, cet esprit si delicat, ayant perdu ce qu ’ il avoit gagné à faire des Comedies, fut reduit à ce facheux exercice pour gagner sa vie. On employoit neanmoins principalement à ce travail les asnes et les chevaux inutiles, et alors on les appeloit molas asinarias, et jumentarias : Et Servius, sur Virgile, assure que les anciens ne s ’ en servoient point, mais qu ’ ils rôtissoient leurs trains, et puis les piloient, suivant ces Vers de Virgile, dans le premier Livre de l ’ Eneide.",coutume,DES FIEFS ET DROITS FEODAUX,CCX. Nouvelle construction de pescherie et moulin.
seneca,Sénèque (0004 av. J.-C.-0065),http://data.bnf.fr/ark:/12148/cb11887555p,http://www.idref.fr/026670984/id,-0004,-0004,0065,0065,4,basnage,"Cette regle, paterna paternis, est contraire au droit Romaifi, et de la manière que nous le pratiquons elle est encore opposée à beaucoup de Coûtumes de France. Les Romains ne connoissoient point cette distinction de propres paternels et maternels, simul illud sciebant nullam esse gentem prediorum. Cic. pro Celio. Par la Loy des douze Tables proximus agnatus familiam abebar, elle ne consideroit point de quel côté les biens étoient procedez, et lans distinction. de ligne les plus proches parens succedoient par égales portions. Justinien commença de faire quelque différence entre les biens paternels et maternels, l. emancipatis C. de suis et leg. hered. ult. C. communio de succ. et Tit. de bonis maternis & materni generis. C. Mais aux successions cette difference de biens paternels et maternels ne s ’ étendoit pas fort loin ; comme on l ’ apprend des mêmes loix ; on ne reputoit pas même bien maternel tout ce que la femme posse-loit ou qui luy êtoit provenu de ses parens collateraux ; il y avoit de la differefice inter bona naterna, et materni genenis, comme le titre le montre, materna sunt que mater dedit vel reliquit : Materni generis sunt quae aous et proavus maternus, que avia aut proavia. Cujac. ad hunt titulum, ce qui étoit donné par u oncle maternel n ’ étoit pas censé maternel, et le pere sucredoit à cela comme aux autres biens de son fils. Cambolas, l. 5. c. 45. ut bona paterna patri-nonium sint, bona materna matrimonium",Seneca,". Succ. et alii. Cette manière de succeder par igne n ’ étoit pas neanmoins entièrement inconnuë parmy les Romains, comme les Docteurs sont remarqué sur l ’ Authentique, itaque communia de Succ. c. Et Pontanus sur l ’ Article 152. de la Coûtume de Blois.","Cette regle, paterna paternis, est contraire au droit Romaifi, et de la manière que nous le pratiquons elle est encore opposée à beaucoup de Coûtumes de France. Les Romains ne connoissoient point cette distinction de propres paternels et maternels, simul illud sciebant nullam esse gentem prediorum. Cic. pro Celio. Par la Loy des douze Tables proximus agnatus familiam abebar, elle ne consideroit point de quel côté les biens étoient procedez, et lans distinction. de ligne les plus proches parens succedoient par égales portions. Justinien commença de faire quelque différence entre les biens paternels et maternels, l. emancipatis C. de suis et leg. hered. ult. C. communio de succ. et Tit. de bonis maternis & materni generis. C. Mais aux successions cette difference de biens paternels et maternels ne s ’ étendoit pas fort loin ; comme on l ’ apprend des mêmes loix ; on ne reputoit pas même bien maternel tout ce que la femme posse-loit ou qui luy êtoit provenu de ses parens collateraux ; il y avoit de la differefice inter bona naterna, et materni genenis, comme le titre le montre, materna sunt que mater dedit vel reliquit : Materni generis sunt quae aous et proavus maternus, que avia aut proavia. Cujac. ad hunt titulum, ce qui étoit donné par u oncle maternel n ’ étoit pas censé maternel, et le pere sucredoit à cela comme aux autres biens de son fils. Cambolas, l. 5. c. 45. ut bona paterna patri-nonium sint, bona materna matrimonium Seneca. Succ. et alii. Cette manière de succeder par igne n ’ étoit pas neanmoins entièrement inconnuë parmy les Romains, comme les Docteurs sont remarqué sur l ’ Authentique, itaque communia de Succ. c. Et Pontanus sur l ’ Article 152. de la Coûtume de Blois.",coutume,DE SUCCESSIONS EN PROPRE,CCXLV. Distinction du paternel avec le maternel.
seneca,Sénèque (0004 av. J.-C.-0065),http://data.bnf.fr/ark:/12148/cb11887555p,http://www.idref.fr/026670984/id,-0004,-0004,0065,0065,5,basnage,"Cette succession lugubre des enfans appartient si absolument à leurs peres, qu ’ il n ’ est pas en leur liberté de les en priver ; les peres peuvent exhereder leurs enfans, mais les enfans ne peuvent user de cette rigueur contie leurs peres. Le fils par la nature est debiteur à son pere, et il est permis à un créancier de remettre la dette à son debiteur, mais le debiteur ne peur faire tort à son créancier ; tout ce que le fils dunne à son pere est toûjours moindre que ce qu ’ il a reçû de luy, il luy doit même ce pouvoir et ce moyen qu ’ il a de donner, et le pere ne peut être vaincu par le bien-fait de son fils, quidquid est quod patri dat filius, utique minus est, quia hanc ipsam dandi facudtatem patri debei, numquam beneficio vincitur.",Seneca,de Benef. l. 3. c. 29.,"Cette succession lugubre des enfans appartient si absolument à leurs peres, qu ’ il n ’ est pas en leur liberté de les en priver ; les peres peuvent exhereder leurs enfans, mais les enfans ne peuvent user de cette rigueur contie leurs peres. Le fils par la nature est debiteur à son pere, et il est permis à un créancier de remettre la dette à son debiteur, mais le debiteur ne peur faire tort à son créancier ; tout ce que le fils dunne à son pere est toûjours moindre que ce qu ’ il a reçû de luy, il luy doit même ce pouvoir et ce moyen qu ’ il a de donner, et le pere ne peut être vaincu par le bien-fait de son fils, quidquid est quod patri dat filius, utique minus est, quia hanc ipsam dandi facudtatem patri debei, numquam beneficio vincitur. Seneca de Benef. l. 3. c. 29.",coutume,DES SUCCESSIONS COLLATERALES AUX MEUBLES ET ACQUESTS.,"CCCXXV. L ’ ordre de succeder entre pere et mere, ayeul et ayeule à leurs décendans."
seneca,Sénèque (0004 av. J.-C.-0065),http://data.bnf.fr/ark:/12148/cb11887555p,http://www.idref.fr/026670984/id,-0004,-0004,0065,0065,6,basnage,"On a traité cette question au Parlement de Tolose, si la femme qui s ’ étoit fiancée par paroles de present dans l ’ an de deüil avec l ’ ennemy capital de son mary, perdoit le legs qui luy avoit été fait ; On pretendait que le legs étoit censé revoqué par la seule presomption dont le Jurisconsulte se sert en la l. 2. ff. de di. leg. en laquelle on demande si le legs eft dû au legataire qui est devenu ennemy du Testateur, et si quidem, dit-il, eapitales vel gravissimae injuria intercesserunt, ademptum videtur quod relictum est : Par cette même raison il n ’ y a pas d ’ apparence que si le Testateur eût piévû que sa femme eût épousé son ennemy capital il eût usé de liberalité envers elle : que si dans la Loy 28. Cod. de inoff. testament. une mére se rend indigne de la succession de son fils en se joignant d ’ amitié avec fes ennemis, devesant par cette liaison en quelque façon son ennemie, à plus forte raison une femme est pri-vable du legs qui luy a été fait : par le défunt, puisqu ’ il n ’ y a point de societé plus étroite que celle du mary et de la femme : en se remariant avec l ’ ennemy capital de son mary, elle donnoit sujet de croire qu ’ elle ne l ’ avoit pas regardé en cette qualité durant la vie de son mary, et qu ’ au contraire elle avoit eu de l ’ affection pour luy puisqu ’ elle l ’ avoit épousé dans l ’ an du deuil, et elle ne pouvoit témoigner plus ouvertement qu ’ elle n ’ avoit point aimé son mary qu ’ en faisant paroître à son ennemy qu ’ elle étoit insensible à sa perte. La femme répondoit que bien qu ’ elle se fût fiancée dans l ’ an de son deüil, elle ne devoit pas être privée de son legs, que virum eliget intra id tempus sponsam fuisse non nocet l. solet ff. de his qui nec infam. Sur quoy M ’ Cujas dit, mulierem sponsalitia sibi interim querere posse illesâ existimatione. et qu ’ on luy reprochoit injustement d ’ avoir épousé l ’ ennemy capital de son mary, puisque la Loy du Christianisme ne souffroit pas les inimitiez, et qu ’ elle condamnoit les ressentimens, Cassiod turpe est homini orthodoxo refricare injurias et odiorum sopitos cineres suscitare, Cassiod. de amicitiâ, c. 16. qu ’ il seroit inhumain de faire passer leurs haines jusques dans le tombeau : Clau dantur odia cum sepultis. Les enfans qui succedent à leurs peres ne doivent pas succeder à leurs inimitiez, nihil est iniquius quam aliquem fieri haredem odii patermi,",Senec,". l. 2. Par Arrest du Parlement de Tolose la femme fut privée de son legs ; Cambolas, l. 1. c. 2","On a traité cette question au Parlement de Tolose, si la femme qui s ’ étoit fiancée par paroles de present dans l ’ an de deüil avec l ’ ennemy capital de son mary, perdoit le legs qui luy avoit été fait ; On pretendait que le legs étoit censé revoqué par la seule presomption dont le Jurisconsulte se sert en la l. 2. ff. de di. leg. en laquelle on demande si le legs eft dû au legataire qui est devenu ennemy du Testateur, et si quidem, dit-il, eapitales vel gravissimae injuria intercesserunt, ademptum videtur quod relictum est : Par cette même raison il n ’ y a pas d ’ apparence que si le Testateur eût piévû que sa femme eût épousé son ennemy capital il eût usé de liberalité envers elle : que si dans la Loy 28. Cod. de inoff. testament. une mére se rend indigne de la succession de son fils en se joignant d ’ amitié avec fes ennemis, devesant par cette liaison en quelque façon son ennemie, à plus forte raison une femme est pri-vable du legs qui luy a été fait : par le défunt, puisqu ’ il n ’ y a point de societé plus étroite que celle du mary et de la femme : en se remariant avec l ’ ennemy capital de son mary, elle donnoit sujet de croire qu ’ elle ne l ’ avoit pas regardé en cette qualité durant la vie de son mary, et qu ’ au contraire elle avoit eu de l ’ affection pour luy puisqu ’ elle l ’ avoit épousé dans l ’ an du deuil, et elle ne pouvoit témoigner plus ouvertement qu ’ elle n ’ avoit point aimé son mary qu ’ en faisant paroître à son ennemy qu ’ elle étoit insensible à sa perte. La femme répondoit que bien qu ’ elle se fût fiancée dans l ’ an de son deüil, elle ne devoit pas être privée de son legs, que virum eliget intra id tempus sponsam fuisse non nocet l. solet ff. de his qui nec infam. Sur quoy M ’ Cujas dit, mulierem sponsalitia sibi interim querere posse illesâ existimatione. et qu ’ on luy reprochoit injustement d ’ avoir épousé l ’ ennemy capital de son mary, puisque la Loy du Christianisme ne souffroit pas les inimitiez, et qu ’ elle condamnoit les ressentimens, Cassiod turpe est homini orthodoxo refricare injurias et odiorum sopitos cineres suscitare, Cassiod. de amicitiâ, c. 16. qu ’ il seroit inhumain de faire passer leurs haines jusques dans le tombeau : Clau dantur odia cum sepultis. Les enfans qui succedent à leurs peres ne doivent pas succeder à leurs inimitiez, nihil est iniquius quam aliquem fieri haredem odii patermi, Senec. l. 2. Par Arrest du Parlement de Tolose la femme fut privée de son legs ; Cambolas, l. 1. c. 2",coutume,DU DOUAIRE.,CCCLXXVII.
seneca,Sénèque (0004 av. J.-C.-0065),http://data.bnf.fr/ark:/12148/cb11887555p,http://www.idref.fr/026670984/id,-0004,-0004,0065,0065,7,basnage,"La distinction que la Coûtume fait en cet Article pour regler la qualité de meubles ou d ’ immeubles des poissons est fort ancienne et observée dans plusieurs Coûtumes : Elle est con-forme à la Loy 15. D. de actio. empt. et vend. Canales et fistula adium sunt : pisces autem qui sunt in piscina adium non sunt, nec fundi piscina, signifie ce que nous appellons reservoir, huches et boutiques où l ’ on renferme des poissons pour les vendre, ou pour s ’ en servir à sa com-modité, vivaria piscium in hoc clausa ut tempestatum pericula non adiret gula, et quamois acriori pelago seviente haberet luxuria portus suos, in quibus destinatos piscium greges saginaret, ;",Seneca,Epist. 90,"La distinction que la Coûtume fait en cet Article pour regler la qualité de meubles ou d ’ immeubles des poissons est fort ancienne et observée dans plusieurs Coûtumes : Elle est con-forme à la Loy 15. D. de actio. empt. et vend. Canales et fistula adium sunt : pisces autem qui sunt in piscina adium non sunt, nec fundi piscina, signifie ce que nous appellons reservoir, huches et boutiques où l ’ on renferme des poissons pour les vendre, ou pour s ’ en servir à sa com-modité, vivaria piscium in hoc clausa ut tempestatum pericula non adiret gula, et quamois acriori pelago seviente haberet luxuria portus suos, in quibus destinatos piscium greges saginaret, ; Seneca Epist. 90",coutume,"QUELLES CHOSES SONT CENSÉES MEUBLES, QUELLES CHOSES IMMEUBLES.",CCCCCXX. Poisson comment meuble ou immeuble.
seneca,Sénèque (0004 av. J.-C.-0065),http://data.bnf.fr/ark:/12148/cb11887555p,http://www.idref.fr/026670984/id,-0004,-0004,0065,0065,1,berault,"Le Roy François I. en l ’ an 1539. article 166. ordonna qu ’ il n ’ y auroit plus lieu d ’ immunité pour dettes nymatieres ciuiles, et se pourront prendre toutes personnes estans enfranchise, et sauf à les reintegrer quand y aura prise de cors decernee contre eux sur les informations et qu ’ il soit ainsi ordonné par le iuge : tellement que le delinquant sera pris en lieusaint et dehors, sans toutes fois qu ’ il soit besoin en cas de dette de l ’ ordonnance du iuge : Rebuffi qui traite. amplement de cette matière in tract. immunit. eccles. 2. tom. entend que ceux qui sont pris en franchise, soient reintegrez s ’ il est ainsi ordonné par le iuge. Nicephore liure 13. de l ’ histoire Ecclesiastique dit que du tems de Chrisostome fut publiee vne loy laquelle deffendoit le refuge aux Eglises et permettoit d ’ en tirer le fugit if. Charlemagne aussi ordonna que ceux qui seroyent coulpables de mort, principalement les homicides, ne iouyroyent de frachise zide leg. Franc. lib. 1. cap. 134. Les asyles introduits par le vieil testament pour les homicides fortuits et no pour les assassinats iusques à la venué du nouueau souuerain Pontife Deute. 19. num. 25. ont esté abolis par la venuë du Christianisme. De manière qu ’ il faut tant qu ’ on pourra retrencher telles franchises comme odieuses, de peur de faire vn seandale en la religion Chrestienne, à laquelle on feroit approuuer les impunitez intempestiuam et dolo proximam miseticordiamexercendo, comme dit la l. sinominem ff. ad mand. et esset iniusta misericordia c. estiniusta 2 3. d. 4. non est crudelitas crimina pro deo punire sed pietas c. legi 2 3. 4. 8. nulla, inquit",Seneca,deo gratior victima offerri potest quam anima nocentis. Tacitus ann. 3.,"Le Roy François I. en l ’ an 1539. article 166. ordonna qu ’ il n ’ y auroit plus lieu d ’ immunité pour dettes nymatieres ciuiles, et se pourront prendre toutes personnes estans enfranchise, et sauf à les reintegrer quand y aura prise de cors decernee contre eux sur les informations et qu ’ il soit ainsi ordonné par le iuge : tellement que le delinquant sera pris en lieusaint et dehors, sans toutes fois qu ’ il soit besoin en cas de dette de l ’ ordonnance du iuge : Rebuffi qui traite. amplement de cette matière in tract. immunit. eccles. 2. tom. entend que ceux qui sont pris en franchise, soient reintegrez s ’ il est ainsi ordonné par le iuge. Nicephore liure 13. de l ’ histoire Ecclesiastique dit que du tems de Chrisostome fut publiee vne loy laquelle deffendoit le refuge aux Eglises et permettoit d ’ en tirer le fugit if. Charlemagne aussi ordonna que ceux qui seroyent coulpables de mort, principalement les homicides, ne iouyroyent de frachise zide leg. Franc. lib. 1. cap. 134. Les asyles introduits par le vieil testament pour les homicides fortuits et no pour les assassinats iusques à la venué du nouueau souuerain Pontife Deute. 19. num. 25. ont esté abolis par la venuë du Christianisme. De manière qu ’ il faut tant qu ’ on pourra retrencher telles franchises comme odieuses, de peur de faire vn seandale en la religion Chrestienne, à laquelle on feroit approuuer les impunitez intempestiuam et dolo proximam miseticordiamexercendo, comme dit la l. sinominem ff. ad mand. et esset iniusta misericordia c. estiniusta 2 3. d. 4. non est crudelitas crimina pro deo punire sed pietas c. legi 2 3. 4. 8. nulla, inquit Seneca deo gratior victima offerri potest quam anima nocentis. Tacitus ann. 3.","COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY.",TITRE DE JURISDICTION.,XLIX.
seneca,Sénèque (0004 av. J.-C.-0065),http://data.bnf.fr/ark:/12148/cb11887555p,http://www.idref.fr/026670984/id,-0004,-0004,0065,0065,2,berault,"L ’ homicide de soy-mesme est yn crime bien grief, nihil non ausurum fuit qui se potuitoccidere, inquit",Seneca,". Vetat, inquit Cic, ille dominus in nobis Deus iniuisis hine suo nos demiorare, et leges vetant vincul a carcerum sine co rumpere, nisi auinius a deo tanquam a potestate legitima euocatus fuerit Et Dieu a voulu dit saint Iean Chrisostome, que la mort ne fust sans douleur, ne, qui doloribus cédere morte decreuissent, eam lubentissimè amplecterentur vt dolorem maximum. Le iuge doit se transpo-ter sur le lieuou a esté trouué le cors de celuy qui s ’ est fait mourir soy mesme, le faire visiteren sa presence par les chirurgiens lesquels en bailleront certificat et Iuy procez verbal et pouruoirra ledit iuge au cors et informera à la rcqueste du procureurdu Royou d ’ office de la vie et moeurs du de ffunt et comment il s ’ est faitmqurir, s ’ il estoit furieux ou malade et de la cause pour laquelle il s ’ est deffait. Et auant que d ’ ordonner aucune chose contre le cors et siir les biens du deffunt il doit faire appeller les heritiers, et à faute d ’ iceux un deffenseur ou curateur au cadauer pour le deffendie et alléguer pour sa-iustification tout cé que bon luy semblera, selon l ’ arrest du grand Conseil du dernier Mars 1551. rapporté par Papon. C ’ est suiuant la l. 1 C. de his qui sibi mort. conse. et l. 3. ff. eod. ou il est dit que heredes audièdi sunt causâ susi cipere et innocentem de functum probare. Qui est necessaire conséquence qu ’ il les faut appeller et ouyr, et qu ’ autrement les procedures seroient nulles et le ius gement donné contre le cors mort suiet à estre déclaré comme donné contre e indefensum. Par la Coustume de Touraine titre de crimes art. 8. le cors de celuy qui s ’ est fait mourir à son escient doit estre trainé et pendu s ’ il est homs me, et femme doit estre enfouye, declaration premierement faite qu ’ il s ’ est fait mourir à son escient. Vide c. placuit 23. d. 5. Les Payens les priuoyent aussi de sepulture. Facinus indignum si inueniantur manus que sepeliant eum qu ’ em occiderunt sua, drt Seneque. On a accoustumé de les pendre par les piés ut qui contra natus ram peccauerunt inuerso etiam supplicii genere coerceantur. En Normandie ils ne confisquent que les meubles : ce qui s ’ entend apres les dettes payces selon qu ’ ils esté iugé par arrest en audience du 22. Iuin 1602. Si toutesfois estans accusez de crime méritant peine capitale ils s ’ estoyent occis eux mesmes de crainte d ’ estre condamnez ils forferoient et leurs meubles et leurs héritages, ij enim has bentur proconfesois. Sur ce suiet on pourra voir ce que dit Ayraut au traitté du procez au cadauer en son liure de l ’ ordre et instruction iudiciaire criminelles Bened. in cap. Raynutius in verb. mortuo itaque testatore 1. nn. 45. et seq. Iean Sainson sur la Coustume de Tours tit. de crimes art. 8. Lo. Gallus quest. 56. et 138. Baquet titre des droits de iustice chapitre yanu. 16. et aux suiuans. Robert. rer. iudi lib. 1. cap. 12.","L ’ homicide de soy-mesme est yn crime bien grief, nihil non ausurum fuit qui se potuitoccidere, inquit Seneca. Vetat, inquit Cic, ille dominus in nobis Deus iniuisis hine suo nos demiorare, et leges vetant vincul a carcerum sine co rumpere, nisi auinius a deo tanquam a potestate legitima euocatus fuerit Et Dieu a voulu dit saint Iean Chrisostome, que la mort ne fust sans douleur, ne, qui doloribus cédere morte decreuissent, eam lubentissimè amplecterentur vt dolorem maximum. Le iuge doit se transpo-ter sur le lieuou a esté trouué le cors de celuy qui s ’ est fait mourir soy mesme, le faire visiteren sa presence par les chirurgiens lesquels en bailleront certificat et Iuy procez verbal et pouruoirra ledit iuge au cors et informera à la rcqueste du procureurdu Royou d ’ office de la vie et moeurs du de ffunt et comment il s ’ est faitmqurir, s ’ il estoit furieux ou malade et de la cause pour laquelle il s ’ est deffait. Et auant que d ’ ordonner aucune chose contre le cors et siir les biens du deffunt il doit faire appeller les heritiers, et à faute d ’ iceux un deffenseur ou curateur au cadauer pour le deffendie et alléguer pour sa-iustification tout cé que bon luy semblera, selon l ’ arrest du grand Conseil du dernier Mars 1551. rapporté par Papon. C ’ est suiuant la l. 1 C. de his qui sibi mort. conse. et l. 3. ff. eod. ou il est dit que heredes audièdi sunt causâ susi cipere et innocentem de functum probare. Qui est necessaire conséquence qu ’ il les faut appeller et ouyr, et qu ’ autrement les procedures seroient nulles et le ius gement donné contre le cors mort suiet à estre déclaré comme donné contre e indefensum. Par la Coustume de Touraine titre de crimes art. 8. le cors de celuy qui s ’ est fait mourir à son escient doit estre trainé et pendu s ’ il est homs me, et femme doit estre enfouye, declaration premierement faite qu ’ il s ’ est fait mourir à son escient. Vide c. placuit 23. d. 5. Les Payens les priuoyent aussi de sepulture. Facinus indignum si inueniantur manus que sepeliant eum qu ’ em occiderunt sua, drt Seneque. On a accoustumé de les pendre par les piés ut qui contra natus ram peccauerunt inuerso etiam supplicii genere coerceantur. En Normandie ils ne confisquent que les meubles : ce qui s ’ entend apres les dettes payces selon qu ’ ils esté iugé par arrest en audience du 22. Iuin 1602. Si toutesfois estans accusez de crime méritant peine capitale ils s ’ estoyent occis eux mesmes de crainte d ’ estre condamnez ils forferoient et leurs meubles et leurs héritages, ij enim has bentur proconfesois. Sur ce suiet on pourra voir ce que dit Ayraut au traitté du procez au cadauer en son liure de l ’ ordre et instruction iudiciaire criminelles Bened. in cap. Raynutius in verb. mortuo itaque testatore 1. nn. 45. et seq. Iean Sainson sur la Coustume de Tours tit. de crimes art. 8. Lo. Gallus quest. 56. et 138. Baquet titre des droits de iustice chapitre yanu. 16. et aux suiuans. Robert. rer. iudi lib. 1. cap. 12.","COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY.",CHAPITRE DES FIEFS ET DROITS FEODAVX.,CXLIX.
seneca,Sénèque (0004 av. J.-C.-0065),http://data.bnf.fr/ark:/12148/cb11887555p,http://www.idref.fr/026670984/id,-0004,-0004,0065,0065,1,merville,"Les premiers viennent d ’ un legitime mariage, les seconds naissent d ’ une conjonction illegitime, ce que",Seneque,appelle furtivum genus ; les derniers sont ceux que l ’ on adopte.,"Les premiers viennent d ’ un legitime mariage, les seconds naissent d ’ une conjonction illegitime, ce que Seneque appelle furtivum genus ; les derniers sont ceux que l ’ on adopte.",DECISIONS SUR CHAQUE ARTICLE DE LA COUTUME DE NORMANDIE.,"TITRE XI. DE SUCCESSION EN PROPRE & ancien Patrimoine, tant en ligne directe que collaterale.",ARTICLE CCLXXV.
