ID,Auteur,BnF,IdRef,Naissance (min),Naissance (max),Mort (min),Mort (max),N°,Témoin,Contexte G,Mention,Contexte D,Paragraphe,Partie,Chapitre,Section
tertullien,Tertullien (0155?-0222?),http://data.bnf.fr/ark:/12148/cb11926244w,http://www.idref.fr/027398153/id,0155,0155,0222,0222,1,basnage,"Si un Laique qui seroit proprietaire incommutable de sa Seigneurie vouloit destituer un Officier qu ’ il auroit pourvù purement et simplement, cette destitution seroit valable, suivant la urisprudence certaine du Parlement de Paris. On peut en voir les Arrests dans les Reglemens de Chenu, dans le Commentateur de Mr Loüet, 1. 0. n. 2. et dans le Iournal de du Fresne Fresne. ais en Normandie on ne souffriroit point une destitution, qui n ’ auroit d ’ autre cause que le plaisir et la volonté du Seigneur, parce que ces destitutions sont odieuses, et que le plus souvent n Officier ne devient l ’ objet de la haine et de l ’ aversion de son Seigneur, que pour avoir fait son devoir. Un Seigneur peut pourvoir un Officier sans connoissance de cause, mais il ne doit pas le destituer sans connoissance de cause. Pour admottre un ’ Officier on informe de son mérite et de a capacité, à plus forte raison pour le destituer on doit entrer en connoissance de son demerite, ut sine causâ amare, ita sine causa odisse non licet ;",Tertull.,"despect Nous avons si peu de panchant à favoriser ces destitutions ad nutum, que l ’ on pretend que par plusieurs Arrests on a maintenu l ’ Officier, que le successeur à un Benefice vouloit démettre, quoy que son droit fût beaucoup plus foible, parce que le precedent possesseur n ’ avoit pû nuire au successeur, au lieu que le Laique est tellement maître de son Office, qu ’ il en peût disposer si absolument, que son successeur soit universel, ou singulier, ne peut jamais contrevenir. à son fait : Aussi il est sans exemple que les Seigneurs Laiques ayent entrepris ces destitutions.","Si un Laique qui seroit proprietaire incommutable de sa Seigneurie vouloit destituer un Officier qu ’ il auroit pourvù purement et simplement, cette destitution seroit valable, suivant la urisprudence certaine du Parlement de Paris. On peut en voir les Arrests dans les Reglemens de Chenu, dans le Commentateur de Mr Loüet, 1. 0. n. 2. et dans le Iournal de du Fresne Fresne. ais en Normandie on ne souffriroit point une destitution, qui n ’ auroit d ’ autre cause que le plaisir et la volonté du Seigneur, parce que ces destitutions sont odieuses, et que le plus souvent n Officier ne devient l ’ objet de la haine et de l ’ aversion de son Seigneur, que pour avoir fait son devoir. Un Seigneur peut pourvoir un Officier sans connoissance de cause, mais il ne doit pas le destituer sans connoissance de cause. Pour admottre un ’ Officier on informe de son mérite et de a capacité, à plus forte raison pour le destituer on doit entrer en connoissance de son demerite, ut sine causâ amare, ita sine causa odisse non licet ; Tertull. despect Nous avons si peu de panchant à favoriser ces destitutions ad nutum, que l ’ on pretend que par plusieurs Arrests on a maintenu l ’ Officier, que le successeur à un Benefice vouloit démettre, quoy que son droit fût beaucoup plus foible, parce que le precedent possesseur n ’ avoit pû nuire au successeur, au lieu que le Laique est tellement maître de son Office, qu ’ il en peût disposer si absolument, que son successeur soit universel, ou singulier, ne peut jamais contrevenir. à son fait : Aussi il est sans exemple que les Seigneurs Laiques ayent entrepris ces destitutions.",coutume,TITRE DE JURISDICTION.,XIII.
tertullien,Tertullien (0155?-0222?),http://data.bnf.fr/ark:/12148/cb11926244w,http://www.idref.fr/027398153/id,0155,0155,0222,0222,2,basnage,"Quelques-uns estiment que ce mot Beneficium, que nos Auteurs emprunterent des Latins. pour exgtimer cette recompense que les premiers Rois de cette Monarchie donnerent à leurs gens de guerre, étoit employé par les Romains en cette même signification, Tertullien",s,"’ en est servi dans ce sens contre Hermogenes. Tribus modis aliena sumuntur, jure, beneficio, impetu, lominio, precario, vi, dominio non suppetente. Mr Bignon en ses sur Notes sur Marculphe, l. 2. c. 5. dit qu ’ en ce lieu-là Beneficium, vouloit dire, ce qu ’ en droit on appelle precaire, quand quelqu ’ un en donnant son héritage à l ’ Eglise, en retenoit la joüissance, inde Beneficii nomine ea pradia dicta sunt, que pro servitio militari à Rege vel ab aliis conceduntur, que feudum posteritas dixit, initio namque vitâ accipientes finiebantur, et certis ex causis reLocari poterant. Dominici, de prarog alod. c. 8. ajoûte que penes Romanos militum beneficiariorum frequens mentio occurrit : Erant enim apud ipsos quedam in usu beneficia, in quibus sieut in nostris jusjurandum fidelitatis erga Dominos desidérabatur, ce qu ’ il confirme par un passage de S. Augustin. Augustin, notum est dilectissimi charitati vestre, quod milites seculi beneficia temporalia à Dominis accepturi, prius militaribus sacris obligantur, & Dominis suis fidem se servaturos profitentur. Il est vray que suivant le sentiment de ce même Auteur, ces benefices dont joüissoient les soldats Romains étoient beaucoup differens des benefices de France","Quelques-uns estiment que ce mot Beneficium, que nos Auteurs emprunterent des Latins. pour exgtimer cette recompense que les premiers Rois de cette Monarchie donnerent à leurs gens de guerre, étoit employé par les Romains en cette même signification, Tertullien s ’ en est servi dans ce sens contre Hermogenes. Tribus modis aliena sumuntur, jure, beneficio, impetu, lominio, precario, vi, dominio non suppetente. Mr Bignon en ses sur Notes sur Marculphe, l. 2. c. 5. dit qu ’ en ce lieu-là Beneficium, vouloit dire, ce qu ’ en droit on appelle precaire, quand quelqu ’ un en donnant son héritage à l ’ Eglise, en retenoit la joüissance, inde Beneficii nomine ea pradia dicta sunt, que pro servitio militari à Rege vel ab aliis conceduntur, que feudum posteritas dixit, initio namque vitâ accipientes finiebantur, et certis ex causis reLocari poterant. Dominici, de prarog alod. c. 8. ajoûte que penes Romanos militum beneficiariorum frequens mentio occurrit : Erant enim apud ipsos quedam in usu beneficia, in quibus sieut in nostris jusjurandum fidelitatis erga Dominos desidérabatur, ce qu ’ il confirme par un passage de S. Augustin. Augustin, notum est dilectissimi charitati vestre, quod milites seculi beneficia temporalia à Dominis accepturi, prius militaribus sacris obligantur, & Dominis suis fidem se servaturos profitentur. Il est vray que suivant le sentiment de ce même Auteur, ces benefices dont joüissoient les soldats Romains étoient beaucoup differens des benefices de France",coutume,DES FIEFS ET DROITS FEODAUX,introduction
tertullien,Tertullien (0155?-0222?),http://data.bnf.fr/ark:/12148/cb11926244w,http://www.idref.fr/027398153/id,0155,0155,0222,0222,3,basnage,"Cette question s ’ offrit en l ’ Audience de la Grand. Chambre le 23 de May 1623. si les acquests faits par un fils mort sans enfans, qui retournent à sa mere, tiennent lieu de propré ou d ’ acquest, et si étans propres à la mere ils tiennent nature de propre paternel ou maternel ; Les acquests les enfans, qui retournent aux peres et meres, turbato mortalitatis ordine, ne sont pas reputez par le droit une succession, jure reversionis, potius quâm hereditatis veniunt, c ’ est triste lucrum, luctuosa bereditas. l. fi. C. comm. de Succ. l. scripto. Unde liberi, c ’ est donc plûtost un retour qu ’ une succession nais quand du bien venu de cette sorte aux peres et meres seroit reputé propre ; il ne seroit reputé paternel ni maternel, parce qu ’ il ne procede ni de l ’ une ni de l ’ autre ligne, et que la personne du pere ou de la mère étant composée de deux branches ou ramages, il doit retourner aux plus proches, ou être partagé également entre l ’ une ou l ’ autre ligne. Authent. defuncto. C. Ad Senat. Consult.",Tertull,". et n. 118. de hered. ab intestato venientibus, et de jure cognationis sublato, et suivant ces raisons les parens maternels de la mere concluoient qu ’ ils devoient avoir les acquests du fils aprés la mort de la mere, comme plus proche parens de la mère du côté maternel Les parens paternels de la mere plus éloignez difoient que les acquests du fils étoient faits propres en la personne de sa mère, mutatâ personâ mutatur qualitas bonorum, quod Castrense erat in personâ defuncti, desinit esse in personâ heredis. l. per curatores de adquir. heredit. Les acquests du fils étant faits propres à la mere, ils ne pouvoient être reputez qu ’ un propre paternel ; la presomption est toûjours pour le côté paternel comme le plus digne dont elle porte le nom et auquel elle est capable de succeder. Par l ’ ancien droit Romain il n ’ y avoit que deux degrez sui vel liberi, et agnati per virilem sexum conjuncti, et cognati non succedebant, depuis cognati per femineum sexum ronjuncti furent admis, et Justinien avoit ôté la difference agnatorum et cognatorum. Authent. de sublatâ differentiâ agnat. et cognat. Par Arrest dudit jour entre Pierre le Gay, cousin maternel et heritier aux acquests de Guilsemine Marette, et les Marette cousins paternels au troisième degré de ladite Marette, les acquests d ’ André le Tellier, fils de ladite Marette, furent ajugez aux Marette.","Cette question s ’ offrit en l ’ Audience de la Grand. Chambre le 23 de May 1623. si les acquests faits par un fils mort sans enfans, qui retournent à sa mere, tiennent lieu de propré ou d ’ acquest, et si étans propres à la mere ils tiennent nature de propre paternel ou maternel ; Les acquests les enfans, qui retournent aux peres et meres, turbato mortalitatis ordine, ne sont pas reputez par le droit une succession, jure reversionis, potius quâm hereditatis veniunt, c ’ est triste lucrum, luctuosa bereditas. l. fi. C. comm. de Succ. l. scripto. Unde liberi, c ’ est donc plûtost un retour qu ’ une succession nais quand du bien venu de cette sorte aux peres et meres seroit reputé propre ; il ne seroit reputé paternel ni maternel, parce qu ’ il ne procede ni de l ’ une ni de l ’ autre ligne, et que la personne du pere ou de la mère étant composée de deux branches ou ramages, il doit retourner aux plus proches, ou être partagé également entre l ’ une ou l ’ autre ligne. Authent. defuncto. C. Ad Senat. Consult. Tertull. et n. 118. de hered. ab intestato venientibus, et de jure cognationis sublato, et suivant ces raisons les parens maternels de la mere concluoient qu ’ ils devoient avoir les acquests du fils aprés la mort de la mere, comme plus proche parens de la mère du côté maternel Les parens paternels de la mere plus éloignez difoient que les acquests du fils étoient faits propres en la personne de sa mère, mutatâ personâ mutatur qualitas bonorum, quod Castrense erat in personâ defuncti, desinit esse in personâ heredis. l. per curatores de adquir. heredit. Les acquests du fils étant faits propres à la mere, ils ne pouvoient être reputez qu ’ un propre paternel ; la presomption est toûjours pour le côté paternel comme le plus digne dont elle porte le nom et auquel elle est capable de succeder. Par l ’ ancien droit Romain il n ’ y avoit que deux degrez sui vel liberi, et agnati per virilem sexum conjuncti, et cognati non succedebant, depuis cognati per femineum sexum ronjuncti furent admis, et Justinien avoit ôté la difference agnatorum et cognatorum. Authent. de sublatâ differentiâ agnat. et cognat. Par Arrest dudit jour entre Pierre le Gay, cousin maternel et heritier aux acquests de Guilsemine Marette, et les Marette cousins paternels au troisième degré de ladite Marette, les acquests d ’ André le Tellier, fils de ladite Marette, furent ajugez aux Marette.",coutume,DE SUCCESSIONS EN PROPRE,CCXLVII. Comment les biens sont faits propres.
tertullien,Tertullien (0155?-0222?),http://data.bnf.fr/ark:/12148/cb11926244w,http://www.idref.fr/027398153/id,0155,0155,0222,0222,4,basnage,"Quoy que celle de Henry Il. ne soûtint par entierement l ’ autorité paternelle, elle déplut neanmoins à beaucoup de gens pour des raisons differentes. D ’ un côté ceux qui suivoient la décision du Concile de Trente, ne pouvoient souffrir que l ’ on punît si rigoureusement les enfans qui s ’ étoient mariez contre la volonté de leurs peres, puisque ces mariages étoient reputez valables : si l ’ Ordonnance les faisoit subsister, et reputoit legitimes les enfans issus de ces conjonctions, il n ’ étoit pas raisonnable de leur imposer aucun châtiment, et l ’ on pouvoit appli-quer à cette Ordonnance ce que",Tertullien,"avoit dit de la Loy qui fut faite contre les Chrétiens, ô sententiam necessitate confusam, parcit et saevit, dissimulat et animadvertit ; et c ’ est pourquoy pour la décrier on publia que l ’ interest public n ’ en étoit que le pretexte, et qu ’ elle n ’ avoit été faite que par l ’ autorité d ’ un Favori, pour empescher le mariage de son fils qu ’ il n ’ approuvoit point. D ’ autre part l ’ on trouvoit étrange que l ’ on se fût si fort relâché de l ’ ancienne discipline, et que l ’ on reputât legitimes des mariages que l ’ ancienne Eglise avoit con-siderez comme des concubinages : sur tout l ’ on ne pouvoit approuvez que les enfans pûssent secoüer le joug de l ’ autorité paternelle, et sans autre peine que celle de l ’ exheredation, qui n ’ étoit pas proportionnée à l ’ offense, et que même aprés un certain âge ils pûssent impunément violer le respect qu ’ ils devoient à leurs peres.","Quoy que celle de Henry Il. ne soûtint par entierement l ’ autorité paternelle, elle déplut neanmoins à beaucoup de gens pour des raisons differentes. D ’ un côté ceux qui suivoient la décision du Concile de Trente, ne pouvoient souffrir que l ’ on punît si rigoureusement les enfans qui s ’ étoient mariez contre la volonté de leurs peres, puisque ces mariages étoient reputez valables : si l ’ Ordonnance les faisoit subsister, et reputoit legitimes les enfans issus de ces conjonctions, il n ’ étoit pas raisonnable de leur imposer aucun châtiment, et l ’ on pouvoit appli-quer à cette Ordonnance ce que Tertullien avoit dit de la Loy qui fut faite contre les Chrétiens, ô sententiam necessitate confusam, parcit et saevit, dissimulat et animadvertit ; et c ’ est pourquoy pour la décrier on publia que l ’ interest public n ’ en étoit que le pretexte, et qu ’ elle n ’ avoit été faite que par l ’ autorité d ’ un Favori, pour empescher le mariage de son fils qu ’ il n ’ approuvoit point. D ’ autre part l ’ on trouvoit étrange que l ’ on se fût si fort relâché de l ’ ancienne discipline, et que l ’ on reputât legitimes des mariages que l ’ ancienne Eglise avoit con-siderez comme des concubinages : sur tout l ’ on ne pouvoit approuvez que les enfans pûssent secoüer le joug de l ’ autorité paternelle, et sans autre peine que celle de l ’ exheredation, qui n ’ étoit pas proportionnée à l ’ offense, et que même aprés un certain âge ils pûssent impunément violer le respect qu ’ ils devoient à leurs peres.",coutume,DU DOUAIRE.,CCCLXIX. Femme quand a doüaire sur les biens du pere et ayeul de son mary.
tertullien,Tertullien (0155?-0222?),http://data.bnf.fr/ark:/12148/cb11926244w,http://www.idref.fr/027398153/id,0155,0155,0222,0222,5,basnage,"Mais c ’ est avec raison que le Christianisme a reprouvé cette coûtume ; aussi le mariage magis est divini quam humani juris, et un de nos meilleurs Jurisconsultes le prouve par cette raison, qu ’ encore que Jesus Christ et ses Apôtres n ’ ayent fait aucunes loix touchant les choses temporelles, ils en ont fait plusieurs pour les mariages, Matth. c. 5. et 19. 1. Corinth.. Petri 3. 6. et 7. et pour montrer que les cérémonies de l ’ Eglise y sont necessaires, on dit premierement que le mariage étant de droit Divin, il est juste que les Ministres de l ’ Eglise soient appellez : En second lieu, que cela sert pour empescher des mariages inégaux et honteux : On ne peut douter que cette coûtume ne soit fort ancienne, comme il paroit par ce célèbre passage de",Tertullien,", unde sufficiant ad enarrandam felicitatem ejus matrimonii quod Ecclesia Conciliat, confirmat oblatio, & obsignatum renuntiant Angeli, et pater rato habet, nam nec in terris filii sine consensu patrum ritè et jure nubant : Et en la l. sancimus Cod. de Nupt.","Mais c ’ est avec raison que le Christianisme a reprouvé cette coûtume ; aussi le mariage magis est divini quam humani juris, et un de nos meilleurs Jurisconsultes le prouve par cette raison, qu ’ encore que Jesus Christ et ses Apôtres n ’ ayent fait aucunes loix touchant les choses temporelles, ils en ont fait plusieurs pour les mariages, Matth. c. 5. et 19. 1. Corinth.. Petri 3. 6. et 7. et pour montrer que les cérémonies de l ’ Eglise y sont necessaires, on dit premierement que le mariage étant de droit Divin, il est juste que les Ministres de l ’ Eglise soient appellez : En second lieu, que cela sert pour empescher des mariages inégaux et honteux : On ne peut douter que cette coûtume ne soit fort ancienne, comme il paroit par ce célèbre passage de Tertullien, unde sufficiant ad enarrandam felicitatem ejus matrimonii quod Ecclesia Conciliat, confirmat oblatio, & obsignatum renuntiant Angeli, et pater rato habet, nam nec in terris filii sine consensu patrum ritè et jure nubant : Et en la l. sancimus Cod. de Nupt.",coutume,DU DOUAIRE.,CCCLXXXVII.
tertullien,Tertullien (0155?-0222?),http://data.bnf.fr/ark:/12148/cb11926244w,http://www.idref.fr/027398153/id,0155,0155,0222,0222,6,basnage,"Toutes ces solennitez sont de Droit public auquel les particuliers ne peuvent déroger quelquit favorable qu ’ en soit le pretexte, c ’ est pourquoy on n ’ en dispense pas même les testamens faits en temps de peste, non subvenitur enim et qui se in necessitate posuit et arctavit, et comme dis",Tertullien,", nulla necessitas excusatur quae potust non esse necessitas, c ’ est la jurisprudence du Parlement de Paris, Loüet, l. T. n. 8. Ricard, des Donat. comme aussi du Parlement de Provence, Boniface, 2 partie, l. 1. 1. 7. mais à Tolose on juge le contraire, Mainard, tom. 1.","Toutes ces solennitez sont de Droit public auquel les particuliers ne peuvent déroger quelquit favorable qu ’ en soit le pretexte, c ’ est pourquoy on n ’ en dispense pas même les testamens faits en temps de peste, non subvenitur enim et qui se in necessitate posuit et arctavit, et comme dis Tertullien, nulla necessitas excusatur quae potust non esse necessitas, c ’ est la jurisprudence du Parlement de Paris, Loüet, l. T. n. 8. Ricard, des Donat. comme aussi du Parlement de Provence, Boniface, 2 partie, l. 1. 1. 7. mais à Tolose on juge le contraire, Mainard, tom. 1.",coutume,DES TESTAMENS.,CCCCXII. Forme et solennité de Testament.
tertullien,Tertullien (0155?-0222?),http://data.bnf.fr/ark:/12148/cb11926244w,http://www.idref.fr/027398153/id,0155,0155,0222,0222,7,basnage,"’ ORIGINE et la cause des ventes et subhastations publiques, fut établie par les Romains pour faire cesser la peine introduite par la Loy des douze Tables contre les debiteurs insolvables ; car au lieu de la leur faire souffrir en leurs corps, elle fut transferée de la personne sur les biens : Consensu publices dit",Tertullien,", in Apologetico, crudelitas illa erasa est, et in pudoris notam capitis pona conversa, inventâ bonorum proscriptione, et suffundere maluerunt san-guinem quam effundere","’ ORIGINE et la cause des ventes et subhastations publiques, fut établie par les Romains pour faire cesser la peine introduite par la Loy des douze Tables contre les debiteurs insolvables ; car au lieu de la leur faire souffrir en leurs corps, elle fut transferée de la personne sur les biens : Consensu publices dit Tertullien, in Apologetico, crudelitas illa erasa est, et in pudoris notam capitis pona conversa, inventâ bonorum proscriptione, et suffundere maluerunt san-guinem quam effundere",coutume,TITRE DES EXECUTIONS. PAR DECRET,introduction
tertullien,Tertullien (0155?-0222?),http://data.bnf.fr/ark:/12148/cb11926244w,http://www.idref.fr/027398153/id,0155,0155,0222,0222,8,basnage,"Là-dessus l ’ on a fait cette question, si celuy qui peut aborder par eau sur son héritage pouvoit contraindre son voisin de luy en accorder un sur le sien s La raison de douter étoit que l ’ on n ’ est tenu de souffrir cette servitude que dans une nécessité absoluc, et dans l ’ impossibiité de passer par aucun autre endroit ; mais quand cela se peut faire en quelque maniete que ce soit, quoy que ce passage soit incommode, ce n ’ est point une raison suffisante pour impovier une charge facheuse à son voisin, nulla enim necessitas excusatur quae potest non esse necessitas, comme disoit",Tertullien,", celuy à qui l ’ on doit un chemin ne pent passer à travers des bleds et des vignes, pourvû qu ’ on luy defigne un passage qui soit commode : Non enim per Villam ipsam nec per medias vmeas ire, agere ipse si nendus est, cum id aqut commode per abram viam facere possit, l. Si cui simplici S. D. de l. an tut. à plus forte raison celuy qui n ’ a ancun droit et qui ne peut l ’ obrenir que par grace, est mal fondé à pretendre que son voisin luy doit fournir sacommodité : Masuer dit la même chose, Titre des Prescriptions, n. 2. Si quis petat viam sibi constitus in fundo proximiori, si meperiatur alibi habere viam, non aoditur dato quod sit sibi prolixior vel remotior. Mais l ’ on répond que cela se doit entendre d ’ un chemin libre et seur par lequel on puisse passer ordmairement et commodément, et sans peril de la personne ; ce qui peut être dit d ’ un aeassage par eau, loquel est presque toûjours dangereux, et c ’ est pourquoy la Loy use de ces termes, aeque commode, pour montter que le passage doit être aussi commode : Suivant ces oaisons, par un Arrest du Parlement de Paris rapporté par le Commentateur de Ms Loüer, l. C. n. 1. il a été jogé que celuy qui avoit une pottion d ’ Isle et de Pré, en laquelle il ne pouvoit aller par terre, sinon en passant au travers de l ’ lsle de son voisin, le pouvoit forcer de luy livrer un chemin, justo pretio. Voyez Coquille, Quest. 74. et de la Lande sut l ’ Article 251. de la Coûtume d ’ Orléant","Là-dessus l ’ on a fait cette question, si celuy qui peut aborder par eau sur son héritage pouvoit contraindre son voisin de luy en accorder un sur le sien s La raison de douter étoit que l ’ on n ’ est tenu de souffrir cette servitude que dans une nécessité absoluc, et dans l ’ impossibiité de passer par aucun autre endroit ; mais quand cela se peut faire en quelque maniete que ce soit, quoy que ce passage soit incommode, ce n ’ est point une raison suffisante pour impovier une charge facheuse à son voisin, nulla enim necessitas excusatur quae potest non esse necessitas, comme disoit Tertullien, celuy à qui l ’ on doit un chemin ne pent passer à travers des bleds et des vignes, pourvû qu ’ on luy defigne un passage qui soit commode : Non enim per Villam ipsam nec per medias vmeas ire, agere ipse si nendus est, cum id aqut commode per abram viam facere possit, l. Si cui simplici S. D. de l. an tut. à plus forte raison celuy qui n ’ a ancun droit et qui ne peut l ’ obrenir que par grace, est mal fondé à pretendre que son voisin luy doit fournir sacommodité : Masuer dit la même chose, Titre des Prescriptions, n. 2. Si quis petat viam sibi constitus in fundo proximiori, si meperiatur alibi habere viam, non aoditur dato quod sit sibi prolixior vel remotior. Mais l ’ on répond que cela se doit entendre d ’ un chemin libre et seur par lequel on puisse passer ordmairement et commodément, et sans peril de la personne ; ce qui peut être dit d ’ un aeassage par eau, loquel est presque toûjours dangereux, et c ’ est pourquoy la Loy use de ces termes, aeque commode, pour montter que le passage doit être aussi commode : Suivant ces oaisons, par un Arrest du Parlement de Paris rapporté par le Commentateur de Ms Loüer, l. C. n. 1. il a été jogé que celuy qui avoit une pottion d ’ Isle et de Pré, en laquelle il ne pouvoit aller par terre, sinon en passant au travers de l ’ lsle de son voisin, le pouvoit forcer de luy livrer un chemin, justo pretio. Voyez Coquille, Quest. 74. et de la Lande sut l ’ Article 251. de la Coûtume d ’ Orléant",coutume,DE SERVITUDES.,introduction
tertullien,Tertullien (0155?-0222?),http://data.bnf.fr/ark:/12148/cb11926244w,http://www.idref.fr/027398153/id,0155,0155,0222,0222,1,terrien,"Le pere exclus, auquel l ’ héritage des enfans ne peut reuenir, tant qu ’ il y ait aucun descendu de luy. combien que de droict le pere, comme estant en pareil dégré que le frere, deust auoir part auec luy en l ’ heritage. auth. defuncto. c. Ad",Tertul.,,"Le pere exclus, auquel l ’ héritage des enfans ne peut reuenir, tant qu ’ il y ait aucun descendu de luy. combien que de droict le pere, comme estant en pareil dégré que le frere, deust auoir part auec luy en l ’ heritage. auth. defuncto. c. Ad Tertul.","LIVRE SIXIEME QVI EST, DE SVCCESSION ET partages d ’ héritage.",D ’ escheance par héritage. Chap. II.,La Coustume.
tertullien,Tertullien (0155?-0222?),http://data.bnf.fr/ark:/12148/cb11926244w,http://www.idref.fr/027398153/id,0155,0155,0222,0222,2,terrien,"Ceste coustume est conforme à droict, par lequel paterna paternis, materna maternis obuenire debent. l. quod scitis. C. de bon. que liberis. et auth. defuncto, ad",Tertul.,c et non. in auth. itaque mortuo. communia de succes.,"Ceste coustume est conforme à droict, par lequel paterna paternis, materna maternis obuenire debent. l. quod scitis. C. de bon. que liberis. et auth. defuncto, ad Tertul. c et non. in auth. itaque mortuo. communia de succes.","LIVRE SIXIEME QVI EST, DE SVCCESSION ET partages d ’ héritage.",D ’ escheance par héritage. Chap. II.,La Coustume.
