ID,Auteur,BnF,IdRef,Naissance (min),Naissance (max),Mort (min),Mort (max),N°,Témoin,Contexte G,Mention,Contexte D,Paragraphe,Partie,Chapitre,Section
cicero,Cicéron (0106-0043 av. J.-C.),http://data.bnf.fr/ark:/12148/cb11885977m,http://www.idref.fr/02665234X/id,-0106,-0106,-0043,-0043,1,basnage,"Apollon étant consulté touchant les bons Juges fit cette réponse, qu ’ il ne sçavoit s ’ il devoit les mettre entre les Dieux, ou entre les hommes :",Cicero,"pro cluentio. Quid enim preclarius, digniusque inter homines excogitari potest, quàm unum hominem in rep. reperiri, qut communi utilitati serviat, qui communia prosuis, sua pro communibus habeat ; qui velit et sciat personam civitatis gerere, dignitatem et decus sustinere. Mais en considérant l ’ excellence et la dignité de leurs charges, ils doivent avoir toûjours devant les yeux ces belles paroles : Illud est magni atque sapientis hominis, cum illam judicandi tabellam sumpserit, non se putare esse solum, neque sibi quodcunque cupivit licere, sed habere in consilio, legem, Re ligionem, aquitatem, fidem ; libidinem autem, in vidiam, odium, cupiditatesque amovêre. Des qualitez requises pout être Juge, voyez Gregoire Tholozani, Syntag. Jur. l. 47. c. 9. 10. 11. et l ’ ancienne Coûtume, titre des Jugemens.","Apollon étant consulté touchant les bons Juges fit cette réponse, qu ’ il ne sçavoit s ’ il devoit les mettre entre les Dieux, ou entre les hommes : Cicero pro cluentio. Quid enim preclarius, digniusque inter homines excogitari potest, quàm unum hominem in rep. reperiri, qut communi utilitati serviat, qui communia prosuis, sua pro communibus habeat ; qui velit et sciat personam civitatis gerere, dignitatem et decus sustinere. Mais en considérant l ’ excellence et la dignité de leurs charges, ils doivent avoir toûjours devant les yeux ces belles paroles : Illud est magni atque sapientis hominis, cum illam judicandi tabellam sumpserit, non se putare esse solum, neque sibi quodcunque cupivit licere, sed habere in consilio, legem, Re ligionem, aquitatem, fidem ; libidinem autem, in vidiam, odium, cupiditatesque amovêre. Des qualitez requises pout être Juge, voyez Gregoire Tholozani, Syntag. Jur. l. 47. c. 9. 10. 11. et l ’ ancienne Coûtume, titre des Jugemens.",coutume,TITRE DE JURISDICTION.,introduction
cicero,Cicéron (0106-0043 av. J.-C.),http://data.bnf.fr/ark:/12148/cb11885977m,http://www.idref.fr/02665234X/id,-0106,-0106,-0043,-0043,2,basnage,"Juges pour se laisser cortompré, qu ’ ils recevroient souvent en qualiré d ’ Avocats pour donner sieur suffrage en celle de Juges, qu ’ ils ne le font que trop sans leur en fournit encore les moyens, qu ’ il avoit été jugé de la sorte au Parlement de Paris par un Arrest rapporté au second Tome du Journal des Audiences ; que c ’ étoit pour y remedier que les Ordonnances de Moulins, Article 19. et de Blois, Article 115. le défendoient si expressément à tous Juges sans distinction, et enfin que s ’ avoit été l ’ intention du Roy en les établissant ; que c ’ étoit le but de l ’ Edit, comme on le voit par les termes qui y sont employez ; que si l ’ on prenoit des Avocats au defaut des Juges, cela presupposoit une necessité qui ne pouvoit servir d ’ exemple ni d ’ autorité ; que ce n ’ étoit point l ’ usage d ’ Arques, puisque la Sentence du Siege avoit jugé le contraire ; que ce n ’ étoit point l ’ usage du Barreau de Rome, qu ’ à la vérité les jeunes gens de la premiere qualité. pour se faire paroître et se couvrir de gloire et d ’ honneur, entreprenoient quelquefois de plaiders que Scipion même. et Lalius, les plus honnêtes gens de Rome, l ’ avoient fait, mais que cels n ’ établissoit rien, qu ’ il étoit bien vray que",Ciceron,"tout Consul qu ’ il étoit ne laissoit pas de plaider, mais que les Consuls dont la digmité s ’ étendoit sur ce qui concernoit les Armes et le Public, ne jugeoient point les procez des particuliers, et comme l ’ a remarqué Mr Cujas, jndices dabant, sed non judicabant ; qu ’ Auguste même avoit plaidé pour ce soldat qui luy montra les cicatrices qu ’ il avoit reçûës pour luy, et cela par la politique de ce Prince le plus adroit qui fut jamais pour gagner : l ’ amitié du Peuple : Au reste que la décision en êtoit tres-claire par les Loix, la loy Nemo, au C. de Assessoribus, en contient une longue défense avec de si belles raisons, qu ’ il est impossible d ’ y rien ajoûter, et la loy 5. au ff. de Officio Assessorum, Consiliarii eo tempore quo assidet negotia tractare in suum quidem auditorium nullo modo concessum est, in alienum vero non prohibetur ; qu ’ au reste il devoit ce respect à la Charge de Juge, et que celle d ’ Avocat étoit d ’ un poids assez difficile pour mériter un homme tout entier : Par Arrest du 21 de Janvier 1678. la Sentence fut confirmée.","Juges pour se laisser cortompré, qu ’ ils recevroient souvent en qualiré d ’ Avocats pour donner sieur suffrage en celle de Juges, qu ’ ils ne le font que trop sans leur en fournit encore les moyens, qu ’ il avoit été jugé de la sorte au Parlement de Paris par un Arrest rapporté au second Tome du Journal des Audiences ; que c ’ étoit pour y remedier que les Ordonnances de Moulins, Article 19. et de Blois, Article 115. le défendoient si expressément à tous Juges sans distinction, et enfin que s ’ avoit été l ’ intention du Roy en les établissant ; que c ’ étoit le but de l ’ Edit, comme on le voit par les termes qui y sont employez ; que si l ’ on prenoit des Avocats au defaut des Juges, cela presupposoit une necessité qui ne pouvoit servir d ’ exemple ni d ’ autorité ; que ce n ’ étoit point l ’ usage d ’ Arques, puisque la Sentence du Siege avoit jugé le contraire ; que ce n ’ étoit point l ’ usage du Barreau de Rome, qu ’ à la vérité les jeunes gens de la premiere qualité. pour se faire paroître et se couvrir de gloire et d ’ honneur, entreprenoient quelquefois de plaiders que Scipion même. et Lalius, les plus honnêtes gens de Rome, l ’ avoient fait, mais que cels n ’ établissoit rien, qu ’ il étoit bien vray que Ciceron tout Consul qu ’ il étoit ne laissoit pas de plaider, mais que les Consuls dont la digmité s ’ étendoit sur ce qui concernoit les Armes et le Public, ne jugeoient point les procez des particuliers, et comme l ’ a remarqué Mr Cujas, jndices dabant, sed non judicabant ; qu ’ Auguste même avoit plaidé pour ce soldat qui luy montra les cicatrices qu ’ il avoit reçûës pour luy, et cela par la politique de ce Prince le plus adroit qui fut jamais pour gagner : l ’ amitié du Peuple : Au reste que la décision en êtoit tres-claire par les Loix, la loy Nemo, au C. de Assessoribus, en contient une longue défense avec de si belles raisons, qu ’ il est impossible d ’ y rien ajoûter, et la loy 5. au ff. de Officio Assessorum, Consiliarii eo tempore quo assidet negotia tractare in suum quidem auditorium nullo modo concessum est, in alienum vero non prohibetur ; qu ’ au reste il devoit ce respect à la Charge de Juge, et que celle d ’ Avocat étoit d ’ un poids assez difficile pour mériter un homme tout entier : Par Arrest du 21 de Janvier 1678. la Sentence fut confirmée.",coutume,TITRE DE JURISDICTION.,introduction
cicero,Cicéron (0106-0043 av. J.-C.),http://data.bnf.fr/ark:/12148/cb11885977m,http://www.idref.fr/02665234X/id,-0106,-0106,-0043,-0043,3,basnage,"Le malheur de ce siecle a rendu l ’ usage des lettres de répy, et du bonefice de cession, fort commun, tempora quedam etiam occurrunt difficillime solutioni ;",Cicero,"pro Cecinna. Le benefice, de cession est un moyen de droit si favorable, qu ’ il ne doit être empesché que par des exceptions pien précises de l ’ Ordonnance ou de la Coûtume. Neanmoins il ne doit pas être accordé mdiffet remment et sans connoissance de cause ;. Plusiours personnes en sont excluses, ou à causé de reur qualité, ou par le privilege de la dette.","Le malheur de ce siecle a rendu l ’ usage des lettres de répy, et du bonefice de cession, fort commun, tempora quedam etiam occurrunt difficillime solutioni ; Cicero pro Cecinna. Le benefice, de cession est un moyen de droit si favorable, qu ’ il ne doit être empesché que par des exceptions pien précises de l ’ Ordonnance ou de la Coûtume. Neanmoins il ne doit pas être accordé mdiffet remment et sans connoissance de cause ;. Plusiours personnes en sont excluses, ou à causé de reur qualité, ou par le privilege de la dette.",coutume,TITRE DE JURISDICTION.,XX. Jurisdiction de Hauts-Justiciers.
cicero,Cicéron (0106-0043 av. J.-C.),http://data.bnf.fr/ark:/12148/cb11885977m,http://www.idref.fr/02665234X/id,-0106,-0106,-0043,-0043,4,basnage,"Bien qu ’ en France la Justice et le fief n ’ ayent rien de commun, néanmoins l ’ usage a prévalu qu ’ il n ’ y a point de fief, qui n ’ ait Basse-Justice sur ses hommes, au moins pour la conservation de ses droits. Loyseau des Seig. c. 10. n. 46. a soûtenu le contraire, et que c ’ est une chose le fausse que quiconque a fief ait aussi Justice ; parce, dit-il, que la Seigneurie publique, qui seule emporte Justice, est specifiquement différente de la Seigneurie directe ; mais à vray dire, fe nos Basses-Justices n ’ ont point de Seigneurie publique, et c ’ est pourquoy Iancienne Coûtume les appelle Justice fiefale, comme êtant proprement attachées et appartenant aux fiefs. La Coûtume de Tours des Basses-Justices, Article 1. nomme fort à propos ces Basses-Justices un demy droit, et on peut dire de nos Bas-Justiciers, ce que",Ciceron,"disoit des Ediles, paulo mplius quam privati. Cujat. Ad l. 10. de Jurisd. Mr d ’ Argentré ; Article 20. no. 2. n. 3. n ’ étoit pas bien informé des Justices de Normandie, lors qu ’ il en a fait une description si étrange et si peu véritable ; Normannorum tribunalia verius quidem latrocinia, in quadriviis, sub ulmo, in solois ad lacuum aggeres exercentur, huc qui conveniunt aut vapulant, aut diffiso die eluduntur, nec ratio est quà faisissima gesta refelles nullo ut plurimum actuario scribente, sed ipfo illo qui judicat, quod protinus cum videbitur, mutet ex libidine aut suâ aut Dominorum.","Bien qu ’ en France la Justice et le fief n ’ ayent rien de commun, néanmoins l ’ usage a prévalu qu ’ il n ’ y a point de fief, qui n ’ ait Basse-Justice sur ses hommes, au moins pour la conservation de ses droits. Loyseau des Seig. c. 10. n. 46. a soûtenu le contraire, et que c ’ est une chose le fausse que quiconque a fief ait aussi Justice ; parce, dit-il, que la Seigneurie publique, qui seule emporte Justice, est specifiquement différente de la Seigneurie directe ; mais à vray dire, fe nos Basses-Justices n ’ ont point de Seigneurie publique, et c ’ est pourquoy Iancienne Coûtume les appelle Justice fiefale, comme êtant proprement attachées et appartenant aux fiefs. La Coûtume de Tours des Basses-Justices, Article 1. nomme fort à propos ces Basses-Justices un demy droit, et on peut dire de nos Bas-Justiciers, ce que Ciceron disoit des Ediles, paulo mplius quam privati. Cujat. Ad l. 10. de Jurisd. Mr d ’ Argentré ; Article 20. no. 2. n. 3. n ’ étoit pas bien informé des Justices de Normandie, lors qu ’ il en a fait une description si étrange et si peu véritable ; Normannorum tribunalia verius quidem latrocinia, in quadriviis, sub ulmo, in solois ad lacuum aggeres exercentur, huc qui conveniunt aut vapulant, aut diffiso die eluduntur, nec ratio est quà faisissima gesta refelles nullo ut plurimum actuario scribente, sed ipfo illo qui judicat, quod protinus cum videbitur, mutet ex libidine aut suâ aut Dominorum.",coutume,TITRE DE JURISDICTION.,XXIV. Jurisdiction des Bas-Justiciers.
cicero,Cicéron (0106-0043 av. J.-C.),http://data.bnf.fr/ark:/12148/cb11885977m,http://www.idref.fr/02665234X/id,-0106,-0106,-0043,-0043,5,basnage,"Parmy les anciens Romains l ’ action se formoit en cette maniere : in lite vindiciarum ex duobus litigantibus, alter alterum ad conserendum manu in re, de quâ lu esset vocabat, atque simul in agrum profecti aliquid ex eo in jus ad Praetorem deferebant, ut in duabus glebis tanquam in toto agro vindicarent. Ald. Manut. in l. de Orat.",Cic,". in principio. Ciceron en l ’ Oraison pro Murena, se raille agreablement des Jurisconsultes et de leurs manieres de proceder en cette action ; et autrefois parmy nous, pour obtenir un Bref de Loy apparente, on y apportoit beaucoup de façon : le demandeur êtoit tenu de jurer que l ’ héritage luy appartenoit, et il ȇtoit obligé d ’ amener un témoin pour attester qu ’ il avoit vû le demandeur ou ses predecesseurs joüir de l ’ héritage depuis quarante ans ; ce qui apparemment êtoit imité des. Romains, C. de assertione tollendas mais aujourd ’ huy il suffit d ’ obtenir des lettres en la Chancellerie.","Parmy les anciens Romains l ’ action se formoit en cette maniere : in lite vindiciarum ex duobus litigantibus, alter alterum ad conserendum manu in re, de quâ lu esset vocabat, atque simul in agrum profecti aliquid ex eo in jus ad Praetorem deferebant, ut in duabus glebis tanquam in toto agro vindicarent. Ald. Manut. in l. de Orat. Cic. in principio. Ciceron en l ’ Oraison pro Murena, se raille agreablement des Jurisconsultes et de leurs manieres de proceder en cette action ; et autrefois parmy nous, pour obtenir un Bref de Loy apparente, on y apportoit beaucoup de façon : le demandeur êtoit tenu de jurer que l ’ héritage luy appartenoit, et il ȇtoit obligé d ’ amener un témoin pour attester qu ’ il avoit vû le demandeur ou ses predecesseurs joüir de l ’ héritage depuis quarante ans ; ce qui apparemment êtoit imité des. Romains, C. de assertione tollendas mais aujourd ’ huy il suffit d ’ obtenir des lettres en la Chancellerie.",coutume,DE LOY APPAROISSANTE,introduction
cicero,Cicéron (0106-0043 av. J.-C.),http://data.bnf.fr/ark:/12148/cb11885977m,http://www.idref.fr/02665234X/id,-0106,-0106,-0043,-0043,6,basnage,"Parmy les anciens Romains l ’ action se formoit en cette maniere : in lite vindiciarum ex duobus litigantibus, alter alterum ad conserendum manu in re, de quâ lu esset vocabat, atque simul in agrum profecti aliquid ex eo in jus ad Praetorem deferebant, ut in duabus glebis tanquam in toto agro vindicarent. Ald. Manut. in l. de Orat. Cic. in principio.",Ciceron,"en l ’ Oraison pro Murena, se raille agreablement des Jurisconsultes et de leurs manieres de proceder en cette action ; et autrefois parmy nous, pour obtenir un Bref de Loy apparente, on y apportoit beaucoup de façon : le demandeur êtoit tenu de jurer que l ’ héritage luy appartenoit, et il ȇtoit obligé d ’ amener un témoin pour attester qu ’ il avoit vû le demandeur ou ses predecesseurs joüir de l ’ héritage depuis quarante ans ; ce qui apparemment êtoit imité des. Romains, C. de assertione tollendas mais aujourd ’ huy il suffit d ’ obtenir des lettres en la Chancellerie.","Parmy les anciens Romains l ’ action se formoit en cette maniere : in lite vindiciarum ex duobus litigantibus, alter alterum ad conserendum manu in re, de quâ lu esset vocabat, atque simul in agrum profecti aliquid ex eo in jus ad Praetorem deferebant, ut in duabus glebis tanquam in toto agro vindicarent. Ald. Manut. in l. de Orat. Cic. in principio. Ciceron en l ’ Oraison pro Murena, se raille agreablement des Jurisconsultes et de leurs manieres de proceder en cette action ; et autrefois parmy nous, pour obtenir un Bref de Loy apparente, on y apportoit beaucoup de façon : le demandeur êtoit tenu de jurer que l ’ héritage luy appartenoit, et il ȇtoit obligé d ’ amener un témoin pour attester qu ’ il avoit vû le demandeur ou ses predecesseurs joüir de l ’ héritage depuis quarante ans ; ce qui apparemment êtoit imité des. Romains, C. de assertione tollendas mais aujourd ’ huy il suffit d ’ obtenir des lettres en la Chancellerie.",coutume,DE LOY APPAROISSANTE,introduction
cicero,Cicéron (0106-0043 av. J.-C.),http://data.bnf.fr/ark:/12148/cb11885977m,http://www.idref.fr/02665234X/id,-0106,-0106,-0043,-0043,7,basnage,"Suivant nôtre usage, celuy dont les biens ont été vendus, peut les retirer en payant le prix de la vente dans la huitaine du jour de la vente, ce que nous appelons forgage. Il peut même céder son droit à un tiers pour en tirer quelque profit, si son impuissance ou la crainte qu ’ ils ne soient derechef saisis par ses creanciers l ’ empesche de le faire, pour eux-même. On prétend trouver quelque ressemblance de ce droit dans la troifième action de",Ciceron,"contre Verrés, où cet Orateur reproche à Verrés, quod contra leges pupillum ab hac redimendi facultate expulit : mais la disposition du droit Romain est contraire ; l. si creditor. versit. si tempus D. de distract. mis. et l. 1. C. si anti4. credit. La Coûtume de Bretagne en a fait un Article exprés, Art. 224. de la nouvelle Coûtume, et 237. de l ’ ancienne Coûtume ; forgage n ’ a lieu que pour les meubles : Mr d ’ Argentré traite la question, an de immobilibus idem statui deberet, & eadem facultas esset recuperandi distracti predii ex auctione ; Nam si mobilibus id liceat, id multo magis licere oportere in immobilibus, que majoris essent prajudicii ; sed in materia juris correctorii, il ne se fait point d ’ extension, et c ’ est aussi nôtre usage.","Suivant nôtre usage, celuy dont les biens ont été vendus, peut les retirer en payant le prix de la vente dans la huitaine du jour de la vente, ce que nous appelons forgage. Il peut même céder son droit à un tiers pour en tirer quelque profit, si son impuissance ou la crainte qu ’ ils ne soient derechef saisis par ses creanciers l ’ empesche de le faire, pour eux-même. On prétend trouver quelque ressemblance de ce droit dans la troifième action de Ciceron contre Verrés, où cet Orateur reproche à Verrés, quod contra leges pupillum ab hac redimendi facultate expulit : mais la disposition du droit Romain est contraire ; l. si creditor. versit. si tempus D. de distract. mis. et l. 1. C. si anti4. credit. La Coûtume de Bretagne en a fait un Article exprés, Art. 224. de la nouvelle Coûtume, et 237. de l ’ ancienne Coûtume ; forgage n ’ a lieu que pour les meubles : Mr d ’ Argentré traite la question, an de immobilibus idem statui deberet, & eadem facultas esset recuperandi distracti predii ex auctione ; Nam si mobilibus id liceat, id multo magis licere oportere in immobilibus, que majoris essent prajudicii ; sed in materia juris correctorii, il ne se fait point d ’ extension, et c ’ est aussi nôtre usage.",coutume,DE DELIVRANCE DE NAMPS.,introduction
cicero,Cicéron (0106-0043 av. J.-C.),http://data.bnf.fr/ark:/12148/cb11885977m,http://www.idref.fr/02665234X/id,-0106,-0106,-0043,-0043,8,basnage,"Il n ’ est pas juste qu ’ il profite de leurs travaux, puis qu ’ il n ’ imite pas leur vertu, et qu ’ il abanlonne la route qui conduit à la gloire pour vieillir dans la faineantise et l ’ oysiveté. Il y a eaucoup plus de mérite à donner à sa Postérité des titres d ’ honneur que de les emprunter de ses Predécesseurs : Malo, dit",Ciceron,", posteris meis esse nobilitatis initium & virtutis exemplum, quam majorum opinione uti. Il vaut bien mieux, comme répondit Marius dans Saluste à ceux qui luy reprochoient la bassesse de sa naissance, pouvoir montrer à chaque moment les marques de sa noblesse, qui étoient les blessures qu ’ il avoit reçûës pour le service de sa Patrie.","Il n ’ est pas juste qu ’ il profite de leurs travaux, puis qu ’ il n ’ imite pas leur vertu, et qu ’ il abanlonne la route qui conduit à la gloire pour vieillir dans la faineantise et l ’ oysiveté. Il y a eaucoup plus de mérite à donner à sa Postérité des titres d ’ honneur que de les emprunter de ses Predécesseurs : Malo, dit Ciceron, posteris meis esse nobilitatis initium & virtutis exemplum, quam majorum opinione uti. Il vaut bien mieux, comme répondit Marius dans Saluste à ceux qui luy reprochoient la bassesse de sa naissance, pouvoir montrer à chaque moment les marques de sa noblesse, qui étoient les blessures qu ’ il avoit reçûës pour le service de sa Patrie.",coutume,DES FIEFS ET DROITS FEODAUX,CXLII. Que peut demander celuy qui a fait don de son bien à l ’ Eglise.
cicero,Cicéron (0106-0043 av. J.-C.),http://data.bnf.fr/ark:/12148/cb11885977m,http://www.idref.fr/02665234X/id,-0106,-0106,-0043,-0043,9,basnage,"Meharene répondoit que de Melun êtoit né avant l ’ annoblissement de son pere, d ’ où il concluoit qu ’ il étoit né roturier, et non de pere noble, mais annobli : la Cour sur cette question appointa les parties au Conseil.",Ciceron,"pro Fonteio, pour marque d ’ une véritable noblesse désire ces quare choses : antiquitas generis, continua Praturae in familia, deinde mémoria Patris, postremâ ipse Je quo loquitur, in omnibus vitae partibus honestus arque integer. Au contraire Decius dans Tite Live, voulant persuader au peuple Romain qu ’ il falloit choisir des Sacrificateurs d ’ entre le peuple, luy remontroit Patricios esse factos, non è celo demissos, qui patrem avumque cière possunt, nihil pra. terea ingenuum jam patrem cière posse, filius avum patremque ciere poterit. Sur cette question si le fils avant l ’ annoblissement de son pere est noble, voyez Hottoman, Quest. Illust. 4. 2.","Meharene répondoit que de Melun êtoit né avant l ’ annoblissement de son pere, d ’ où il concluoit qu ’ il étoit né roturier, et non de pere noble, mais annobli : la Cour sur cette question appointa les parties au Conseil. Ciceron pro Fonteio, pour marque d ’ une véritable noblesse désire ces quare choses : antiquitas generis, continua Praturae in familia, deinde mémoria Patris, postremâ ipse Je quo loquitur, in omnibus vitae partibus honestus arque integer. Au contraire Decius dans Tite Live, voulant persuader au peuple Romain qu ’ il falloit choisir des Sacrificateurs d ’ entre le peuple, luy remontroit Patricios esse factos, non è celo demissos, qui patrem avumque cière possunt, nihil pra. terea ingenuum jam patrem cière posse, filius avum patremque ciere poterit. Sur cette question si le fils avant l ’ annoblissement de son pere est noble, voyez Hottoman, Quest. Illust. 4. 2.",coutume,DES FIEFS ET DROITS FEODAUX,CXLII. Que peut demander celuy qui a fait don de son bien à l ’ Eglise.
cicero,Cicéron (0106-0043 av. J.-C.),http://data.bnf.fr/ark:/12148/cb11885977m,http://www.idref.fr/02665234X/id,-0106,-0106,-0043,-0043,10,basnage,"Varro Ep. 9. Ce jus applicationis, dont parle",Cicéron,", l. 1. de Gratore, et qui est rapporté par Bacquet du droit d ’ Aubeine, c. 34. n ’ a point de rapport à hôtre droit d ’ Aubeiné.","Varro Ep. 9. Ce jus applicationis, dont parle Cicéron, l. 1. de Gratore, et qui est rapporté par Bacquet du droit d ’ Aubeine, c. 34. n ’ a point de rapport à hôtre droit d ’ Aubeiné.",coutume,DES FIEFS ET DROITS FEODAUX,CXLVIII. Droits d ’ Aubeine.
