id,ConDÉ name,found,IdRef name,BnF,IdRef,earliest birth,latest birth,earliest death,latest death
cirier,Jean Le Cirier,yes,"Le Cirier, Jean",http://data.bnf.fr/ark:/12148/cb10360726j,http://www.idref.fr/158537432/id,1400,1499,1500,1599
alex-4,Alexandre IV ,yes,Alexandre IV (12..-1261 ; pape),http://data.bnf.fr/ark:/12148/cb10492578h,http://www.idref.fr/094450862/id,1200,1299,,
aristote,Aristote,yes,Apulée (0125?-0180?),http://data.bnf.fr/ark:/12148/cb125686918,http://www.idref.fr/034995145/id,-0384,-0384,-0322,-0322
marculphe,Marculphe,yes,Marcoul (0490?-0558 ; saint),http://data.bnf.fr/ark:/12148/cb15607656v,http://www.idref.fr/186330057/id,0490,0490,0558,0558
bignon,Jérôme Bignon,yes,"Bignon, Jérôme (1589-1656)",http://data.bnf.fr/ark:/12148/cb10300465c,http://www.idref.fr/096271302/id,1589,1589,1656,1656
conring,Conringius,yes,"Conring, Hermann (1606-1681)",http://data.bnf.fr/ark:/12148/cb12378250f,http://www.idref.fr/068527144/id,1606,1606,1681,1681
sirmond,Jacques Sirmond,yes,"Sirmond, Jacques (1559-1651)",http://data.bnf.fr/ark:/12148/cb120719478,http://www.idref.fr/029001498/id,1559,1559,1651,1651
vitalis,Orderic Vital,yes,Orderic Vital (1075-1142?),http://data.bnf.fr/ark:/12148/cb12297338v,http://www.idref.fr/031831591/id,1075,1075,1142,1142
de-roye,François Roye (de),yes,"Roye, François de (....-1686)",http://data.bnf.fr/ark:/12148/cb12535137r,http://www.idref.fr/15340311X/id,1600,1699,,
aemyl,Paolo Emili,yes,"Emili, Paolo (1460-1529)",http://data.bnf.fr/ark:/12148/cb128057150,http://www.idref.fr/030384354/id,1460,1460,1529,1529
loyseau,Charles Loyseau,yes,"Loyseau, Charles (1564-1627)",http://data.bnf.fr/ark:/12148/cb121981282,http://www.idref.fr/03059846X/id,1564,1564,1627,1627
dudo,Dudon Saint Quentin (de),no,,,,0900,0999,,
pithou,Pierre Pithou,yes,"Pithou, Pierre (1539-1596)",http://data.bnf.fr/ark:/12148/cb12072866h,http://www.idref.fr/029013348/id,1539,1539,1596,1596
chopin,René Choppin,yes,"Choppin, René (1537-1606)",http://data.bnf.fr/ark:/12148/cb12519502r,http://www.idref.fr/067055885/id,1537,1537,1606,1606
menage,Gilles Ménage,yes,"Ménage, Gilles (1613-1692)",http://data.bnf.fr/ark:/12148/cb119939169,http://www.idref.fr/028019369/id,1613,1613,1692,1692
skenaeus,John Skene,no,,,,1543,1543,1617,1617
monte,Robert Thorigny (de),yes,Robert de Torigni (1110?-1186),http://data.bnf.fr/ark:/12148/cb11984885w,http://www.idref.fr/027908011/id,1105,1105,1186,1186
justinien,Justinien Ier,yes,Justinien Ier (0482-0565 ; empereur de Byzance),http://data.bnf.fr/ark:/12148/cb12055108q,http://www.idref.fr/027770591/id,0482,0482,0565,0565
philon,Philon d'Alexandrie,yes,Philon d'Alexandrie (0030? av. J.-C.-0040?),http://data.bnf.fr/ark:/12148/cb11919600w,http://www.idref.fr/027070980/id,-0030,-0030,,
anian,Anian,no,,,,none,none,none,none
fauchet,Claude Fauchet,yes,"Fauchet, Claude (1530-1602)",http://data.bnf.fr/ark:/12148/cb11902316j,http://www.idref.fr/026858851/id,1530,1530,1602,1602
du-chesne,André Du Chesne,yes,"Du Chesne, André (1584-1640)",http://data.bnf.fr/ark:/12148/cb12530007b,http://www.idref.fr/034556338/id,1584,1584,1640,1640
dadin,Antoine Dadine d'Auteserre,yes,"Cujas, Jacques (1522-1590)",http://data.bnf.fr/ark:/12148/cb13008755q,http://www.idref.fr/056521499/id,1602,1602,1682,1682
