ID,Auteur,BnF,IdRef,Naissance (min),Naissance (max),Mort (min),Mort (max),N°,Témoin,Contexte G,Mention,Contexte D,Paragraphe,Partie,Chapitre,Section
solon,Solon (0640?-0561 av. J.-C.),http://data.bnf.fr/ark:/12148/cb13091860r,http://www.idref.fr/028829832/id,-0640,-0640,-0561,-0561,1,basnage,"Les Grecs et les Romains, les perples les plus éclairez et les plus grands politiques de l ’ antiquité, n ’ ont point fait cette distinction.",Solon,"par ses loix qu ’ il avoit composées de tout ce qu ’ il avoit remarqué de plus juste et de plus raisonnable, donnoit la succession du défunt à ses plus proches parens, sans distinction de propres et d ’ acquests, et les Commissaires qui furent députez per-le peurle Romain pour leur composer des loix, employerent celles de Solon dans leurs douze Tables, proximus agnatus familiam habeto : Il est vray toutesfois que les proches parens ne succedoient que quand le défunt n ’ avoit point fait de tesaeament ; car autrement ils avoient cette liberté de disposer absolument de tous leurs biens, uti quisque reisuae legaverit, ita jus esto ; les anciens Allemans n ’ avoient point l ’ usage des testamens, heredes successores sui nicuique liberi ; que s ’ ils ne laissoient point d ’ enfans les plus proches parens étoient appelez, mais les freres et lés oncles succedoient, soit qu ’ ils fussent du côté du pere ou de la mere, inicum erat hominis patrimoniun","Les Grecs et les Romains, les perples les plus éclairez et les plus grands politiques de l ’ antiquité, n ’ ont point fait cette distinction. Solon par ses loix qu ’ il avoit composées de tout ce qu ’ il avoit remarqué de plus juste et de plus raisonnable, donnoit la succession du défunt à ses plus proches parens, sans distinction de propres et d ’ acquests, et les Commissaires qui furent députez per-le peurle Romain pour leur composer des loix, employerent celles de Solon dans leurs douze Tables, proximus agnatus familiam habeto : Il est vray toutesfois que les proches parens ne succedoient que quand le défunt n ’ avoit point fait de tesaeament ; car autrement ils avoient cette liberté de disposer absolument de tous leurs biens, uti quisque reisuae legaverit, ita jus esto ; les anciens Allemans n ’ avoient point l ’ usage des testamens, heredes successores sui nicuique liberi ; que s ’ ils ne laissoient point d ’ enfans les plus proches parens étoient appelez, mais les freres et lés oncles succedoient, soit qu ’ ils fussent du côté du pere ou de la mere, inicum erat hominis patrimoniun",coutume,DE SUCCESSIONS EN PROPRE,introduction
solon,Solon (0640?-0561 av. J.-C.),http://data.bnf.fr/ark:/12148/cb13091860r,http://www.idref.fr/028829832/id,-0640,-0640,-0561,-0561,2,basnage,"Les Grecs et les Romains, les perples les plus éclairez et les plus grands politiques de l ’ antiquité, n ’ ont point fait cette distinction. Solon par ses loix qu ’ il avoit composées de tout ce qu ’ il avoit remarqué de plus juste et de plus raisonnable, donnoit la succession du défunt à ses plus proches parens, sans distinction de propres et d ’ acquests, et les Commissaires qui furent députez per-le peurle Romain pour leur composer des loix, employerent celles de",Solon,"dans leurs douze Tables, proximus agnatus familiam habeto : Il est vray toutesfois que les proches parens ne succedoient que quand le défunt n ’ avoit point fait de tesaeament ; car autrement ils avoient cette liberté de disposer absolument de tous leurs biens, uti quisque reisuae legaverit, ita jus esto ; les anciens Allemans n ’ avoient point l ’ usage des testamens, heredes successores sui nicuique liberi ; que s ’ ils ne laissoient point d ’ enfans les plus proches parens étoient appelez, mais les freres et lés oncles succedoient, soit qu ’ ils fussent du côté du pere ou de la mere, inicum erat hominis patrimoniun","Les Grecs et les Romains, les perples les plus éclairez et les plus grands politiques de l ’ antiquité, n ’ ont point fait cette distinction. Solon par ses loix qu ’ il avoit composées de tout ce qu ’ il avoit remarqué de plus juste et de plus raisonnable, donnoit la succession du défunt à ses plus proches parens, sans distinction de propres et d ’ acquests, et les Commissaires qui furent députez per-le peurle Romain pour leur composer des loix, employerent celles de Solon dans leurs douze Tables, proximus agnatus familiam habeto : Il est vray toutesfois que les proches parens ne succedoient que quand le défunt n ’ avoit point fait de tesaeament ; car autrement ils avoient cette liberté de disposer absolument de tous leurs biens, uti quisque reisuae legaverit, ita jus esto ; les anciens Allemans n ’ avoient point l ’ usage des testamens, heredes successores sui nicuique liberi ; que s ’ ils ne laissoient point d ’ enfans les plus proches parens étoient appelez, mais les freres et lés oncles succedoient, soit qu ’ ils fussent du côté du pere ou de la mere, inicum erat hominis patrimoniun",coutume,DE SUCCESSIONS EN PROPRE,introduction
solon,Solon (0640?-0561 av. J.-C.),http://data.bnf.fr/ark:/12148/cb13091860r,http://www.idref.fr/028829832/id,-0640,-0640,-0561,-0561,3,basnage,"L ’ ancien Droit Romain ignoroit toutes ces differences, il n ’ y avoit qu ’ un seul patrimoine, unicum erat hominis patrimonium, sans distinction ni separation de biens, et sans consideration d ’ estoc et de ligne, et l ’ on ne donnoit point deux divers patrimoines à un même homme, I. juris Peritos. 33. de excus. tut. l ’ heritier ab intestat qui étoit toûjours le plus proche parent succedoit à tous les biens du défunt, tant à ceux qu ’ il avoit acquis qu ’ à ceux qui luy étoient échûs de ses ancêtres : c ’ étoit la loy des douze Tables que les Decemvirs avoient empruntée de",Solon,", proximus agnatus familiam habeto.","L ’ ancien Droit Romain ignoroit toutes ces differences, il n ’ y avoit qu ’ un seul patrimoine, unicum erat hominis patrimonium, sans distinction ni separation de biens, et sans consideration d ’ estoc et de ligne, et l ’ on ne donnoit point deux divers patrimoines à un même homme, I. juris Peritos. 33. de excus. tut. l ’ heritier ab intestat qui étoit toûjours le plus proche parent succedoit à tous les biens du défunt, tant à ceux qu ’ il avoit acquis qu ’ à ceux qui luy étoient échûs de ses ancêtres : c ’ étoit la loy des douze Tables que les Decemvirs avoient empruntée de Solon, proximus agnatus familiam habeto.",coutume,DES SUCCESSIONS COLLATERALES AUX MEUBLES ET ACQUESTS.,introduction
solon,Solon (0640?-0561 av. J.-C.),http://data.bnf.fr/ark:/12148/cb13091860r,http://www.idref.fr/028829832/id,-0640,-0640,-0561,-0561,4,basnage,Aristote avoit apparemment emprunté cette morale des Loix de,Solon,", de Pirtacus et de Charondas, dont Denis d ’ Halicarnasse a fait mention, l. 3. Antiq. Rom. Suivant ces Loix la puissance paternelle ne duroit que trois ans aprés la puberté, ou durant le temps que les enfans n ’ étoient point mariez, ou jusqu ’ à ce qu ’ ils fussent employez dans le rôle de ceux qui avoient atteint leur âge viril ; d ’ où l ’ on infere que lorsque les enfans de famille sont parvenus à un âge assez avancé pour se conduire avec prudence, quoy qu ’ en contractant mariage sans le consentement de leurs peres, ils blessent la pieté et manquent au devoir et à la gratitude où ils sont tenus envers eux ; neanmoins leurs mariages ne doivent pas être separez ny annullez : Cette espece de desobeïssance ne suffit pas pour rendre le mariage nul ; car encore que les Loix Romaines l ’ ordonnent de la sorte, cela n ’ est pas fondé sur le droit de la nature, mais sur la volonté des Legislateurs, non ex Natura est, sed ex juris Conditorum voluntate, Grotius ibid. n. 10. car autrement comme les enfans doivent le même respect à leur mere, le mariage contracté sans leur consentement seroit aussi nul ; et cependant par le même Droit Romain l ’ opposition ou le defaut du consentement de la part de la mere ne rend point le mariage nul, et même le fils émancipé peut se marier contre la volonté de son pere : ce que Grotius confirme aussi par l ’ exemple d ’ Esaü, dont les mariages ne furent pas annullez par son pere, ny ses enfans ne furent pas reputez illegitimes, quoy qu ’ il les desaprouvât extrémement, Vide Browerus de jure Connub. apud Batav. l. 1. c. 5. n. 10. et seq.","Aristote avoit apparemment emprunté cette morale des Loix de Solon, de Pirtacus et de Charondas, dont Denis d ’ Halicarnasse a fait mention, l. 3. Antiq. Rom. Suivant ces Loix la puissance paternelle ne duroit que trois ans aprés la puberté, ou durant le temps que les enfans n ’ étoient point mariez, ou jusqu ’ à ce qu ’ ils fussent employez dans le rôle de ceux qui avoient atteint leur âge viril ; d ’ où l ’ on infere que lorsque les enfans de famille sont parvenus à un âge assez avancé pour se conduire avec prudence, quoy qu ’ en contractant mariage sans le consentement de leurs peres, ils blessent la pieté et manquent au devoir et à la gratitude où ils sont tenus envers eux ; neanmoins leurs mariages ne doivent pas être separez ny annullez : Cette espece de desobeïssance ne suffit pas pour rendre le mariage nul ; car encore que les Loix Romaines l ’ ordonnent de la sorte, cela n ’ est pas fondé sur le droit de la nature, mais sur la volonté des Legislateurs, non ex Natura est, sed ex juris Conditorum voluntate, Grotius ibid. n. 10. car autrement comme les enfans doivent le même respect à leur mere, le mariage contracté sans leur consentement seroit aussi nul ; et cependant par le même Droit Romain l ’ opposition ou le defaut du consentement de la part de la mere ne rend point le mariage nul, et même le fils émancipé peut se marier contre la volonté de son pere : ce que Grotius confirme aussi par l ’ exemple d ’ Esaü, dont les mariages ne furent pas annullez par son pere, ny ses enfans ne furent pas reputez illegitimes, quoy qu ’ il les desaprouvât extrémement, Vide Browerus de jure Connub. apud Batav. l. 1. c. 5. n. 10. et seq.",coutume,DU DOUAIRE.,CCCLXIX. Femme quand a doüaire sur les biens du pere et ayeul de son mary.
solon,Solon (0640?-0561 av. J.-C.),http://data.bnf.fr/ark:/12148/cb13091860r,http://www.idref.fr/028829832/id,-0640,-0640,-0561,-0561,5,basnage,"On allégueroit fort mal à propos en faveur du doüaire le raisonnement des Jurisconsultes Romains, que Reipublica interest dotatas esse mulieres l. solut. matr. D. Nôtre Coûtume n ’ a pas estimé qu ’ il fût si important et si necessaire que les femmes fussent dotées en permettant au pere de marier leurs filles sans leur donner aucune chose, ayant jugé que la force et la grandeur de l ’ état consistoit en la conservation des familles, qui ne subsistent qu ’ en la personne des mâles, et aprés tout c ’ est une grande question s ’ il est utile pour le bien public que les femmes soient dotées. Ces deux illustres Legislateurs, Lycurgue et",Solon,", n ’ étoient pas de ce sentiment, et le premier étant interrogé pourquoy il avoit ordonné que les filles seroient masées sans être dotées, il répondit qu ’ il l ’ avoit fait par cette raison qu ’ il n ’ y en eût point qui demeurassent à marier faute de bien, et que les autres ne fussent recherchées à cause de leurs tichesses. C ’ est une plainte assez ordinaire que les femmes riches sont moins respectueuses, et que souvent elles méprisent leurs maris lors qu ’ ils leurs sont redevables de leur fortune, Dore imperium vendidi, dit un mary dans Plaute. Et c ’ est pourquoy les Egypriens jaloux de l ’ autorité maritale, déclaroient esclaves de leurs femmes les maris qui aoient pris de la dot.","On allégueroit fort mal à propos en faveur du doüaire le raisonnement des Jurisconsultes Romains, que Reipublica interest dotatas esse mulieres l. solut. matr. D. Nôtre Coûtume n ’ a pas estimé qu ’ il fût si important et si necessaire que les femmes fussent dotées en permettant au pere de marier leurs filles sans leur donner aucune chose, ayant jugé que la force et la grandeur de l ’ état consistoit en la conservation des familles, qui ne subsistent qu ’ en la personne des mâles, et aprés tout c ’ est une grande question s ’ il est utile pour le bien public que les femmes soient dotées. Ces deux illustres Legislateurs, Lycurgue et Solon, n ’ étoient pas de ce sentiment, et le premier étant interrogé pourquoy il avoit ordonné que les filles seroient masées sans être dotées, il répondit qu ’ il l ’ avoit fait par cette raison qu ’ il n ’ y en eût point qui demeurassent à marier faute de bien, et que les autres ne fussent recherchées à cause de leurs tichesses. C ’ est une plainte assez ordinaire que les femmes riches sont moins respectueuses, et que souvent elles méprisent leurs maris lors qu ’ ils leurs sont redevables de leur fortune, Dore imperium vendidi, dit un mary dans Plaute. Et c ’ est pourquoy les Egypriens jaloux de l ’ autorité maritale, déclaroient esclaves de leurs femmes les maris qui aoient pris de la dot.",coutume,DU DOUAIRE.,CCCLXXIV. Doüaire prefix.
solon,Solon (0640?-0561 av. J.-C.),http://data.bnf.fr/ark:/12148/cb13091860r,http://www.idref.fr/028829832/id,-0640,-0640,-0561,-0561,6,basnage,"La Coûtume a reduit les Testamens à leur premier usage : Ils n ’ étoient dans leur origine que de simples dispositions des peres envers leurs enfans, ou au défaut d ’ enfans on ne prenoit la liberté de tester que pour reconnoître quelque bien-fait ou quelque service :",Solon,"ne les approuva par ses Loix qu ’ à ces conditions ; et si Platon et Aristote, qui ont tant crié contre ce déreglement que les hommes faisoient paroître en leurs dernieres volontez, avoient connû la moderation de nôtre Coûtume et le peu d ’ étenduë. qu ’ elle donne aux Testamens, ils l ’ auroient sans doute reçûë dans leurs Republiques.","La Coûtume a reduit les Testamens à leur premier usage : Ils n ’ étoient dans leur origine que de simples dispositions des peres envers leurs enfans, ou au défaut d ’ enfans on ne prenoit la liberté de tester que pour reconnoître quelque bien-fait ou quelque service : Solon ne les approuva par ses Loix qu ’ à ces conditions ; et si Platon et Aristote, qui ont tant crié contre ce déreglement que les hommes faisoient paroître en leurs dernieres volontez, avoient connû la moderation de nôtre Coûtume et le peu d ’ étenduë. qu ’ elle donne aux Testamens, ils l ’ auroient sans doute reçûë dans leurs Republiques.",coutume,DES TESTAMENS.,introduction
solon,Solon (0640?-0561 av. J.-C.),http://data.bnf.fr/ark:/12148/cb13091860r,http://www.idref.fr/028829832/id,-0640,-0640,-0561,-0561,7,basnage,"Si par le moyen de la couverture d ’ une maison, l ’ eau qui tombe du Ciel, incommode le voisin, le proprietaire de cette maison fera tenu de la détourner, car encore qu ’ elle tombe naturellement du Ciel, et que chacuu puisse batir sur son fonds à sa volonté, il ne le peut nean-noins au dommage d ’ autruy ; il en seroit autrement lors que l ’ eau qui tomberoit directement du Ciel viendroit à s ’ écouler par son égoust et pente naturelle sur l ’ héritage voisin ; en ce cas comme il n ’ y auroit rien du fait de l ’ homme, chacun doit supporter avec patience l ’ incommodité qui luy est causée par cette voye, l. 1. 5. ult. D. de aqua plu. arcend. et quand même l ’ on feroit écouler par des conduits et égoûts feau qui tomberoit en trop grande quantité sur la terre, quoy que cela fût nuisible au voisin, il n ’ auroit pas d ’ action pour s ’ en plaindte, si lon ne peut donner un autre cours à cette eau, l. 1. 8. de eo, et 5. apud Labeonem, D. de aqua et aqu. plu. ce que j ’ ay remarqué sur l ’ Article precedent. l est permis de planter aussi bien que de bâtit sur son héritage ; mais encoreque lon puisse batir joignant son voisin, on n ’ y peut pas planter sans y laisser un intervalle : Suivant la Loy dernière, fin. reg. il étoit permis de planter les oliviers et les figuiers à neuf pieds, et les autres arbres à cinq pieds. Cette Loy a été prise de celles de",Solon,", qui ordonnent la même chose, comme Plutarque l ’ a remarqué en sa vie-","Si par le moyen de la couverture d ’ une maison, l ’ eau qui tombe du Ciel, incommode le voisin, le proprietaire de cette maison fera tenu de la détourner, car encore qu ’ elle tombe naturellement du Ciel, et que chacuu puisse batir sur son fonds à sa volonté, il ne le peut nean-noins au dommage d ’ autruy ; il en seroit autrement lors que l ’ eau qui tomberoit directement du Ciel viendroit à s ’ écouler par son égoust et pente naturelle sur l ’ héritage voisin ; en ce cas comme il n ’ y auroit rien du fait de l ’ homme, chacun doit supporter avec patience l ’ incommodité qui luy est causée par cette voye, l. 1. 5. ult. D. de aqua plu. arcend. et quand même l ’ on feroit écouler par des conduits et égoûts feau qui tomberoit en trop grande quantité sur la terre, quoy que cela fût nuisible au voisin, il n ’ auroit pas d ’ action pour s ’ en plaindte, si lon ne peut donner un autre cours à cette eau, l. 1. 8. de eo, et 5. apud Labeonem, D. de aqua et aqu. plu. ce que j ’ ay remarqué sur l ’ Article precedent. l est permis de planter aussi bien que de bâtit sur son héritage ; mais encoreque lon puisse batir joignant son voisin, on n ’ y peut pas planter sans y laisser un intervalle : Suivant la Loy dernière, fin. reg. il étoit permis de planter les oliviers et les figuiers à neuf pieds, et les autres arbres à cinq pieds. Cette Loy a été prise de celles de Solon, qui ordonnent la même chose, comme Plutarque l ’ a remarqué en sa vie-",coutume,DE SERVITUDES.,DCVIII.
solon,Solon (0640?-0561 av. J.-C.),http://data.bnf.fr/ark:/12148/cb13091860r,http://www.idref.fr/028829832/id,-0640,-0640,-0561,-0561,1,berault,"PLutarque dit que du tems de Themistocles ce qu ’ on appelloit sagesse n ’ estoit autre chofe qu ’ une prudence à bien manier les affaires, qu ’ vn bon sens et iugement en ce qui concernoit l ’ estat et le gouuernement : et que du tems de Solon la plus pait des sages recherchoyent principalement la philosophie qu ’ on nomme Politique, qui par l ’ autorité du magistrat establit les loix et fait les ordonnances pour le gouuernement des royaumes, prouinces, villes et communautez, afin qu ’ vn chacun eu égard à sa qualité et au rang qu ’ il tient se cont ienne en son deuoir et conserue le repos d ’ une vie honneste et ciuile. Elle a pour compagne la iurisprudence et la iustice, qui tendans aux mesmes fins assignent et distribuent équitablement à chacun ce qui luy appartient. Elle se regle comme sur vne iuste esquierre sur le droit diuin et canonique extrait en la plus part de la Theologie et doctrine des anciens peres : et ceux qui sont esclairez et suiuent la lumière de ces sciences conformans leur vie aux preceptes qui s ’ en tirent paruiennent facilement à la beatitude de l ’ un et l ’ autre monde. Car le vray but et la fin prinmpale ou tend le droit ciuil est la seule felicité de la société humaine, a comme le dioit diuin et canonie ne se proposent autre chose que le iouyr du contentement incomparable de la vie celeste ou tout de mesine s ’ abourit la iustice. Et certes aussi c ’ est le plus serieux et le plus important estude auquel on puisse vaquer, c ’ est di-je la plus belle et la plus fructueuse philosophie à laquelle l ’ homme arrière bien loing toutes autres affaires se puisse addonner, qu ’ Ulpian en suite de ce definit bien à mon gré E veram non simulatam philosophiam, et qualifie fort proprement les iurisconsultes de cet honorable titre et beau nom de presties. Theodoric en Cassiodore appelle la iudicature facerdoce, absit, inquit, à iudiciariis mentibus aliquid profanum : pio princiti sub quodam sacerdotio seruiatur. Et à vraydire s ’ il est sans dotte que les loix et les canons soyent sacrez, cil ne conuient pas a toutes sortes de personnes indistinctement les manier, interpreter : et auoir l ’ administration de la iustice : il est tres-necessaire qu ’ elles soyent par vne singuliere election triées et distinguées du commun peuple, et qu ’ appellées à vn sidiuin ministere elles ayent les intentions candides, les actions pures et saintes, non polluées d ’ aucune peruerse affectionrentre lesquels neanmoins il s ’ en peut rencontrer qui ne sçachans parfaitement comme il faut les diuins secrets ne les peuuent pas aussi reueler aux Mystes, ny communiquer aux nouices qui par vn loüable desir demandent etre receus en leur ordre et se pousser plus auant, rauis qu ’ ils sont de l ’ excellente beauté et maiesté incomparable de cette science : ce qu ’ ils pourroient mieux faire par le moyen de ceux qui ont l ’ heur et l ’ honneur d ’ entrer auec admiration iournellement dans les lieux plus reclus du temple de Themis, duquel il remportent auec eux la sapience qu ’ Afranius en A. Gelle appelle fille de l ’ ysage et de la memoire. Cette considerationdeuoit peut etre me dissuader d ’ entreprendre cet oeuure et le laisser aux plus auancez en ces facrez mysteres. Mais comme il arriue souuent que ceux qui par vne particulière faueur duciel ont la parfaite connoissance des choses s arrestent à leur seul contentement, sans vouloir prendre la peine de les escrire et mettre au iour, et domeurent cachées iusqu ’ à ce que par quelque familier qui aura recueilly des fruits de leur couersation le public en soit fait participant : ainsi ay-je à tous hazards d ’ vne pieuse affection osé donner à mon pays les apprentissages que l ’ ay faits en la communication des plusversez aux loix de cette prouince, comme autresfois Cn. Flauius donna au peuple Romain le liure des secrets des Pontifes encor qu ’ Appius Claudius en fust l ’ auteur, duquel il estoit le scribe et qu ’ il ne vouloit le rendre commun. Ce n ’ est pas icy un Cuure trouué fait, mais ce sont en la diuersité du suiet diuerses pieces assemblées en vn cors, auquel les arrests des compagnies souueraines, qui sont les vrays patrons des iugemens desquels la certitude est vn pole fixe sur lequel roule nostre iurisprudence, tiennent le principallieu et font leplus haut prix. a quoy faire l ’ ay d ’ autant plus esté excité que l ’ ay remarqué un chacun désireux au possible des arrets prononcez aux autres Parlemens faute de rechercher ceux de la Cour souueraine de nostre prouince, sur laquelle pourtant Astrée n ’ est pas moins prodigue de faire couler son influence que sur les autres.",Solon,"voulut autresfois qu ’ il ne fust loisible à personne d ’ aller puiser de l ’ eau au puits de son voiin qu ’ au prealable il n ’ en eust cherché par tout dans les entrailles de son fond, aussi est il indecent et ridicule emprunter d ’ autruy ce que l ’ on a chez soy.","PLutarque dit que du tems de Themistocles ce qu ’ on appelloit sagesse n ’ estoit autre chofe qu ’ une prudence à bien manier les affaires, qu ’ vn bon sens et iugement en ce qui concernoit l ’ estat et le gouuernement : et que du tems de Solon la plus pait des sages recherchoyent principalement la philosophie qu ’ on nomme Politique, qui par l ’ autorité du magistrat establit les loix et fait les ordonnances pour le gouuernement des royaumes, prouinces, villes et communautez, afin qu ’ vn chacun eu égard à sa qualité et au rang qu ’ il tient se cont ienne en son deuoir et conserue le repos d ’ une vie honneste et ciuile. Elle a pour compagne la iurisprudence et la iustice, qui tendans aux mesmes fins assignent et distribuent équitablement à chacun ce qui luy appartient. Elle se regle comme sur vne iuste esquierre sur le droit diuin et canonique extrait en la plus part de la Theologie et doctrine des anciens peres : et ceux qui sont esclairez et suiuent la lumière de ces sciences conformans leur vie aux preceptes qui s ’ en tirent paruiennent facilement à la beatitude de l ’ un et l ’ autre monde. Car le vray but et la fin prinmpale ou tend le droit ciuil est la seule felicité de la société humaine, a comme le dioit diuin et canonie ne se proposent autre chose que le iouyr du contentement incomparable de la vie celeste ou tout de mesine s ’ abourit la iustice. Et certes aussi c ’ est le plus serieux et le plus important estude auquel on puisse vaquer, c ’ est di-je la plus belle et la plus fructueuse philosophie à laquelle l ’ homme arrière bien loing toutes autres affaires se puisse addonner, qu ’ Ulpian en suite de ce definit bien à mon gré E veram non simulatam philosophiam, et qualifie fort proprement les iurisconsultes de cet honorable titre et beau nom de presties. Theodoric en Cassiodore appelle la iudicature facerdoce, absit, inquit, à iudiciariis mentibus aliquid profanum : pio princiti sub quodam sacerdotio seruiatur. Et à vraydire s ’ il est sans dotte que les loix et les canons soyent sacrez, cil ne conuient pas a toutes sortes de personnes indistinctement les manier, interpreter : et auoir l ’ administration de la iustice : il est tres-necessaire qu ’ elles soyent par vne singuliere election triées et distinguées du commun peuple, et qu ’ appellées à vn sidiuin ministere elles ayent les intentions candides, les actions pures et saintes, non polluées d ’ aucune peruerse affectionrentre lesquels neanmoins il s ’ en peut rencontrer qui ne sçachans parfaitement comme il faut les diuins secrets ne les peuuent pas aussi reueler aux Mystes, ny communiquer aux nouices qui par vn loüable desir demandent etre receus en leur ordre et se pousser plus auant, rauis qu ’ ils sont de l ’ excellente beauté et maiesté incomparable de cette science : ce qu ’ ils pourroient mieux faire par le moyen de ceux qui ont l ’ heur et l ’ honneur d ’ entrer auec admiration iournellement dans les lieux plus reclus du temple de Themis, duquel il remportent auec eux la sapience qu ’ Afranius en A. Gelle appelle fille de l ’ ysage et de la memoire. Cette considerationdeuoit peut etre me dissuader d ’ entreprendre cet oeuure et le laisser aux plus auancez en ces facrez mysteres. Mais comme il arriue souuent que ceux qui par vne particulière faueur duciel ont la parfaite connoissance des choses s arrestent à leur seul contentement, sans vouloir prendre la peine de les escrire et mettre au iour, et domeurent cachées iusqu ’ à ce que par quelque familier qui aura recueilly des fruits de leur couersation le public en soit fait participant : ainsi ay-je à tous hazards d ’ vne pieuse affection osé donner à mon pays les apprentissages que l ’ ay faits en la communication des plusversez aux loix de cette prouince, comme autresfois Cn. Flauius donna au peuple Romain le liure des secrets des Pontifes encor qu ’ Appius Claudius en fust l ’ auteur, duquel il estoit le scribe et qu ’ il ne vouloit le rendre commun. Ce n ’ est pas icy un Cuure trouué fait, mais ce sont en la diuersité du suiet diuerses pieces assemblées en vn cors, auquel les arrests des compagnies souueraines, qui sont les vrays patrons des iugemens desquels la certitude est vn pole fixe sur lequel roule nostre iurisprudence, tiennent le principallieu et font leplus haut prix. a quoy faire l ’ ay d ’ autant plus esté excité que l ’ ay remarqué un chacun désireux au possible des arrets prononcez aux autres Parlemens faute de rechercher ceux de la Cour souueraine de nostre prouince, sur laquelle pourtant Astrée n ’ est pas moins prodigue de faire couler son influence que sur les autres. Solon voulut autresfois qu ’ il ne fust loisible à personne d ’ aller puiser de l ’ eau au puits de son voiin qu ’ au prealable il n ’ en eust cherché par tout dans les entrailles de son fond, aussi est il indecent et ridicule emprunter d ’ autruy ce que l ’ on a chez soy.",<front>,AVANT-PROPOS AU LECTEUR,
solon,Solon (0640?-0561 av. J.-C.),http://data.bnf.fr/ark:/12148/cb13091860r,http://www.idref.fr/028829832/id,-0640,-0640,-0561,-0561,2,berault,,Solon,"voulut que les femmes n ’ apportassent à leurs maris que trois robbes seulement auec quelques autres meubles de bien petite valeur, comme dit Plutarque en sa vie. En Perse et en l ’ Armenie la fille n ’ emportoit rien de la maison que des meubles : Coustume encor gardee en toût lOrient et presque en toute l ’ Affrique dit Bodin en sa republique liure 5. chapître 2.","Solon voulut que les femmes n ’ apportassent à leurs maris que trois robbes seulement auec quelques autres meubles de bien petite valeur, comme dit Plutarque en sa vie. En Perse et en l ’ Armenie la fille n ’ emportoit rien de la maison que des meubles : Coustume encor gardee en toût lOrient et presque en toute l ’ Affrique dit Bodin en sa republique liure 5. chapître 2.","COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY.",DE SVCCESSION EN PROPRE ET ANCIEN PATRIMOINE TANT EN ligne directe que collaterale.,CCL.
solon,Solon (0640?-0561 av. J.-C.),http://data.bnf.fr/ark:/12148/cb13091860r,http://www.idref.fr/028829832/id,-0640,-0640,-0561,-0561,3,berault,C ’ est pour obuier aux suggestions et inductions qui feroient casser les testamens en faueur de quelqu ’ s personnes qu ’ ils fussent faits l. 1. c. si quis alid. lesti proh. Plutharque en la vie de,Solon,", Platon en l ’ onzième liure de ses loix, Cicia offic. Mihi quidem, inquit, etiâ vera hereditates non honesta videntur si sint malitiosis bladitiis officiorum non véritate simulatione quesiiae. Le testament sera dit fait par suggestion si le curé ou tabellioninterroge ipecialement le testateur s ’ il veut donner telle chose avntel ex l. 1. 8. qui questionemde question.","C ’ est pour obuier aux suggestions et inductions qui feroient casser les testamens en faueur de quelqu ’ s personnes qu ’ ils fussent faits l. 1. c. si quis alid. lesti proh. Plutharque en la vie de Solon, Platon en l ’ onzième liure de ses loix, Cicia offic. Mihi quidem, inquit, etiâ vera hereditates non honesta videntur si sint malitiosis bladitiis officiorum non véritate simulatione quesiiae. Le testament sera dit fait par suggestion si le curé ou tabellioninterroge ipecialement le testateur s ’ il veut donner telle chose avntel ex l. 1. 8. qui questionemde question.","COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY.",DE TESTAMENS.,CCCCXII.
