,ID,Auteur,Naissance (min),Naissance (max),Mort (min),Mort (max),size
0,ambroise,Ambroise (0340?-0397 ; saint),0340-01-01,0340-01-01,0397-01-01,0397-01-01,8
1,ammian,Ammien Marcellin (0330?-0400?),0330-01-01,0330-01-01,0395-01-01,0395-01-01,3
2,anast,Anastase I (0431?-0518 ; empereur d'Orient),0431-01-01,0431-01-01,0518-01-01,0518-01-01,3
3,antipater,,-0099-01-01,0001-01-01,0001-01-01,0099-01-01,1
4,appius-claudius,,-0399-01-01,-0300-01-01,-0299-01-01,-0200-01-01,1
5,appo,Sidoine Apollinaire (0431?-0487? ; saint),0431-01-01,0431-01-01,0487-01-01,0487-01-01,1
6,apulee,Apulée (0125?-0180?),0125-01-01,0125-01-01,0180-01-01,0180-01-01,3
7,arcadius,Arcadius (0377?-0408 ; empereur d'Orient),0377-01-01,0377-01-01,0408-01-01,0408-01-01,6
8,arist,Apulée (0125?-0180?),-0384-01-01,-0384-01-01,-0322-01-01,-0322-01-01,6
9,aristophane,Aristophane (0445?-0386? av. J.-C.),-0445-01-01,-0445-01-01,-0386-01-01,-0386-01-01,1
10,aristote,Apulée (0125?-0180?),-0384-01-01,-0384-01-01,-0322-01-01,-0322-01-01,21
11,artemidore,Artémidore d'Éphèse (01..-01..?),0100-01-01,0199-01-01,0100-01-01,0199-01-01,1
12,augustin,Augustin (0354-0430 ; saint),0354-01-01,0354-01-01,0430-01-01,0430-01-01,24
13,aulus,Aulu-Gelle (0123?-0180?),0123-01-01,0123-01-01,0180-01-01,0180-01-01,11
14,basile,Basile de Césarée (0329?-0379 ; saint),0329-01-01,0329-01-01,0379-01-01,0379-01-01,4
15,caesar,"César, Jules (0100-0044 av. J.-C.)",-0100-01-01,-0100-01-01,-0044-01-01,-0044-01-01,11
16,cassiod,Cassiodore (0490?-0580?),0490-01-01,0490-01-01,0580-01-01,0580-01-01,10
17,cassius,,0155-01-01,0155-01-01,0235-01-01,0235-01-01,4
18,caton,"Cato, Valerius (0090-0001 av. J.C.)",-0090-01-01,-0090-01-01,-0001-01-01,-0001-01-01,3
