ID,Auteur,Naissance (min),Naissance (max),Mort (min),Mort (max),Témoin,size
ambroise,Ambroise (0340?-0397 ; saint),0340,0340,0397,0397,basnage,5
ambroise,Ambroise (0340?-0397 ; saint),0340,0340,0397,0397,berault,2
ambroise,Ambroise (0340?-0397 ; saint),0340,0340,0397,0397,terrien,1
ammian,Ammien Marcellin (0330?-0400?),0330,0330,0395,0395,basnage,2
ammian,Ammien Marcellin (0330?-0400?),0330,0330,0395,0395,berault,1
anast,Anastase I (0431?-0518 ; empereur d'Orient),0431,0431,0518,0518,basnage,2
anast,Anastase I (0431?-0518 ; empereur d'Orient),0431,0431,0518,0518,berault,1
antipater,antipater,-0099,0001,0001,0099,basnage,1
appius-claudius,appius-claudius,-0399,-0300,-0299,-0200,berault,1
appo,Sidoine Apollinaire (0431?-0487? ; saint),0431,0431,0487,0487,basnage,1
apulee,Apulée (0125?-0180?),0125,0125,0180,0180,basnage,2
apulee,Apulée (0125?-0180?),0125,0125,0180,0180,berault,1
arcadius,Arcadius (0377?-0408 ; empereur d'Orient),0377,0377,0408,0408,basnage,6
arist,Apulée (0125?-0180?),-0384,-0384,-0322,-0322,berault,6
aristophane,Aristophane (0445?-0386? av. J.-C.),-0445,-0445,-0386,-0386,basnage,1
aristote,Apulée (0125?-0180?),-0384,-0384,-0322,-0322,basnage,13
aristote,Apulée (0125?-0180?),-0384,-0384,-0322,-0322,terrien,8
artemidore,Artémidore d'Éphèse (01..-01..?),0100,0199,0100,0199,basnage,1
augustin,Augustin (0354-0430 ; saint),0354,0354,0430,0430,basnage,14
augustin,Augustin (0354-0430 ; saint),0354,0354,0430,0430,berault,5
augustin,Augustin (0354-0430 ; saint),0354,0354,0430,0430,terrien,5
aulus,Aulu-Gelle (0123?-0180?),0123,0123,0180,0180,basnage,6
aulus,Aulu-Gelle (0123?-0180?),0123,0123,0180,0180,berault,2
aulus,Aulu-Gelle (0123?-0180?),0123,0123,0180,0180,terrien,3
basile,Basile de Césarée (0329?-0379 ; saint),0329,0329,0379,0379,basnage,4
