,ID,Auteur,Naissance (min),Naissance (max),Mort (min),Mort (max),Témoin,Partie,Chapitre,Section,size
0,ambroise,Ambroise (0340?-0397 ; saint),0340-01-01,0340-01-01,0397-01-01,0397-01-01,basnage,coutume,DE SUCCESSIONS EN PROPRE,CCXXXV. Temps et acte de l ’ adition d ’ heredité.,4
1,ambroise,Ambroise (0340?-0397 ; saint),0340-01-01,0340-01-01,0397-01-01,0397-01-01,basnage,coutume,DU DOUAIRE.,CCCLXIX. Femme quand a doüaire sur les biens du pere et ayeul de son mary.,1
2,ambroise,Ambroise (0340?-0397 ; saint),0340-01-01,0340-01-01,0397-01-01,0397-01-01,berault,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY.",DE DONATIONS.,CCCCXXXIIII.,1
3,ambroise,Ambroise (0340?-0397 ; saint),0340-01-01,0340-01-01,0397-01-01,0397-01-01,berault,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY.",DE SVCCESSION EN PROPRE ET ANCIEN PATRIMOINE TANT EN ligne directe que collaterale.,introduction,1
4,ambroise,Ambroise (0340?-0397 ; saint),0340-01-01,0340-01-01,0397-01-01,0397-01-01,terrien,"LIVRE QVATRIEME. QVI EST DES DROICTS ET DEMAIne du Roy, et de la chose publique.",Des pauures et mandiens valides. Chap. XXVII.,Henry 1556.,1
5,ammian,Ammien Marcellin (0330?-0400?),0330-01-01,0330-01-01,0395-01-01,0395-01-01,basnage,coutume,"DE SUCCESSION EN PROPRE AU BAILLIAGE DE CAUX, ET AUTRES LIEUX TENANS NATURE D ’ ICELUY.",introduction,2
6,ammian,Ammien Marcellin (0330?-0400?),0330-01-01,0330-01-01,0395-01-01,0395-01-01,berault,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY.",TITRE DE JURISDICTION.,XXIII.,1
7,anast,Anastase I (0431?-0518 ; empereur d'Orient),0431-01-01,0431-01-01,0518-01-01,0518-01-01,basnage,coutume,DE SUCCESSIONS EN PROPRE,CCXXXV. Temps et acte de l ’ adition d ’ heredité.,2
8,anast,Anastase I (0431?-0518 ; empereur d'Orient),0431-01-01,0431-01-01,0518-01-01,0518-01-01,berault,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY.",DE BRIEF DE MARIAGE ENCOMBRÉ.,V. C. XXXVIII.,1
9,antipater,,-0099-01-01,0001-01-01,0001-01-01,0099-01-01,basnage,coutume,DES FIEFS ET DROITS FEODAUX,CCX. Nouvelle construction de pescherie et moulin.,1
10,appius-claudius,,-0399-01-01,-0300-01-01,-0299-01-01,-0200-01-01,berault,<front>,AVANT-PROPOS AU LECTEUR,,1
11,appo,Sidoine Apollinaire (0431?-0487? ; saint),0431-01-01,0431-01-01,0487-01-01,0487-01-01,basnage,coutume,DES SUCCESSIONS COLLATERALES AUX MEUBLES ET ACQUESTS.,CCCXXIX. Quelle part la femme aprés la mort du mary prend aux conquests.,1
12,apulee,Apulée (0125?-0180?),0125-01-01,0125-01-01,0180-01-01,0180-01-01,basnage,coutume,DE HARO.,introduction,1
13,apulee,Apulée (0125?-0180?),0125-01-01,0125-01-01,0180-01-01,0180-01-01,basnage,coutume,DU DOUAIRE.,CCCLXIX. Femme quand a doüaire sur les biens du pere et ayeul de son mary.,1
14,apulee,Apulée (0125?-0180?),0125-01-01,0125-01-01,0180-01-01,0180-01-01,berault,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY.",DES EXECVTIONS PAR DECRET.,V. C. LIIII.,1
15,arcadius,Arcadius (0377?-0408 ; empereur d'Orient),0377-01-01,0377-01-01,0408-01-01,0408-01-01,basnage,coutume,DE SUCCESSIONS EN PROPRE,CCXXXV. Temps et acte de l ’ adition d ’ heredité.,4
16,arcadius,Arcadius (0377?-0408 ; empereur d'Orient),0377-01-01,0377-01-01,0408-01-01,0408-01-01,basnage,coutume,DES FIEFS ET DROITS FEODAUX,CCX. Nouvelle construction de pescherie et moulin.,1
17,arcadius,Arcadius (0377?-0408 ; empereur d'Orient),0377-01-01,0377-01-01,0408-01-01,0408-01-01,basnage,coutume,DES FIEFS ET DROITS FEODAUX,introduction,1
18,arist,Apulée (0125?-0180?),-0384-01-01,-0384-01-01,-0322-01-01,-0322-01-01,berault,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY.",CHAPITRE DE GARDES.,CCXXVII.,1
19,arist,Apulée (0125?-0180?),-0384-01-01,-0384-01-01,-0322-01-01,-0322-01-01,berault,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY.",CHAPITRE DES FIEFS ET DROITS FEODAVX.,CXXV.,1
20,arist,Apulée (0125?-0180?),-0384-01-01,-0384-01-01,-0322-01-01,-0322-01-01,berault,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY.","DE DOVAIRE DE FEMMES, ET VEVFVAGE. des maris.",CCCLXXXII.,1
21,arist,Apulée (0125?-0180?),-0384-01-01,-0384-01-01,-0322-01-01,-0322-01-01,berault,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY.",DE TESTAMENS.,CCCCXXII.,1
22,arist,Apulée (0125?-0180?),-0384-01-01,-0384-01-01,-0322-01-01,-0322-01-01,berault,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY.",DES EXECVTIONS PAR DECRET.,introduction,1
