ID,Auteur,BnF,IdRef,Naissance (min),Naissance (max),Mort (min),Mort (max),N°,Témoin,Contexte G,Mention,Contexte D,Paragraphe,Partie,Chapitre,Section
cassiod,Cassiodore (0490?-0580?),http://data.bnf.fr/ark:/12148/cb121582004,http://www.idref.fr/030097703/id,0490-01-01,0490-01-01,0580-01-01,0580-01-01,1,basnage,,Cassiodore,", l. 7. variar. c. 46. nous en a donné la Formule, et pour l ’ obtenir il n ’ étoit point pesoin d ’ exprimer d ’ autre cause que la parenté : C ’ est sur ce modéle qu ’ on a établi ce que nous vons dans l ’ Edit de Nantes pour le mariagé des cousins germains, entre ceux de la Religion Prétenduë Reformée qui obtiennent la Dispense du Prince sans autre cause que celle de la parenté.","Cassiodore, l. 7. variar. c. 46. nous en a donné la Formule, et pour l ’ obtenir il n ’ étoit point pesoin d ’ exprimer d ’ autre cause que la parenté : C ’ est sur ce modéle qu ’ on a établi ce que nous vons dans l ’ Edit de Nantes pour le mariagé des cousins germains, entre ceux de la Religion Prétenduë Reformée qui obtiennent la Dispense du Prince sans autre cause que celle de la parenté.",coutume,DE SUCCESSIONS EN PROPRE,CCXXXV. Temps et acte de l ’ adition d ’ heredité.
cassiod,Cassiodore (0490?-0580?),http://data.bnf.fr/ark:/12148/cb121582004,http://www.idref.fr/030097703/id,0490-01-01,0490-01-01,0580-01-01,0580-01-01,2,basnage,"On a traité cette question au Parlement de Tolose, si la femme qui s ’ étoit fiancée par paroles de present dans l ’ an de deüil avec l ’ ennemy capital de son mary, perdoit le legs qui luy avoit été fait ; On pretendait que le legs étoit censé revoqué par la seule presomption dont le Jurisconsulte se sert en la l. 2. ff. de di. leg. en laquelle on demande si le legs eft dû au legataire qui est devenu ennemy du Testateur, et si quidem, dit-il, eapitales vel gravissimae injuria intercesserunt, ademptum videtur quod relictum est : Par cette même raison il n ’ y a pas d ’ apparence que si le Testateur eût piévû que sa femme eût épousé son ennemy capital il eût usé de liberalité envers elle : que si dans la Loy 28. Cod. de inoff. testament. une mére se rend indigne de la succession de son fils en se joignant d ’ amitié avec fes ennemis, devesant par cette liaison en quelque façon son ennemie, à plus forte raison une femme est pri-vable du legs qui luy a été fait : par le défunt, puisqu ’ il n ’ y a point de societé plus étroite que celle du mary et de la femme : en se remariant avec l ’ ennemy capital de son mary, elle donnoit sujet de croire qu ’ elle ne l ’ avoit pas regardé en cette qualité durant la vie de son mary, et qu ’ au contraire elle avoit eu de l ’ affection pour luy puisqu ’ elle l ’ avoit épousé dans l ’ an du deuil, et elle ne pouvoit témoigner plus ouvertement qu ’ elle n ’ avoit point aimé son mary qu ’ en faisant paroître à son ennemy qu ’ elle étoit insensible à sa perte. La femme répondoit que bien qu ’ elle se fût fiancée dans l ’ an de son deüil, elle ne devoit pas être privée de son legs, que virum eliget intra id tempus sponsam fuisse non nocet l. solet ff. de his qui nec infam. Sur quoy M ’ Cujas dit, mulierem sponsalitia sibi interim querere posse illesâ existimatione. et qu ’ on luy reprochoit injustement d ’ avoir épousé l ’ ennemy capital de son mary, puisque la Loy du Christianisme ne souffroit pas les inimitiez, et qu ’ elle condamnoit les ressentimens,",Cassiod,"turpe est homini orthodoxo refricare injurias et odiorum sopitos cineres suscitare, Cassiod. de amicitiâ, c. 16. qu ’ il seroit inhumain de faire passer leurs haines jusques dans le tombeau : Clau dantur odia cum sepultis. Les enfans qui succedent à leurs peres ne doivent pas succeder à leurs inimitiez, nihil est iniquius quam aliquem fieri haredem odii patermi, Senec. l. 2. Par Arrest du Parlement de Tolose la femme fut privée de son legs ; Cambolas, l. 1. c. 2","On a traité cette question au Parlement de Tolose, si la femme qui s ’ étoit fiancée par paroles de present dans l ’ an de deüil avec l ’ ennemy capital de son mary, perdoit le legs qui luy avoit été fait ; On pretendait que le legs étoit censé revoqué par la seule presomption dont le Jurisconsulte se sert en la l. 2. ff. de di. leg. en laquelle on demande si le legs eft dû au legataire qui est devenu ennemy du Testateur, et si quidem, dit-il, eapitales vel gravissimae injuria intercesserunt, ademptum videtur quod relictum est : Par cette même raison il n ’ y a pas d ’ apparence que si le Testateur eût piévû que sa femme eût épousé son ennemy capital il eût usé de liberalité envers elle : que si dans la Loy 28. Cod. de inoff. testament. une mére se rend indigne de la succession de son fils en se joignant d ’ amitié avec fes ennemis, devesant par cette liaison en quelque façon son ennemie, à plus forte raison une femme est pri-vable du legs qui luy a été fait : par le défunt, puisqu ’ il n ’ y a point de societé plus étroite que celle du mary et de la femme : en se remariant avec l ’ ennemy capital de son mary, elle donnoit sujet de croire qu ’ elle ne l ’ avoit pas regardé en cette qualité durant la vie de son mary, et qu ’ au contraire elle avoit eu de l ’ affection pour luy puisqu ’ elle l ’ avoit épousé dans l ’ an du deuil, et elle ne pouvoit témoigner plus ouvertement qu ’ elle n ’ avoit point aimé son mary qu ’ en faisant paroître à son ennemy qu ’ elle étoit insensible à sa perte. La femme répondoit que bien qu ’ elle se fût fiancée dans l ’ an de son deüil, elle ne devoit pas être privée de son legs, que virum eliget intra id tempus sponsam fuisse non nocet l. solet ff. de his qui nec infam. Sur quoy M ’ Cujas dit, mulierem sponsalitia sibi interim querere posse illesâ existimatione. et qu ’ on luy reprochoit injustement d ’ avoir épousé l ’ ennemy capital de son mary, puisque la Loy du Christianisme ne souffroit pas les inimitiez, et qu ’ elle condamnoit les ressentimens, Cassiod turpe est homini orthodoxo refricare injurias et odiorum sopitos cineres suscitare, Cassiod. de amicitiâ, c. 16. qu ’ il seroit inhumain de faire passer leurs haines jusques dans le tombeau : Clau dantur odia cum sepultis. Les enfans qui succedent à leurs peres ne doivent pas succeder à leurs inimitiez, nihil est iniquius quam aliquem fieri haredem odii patermi, Senec. l. 2. Par Arrest du Parlement de Tolose la femme fut privée de son legs ; Cambolas, l. 1. c. 2",coutume,DU DOUAIRE.,CCCLXXVII.
cassiod,Cassiodore (0490?-0580?),http://data.bnf.fr/ark:/12148/cb121582004,http://www.idref.fr/030097703/id,0490-01-01,0490-01-01,0580-01-01,0580-01-01,1,berault,"PLutarque dit que du tems de Themistocles ce qu ’ on appelloit sagesse n ’ estoit autre chofe qu ’ une prudence à bien manier les affaires, qu ’ vn bon sens et iugement en ce qui concernoit l ’ estat et le gouuernement : et que du tems de Solon la plus pait des sages recherchoyent principalement la philosophie qu ’ on nomme Politique, qui par l ’ autorité du magistrat establit les loix et fait les ordonnances pour le gouuernement des royaumes, prouinces, villes et communautez, afin qu ’ vn chacun eu égard à sa qualité et au rang qu ’ il tient se cont ienne en son deuoir et conserue le repos d ’ une vie honneste et ciuile. Elle a pour compagne la iurisprudence et la iustice, qui tendans aux mesmes fins assignent et distribuent équitablement à chacun ce qui luy appartient. Elle se regle comme sur vne iuste esquierre sur le droit diuin et canonique extrait en la plus part de la Theologie et doctrine des anciens peres : et ceux qui sont esclairez et suiuent la lumière de ces sciences conformans leur vie aux preceptes qui s ’ en tirent paruiennent facilement à la beatitude de l ’ un et l ’ autre monde. Car le vray but et la fin prinmpale ou tend le droit ciuil est la seule felicité de la société humaine, a comme le dioit diuin et canonie ne se proposent autre chose que le iouyr du contentement incomparable de la vie celeste ou tout de mesine s ’ abourit la iustice. Et certes aussi c ’ est le plus serieux et le plus important estude auquel on puisse vaquer, c ’ est di-je la plus belle et la plus fructueuse philosophie à laquelle l ’ homme arrière bien loing toutes autres affaires se puisse addonner, qu ’ Ulpian en suite de ce definit bien à mon gré E veram non simulatam philosophiam, et qualifie fort proprement les iurisconsultes de cet honorable titre et beau nom de presties. Theodoric en",Cassiodore,"appelle la iudicature facerdoce, absit, inquit, à iudiciariis mentibus aliquid profanum : pio princiti sub quodam sacerdotio seruiatur. Et à vraydire s ’ il est sans dotte que les loix et les canons soyent sacrez, cil ne conuient pas a toutes sortes de personnes indistinctement les manier, interpreter : et auoir l ’ administration de la iustice : il est tres-necessaire qu ’ elles soyent par vne singuliere election triées et distinguées du commun peuple, et qu ’ appellées à vn sidiuin ministere elles ayent les intentions candides, les actions pures et saintes, non polluées d ’ aucune peruerse affectionrentre lesquels neanmoins il s ’ en peut rencontrer qui ne sçachans parfaitement comme il faut les diuins secrets ne les peuuent pas aussi reueler aux Mystes, ny communiquer aux nouices qui par vn loüable desir demandent etre receus en leur ordre et se pousser plus auant, rauis qu ’ ils sont de l ’ excellente beauté et maiesté incomparable de cette science : ce qu ’ ils pourroient mieux faire par le moyen de ceux qui ont l ’ heur et l ’ honneur d ’ entrer auec admiration iournellement dans les lieux plus reclus du temple de Themis, duquel il remportent auec eux la sapience qu ’ Afranius en A. Gelle appelle fille de l ’ ysage et de la memoire. Cette considerationdeuoit peut etre me dissuader d ’ entreprendre cet oeuure et le laisser aux plus auancez en ces facrez mysteres. Mais comme il arriue souuent que ceux qui par vne particulière faueur duciel ont la parfaite connoissance des choses s arrestent à leur seul contentement, sans vouloir prendre la peine de les escrire et mettre au iour, et domeurent cachées iusqu ’ à ce que par quelque familier qui aura recueilly des fruits de leur couersation le public en soit fait participant : ainsi ay-je à tous hazards d ’ vne pieuse affection osé donner à mon pays les apprentissages que l ’ ay faits en la communication des plusversez aux loix de cette prouince, comme autresfois Cn. Flauius donna au peuple Romain le liure des secrets des Pontifes encor qu ’ Appius Claudius en fust l ’ auteur, duquel il estoit le scribe et qu ’ il ne vouloit le rendre commun. Ce n ’ est pas icy un Cuure trouué fait, mais ce sont en la diuersité du suiet diuerses pieces assemblées en vn cors, auquel les arrests des compagnies souueraines, qui sont les vrays patrons des iugemens desquels la certitude est vn pole fixe sur lequel roule nostre iurisprudence, tiennent le principallieu et font leplus haut prix. a quoy faire l ’ ay d ’ autant plus esté excité que l ’ ay remarqué un chacun désireux au possible des arrets prononcez aux autres Parlemens faute de rechercher ceux de la Cour souueraine de nostre prouince, sur laquelle pourtant Astrée n ’ est pas moins prodigue de faire couler son influence que sur les autres. Solon voulut autresfois qu ’ il ne fust loisible à personne d ’ aller puiser de l ’ eau au puits de son voiin qu ’ au prealable il n ’ en eust cherché par tout dans les entrailles de son fond, aussi est il indecent et ridicule emprunter d ’ autruy ce que l ’ on a chez soy.","PLutarque dit que du tems de Themistocles ce qu ’ on appelloit sagesse n ’ estoit autre chofe qu ’ une prudence à bien manier les affaires, qu ’ vn bon sens et iugement en ce qui concernoit l ’ estat et le gouuernement : et que du tems de Solon la plus pait des sages recherchoyent principalement la philosophie qu ’ on nomme Politique, qui par l ’ autorité du magistrat establit les loix et fait les ordonnances pour le gouuernement des royaumes, prouinces, villes et communautez, afin qu ’ vn chacun eu égard à sa qualité et au rang qu ’ il tient se cont ienne en son deuoir et conserue le repos d ’ une vie honneste et ciuile. Elle a pour compagne la iurisprudence et la iustice, qui tendans aux mesmes fins assignent et distribuent équitablement à chacun ce qui luy appartient. Elle se regle comme sur vne iuste esquierre sur le droit diuin et canonique extrait en la plus part de la Theologie et doctrine des anciens peres : et ceux qui sont esclairez et suiuent la lumière de ces sciences conformans leur vie aux preceptes qui s ’ en tirent paruiennent facilement à la beatitude de l ’ un et l ’ autre monde. Car le vray but et la fin prinmpale ou tend le droit ciuil est la seule felicité de la société humaine, a comme le dioit diuin et canonie ne se proposent autre chose que le iouyr du contentement incomparable de la vie celeste ou tout de mesine s ’ abourit la iustice. Et certes aussi c ’ est le plus serieux et le plus important estude auquel on puisse vaquer, c ’ est di-je la plus belle et la plus fructueuse philosophie à laquelle l ’ homme arrière bien loing toutes autres affaires se puisse addonner, qu ’ Ulpian en suite de ce definit bien à mon gré E veram non simulatam philosophiam, et qualifie fort proprement les iurisconsultes de cet honorable titre et beau nom de presties. Theodoric en Cassiodore appelle la iudicature facerdoce, absit, inquit, à iudiciariis mentibus aliquid profanum : pio princiti sub quodam sacerdotio seruiatur. Et à vraydire s ’ il est sans dotte que les loix et les canons soyent sacrez, cil ne conuient pas a toutes sortes de personnes indistinctement les manier, interpreter : et auoir l ’ administration de la iustice : il est tres-necessaire qu ’ elles soyent par vne singuliere election triées et distinguées du commun peuple, et qu ’ appellées à vn sidiuin ministere elles ayent les intentions candides, les actions pures et saintes, non polluées d ’ aucune peruerse affectionrentre lesquels neanmoins il s ’ en peut rencontrer qui ne sçachans parfaitement comme il faut les diuins secrets ne les peuuent pas aussi reueler aux Mystes, ny communiquer aux nouices qui par vn loüable desir demandent etre receus en leur ordre et se pousser plus auant, rauis qu ’ ils sont de l ’ excellente beauté et maiesté incomparable de cette science : ce qu ’ ils pourroient mieux faire par le moyen de ceux qui ont l ’ heur et l ’ honneur d ’ entrer auec admiration iournellement dans les lieux plus reclus du temple de Themis, duquel il remportent auec eux la sapience qu ’ Afranius en A. Gelle appelle fille de l ’ ysage et de la memoire. Cette considerationdeuoit peut etre me dissuader d ’ entreprendre cet oeuure et le laisser aux plus auancez en ces facrez mysteres. Mais comme il arriue souuent que ceux qui par vne particulière faueur duciel ont la parfaite connoissance des choses s arrestent à leur seul contentement, sans vouloir prendre la peine de les escrire et mettre au iour, et domeurent cachées iusqu ’ à ce que par quelque familier qui aura recueilly des fruits de leur couersation le public en soit fait participant : ainsi ay-je à tous hazards d ’ vne pieuse affection osé donner à mon pays les apprentissages que l ’ ay faits en la communication des plusversez aux loix de cette prouince, comme autresfois Cn. Flauius donna au peuple Romain le liure des secrets des Pontifes encor qu ’ Appius Claudius en fust l ’ auteur, duquel il estoit le scribe et qu ’ il ne vouloit le rendre commun. Ce n ’ est pas icy un Cuure trouué fait, mais ce sont en la diuersité du suiet diuerses pieces assemblées en vn cors, auquel les arrests des compagnies souueraines, qui sont les vrays patrons des iugemens desquels la certitude est vn pole fixe sur lequel roule nostre iurisprudence, tiennent le principallieu et font leplus haut prix. a quoy faire l ’ ay d ’ autant plus esté excité que l ’ ay remarqué un chacun désireux au possible des arrets prononcez aux autres Parlemens faute de rechercher ceux de la Cour souueraine de nostre prouince, sur laquelle pourtant Astrée n ’ est pas moins prodigue de faire couler son influence que sur les autres. Solon voulut autresfois qu ’ il ne fust loisible à personne d ’ aller puiser de l ’ eau au puits de son voiin qu ’ au prealable il n ’ en eust cherché par tout dans les entrailles de son fond, aussi est il indecent et ridicule emprunter d ’ autruy ce que l ’ on a chez soy.",<front>,AVANT-PROPOS AU LECTEUR,
cassiod,Cassiodore (0490?-0580?),http://data.bnf.fr/ark:/12148/cb121582004,http://www.idref.fr/030097703/id,0490-01-01,0490-01-01,0580-01-01,0580-01-01,2,berault,"Mais entre nous ce mot de froment est vne espèce de pur blé ou n ’ y a ny segle ny autre grain meslé, Alciat. in d. l. frugem de zer. sig. Sous ce terme de blé n ’ est copris le pain, dont ne connoistra le bas iusticier : car combien que le pain se face de blé, tamen mutata forma res alia dicitur esse l. Iul. S. si quis ff. ad exhib. l. 8. Adeo S. cum quis ff. de acquir. rer. do. Aussi la visitation du pain a tousiours esté attribuce u Viconte par arrest du S. Iuin 1526. qui est le reglement sur le fait des boulengers, et par arrests dés 7. Iuillet 1546. et 11. Mars 1548. Videndus",Cassiodorus,lib. 9. formula 18.,"Mais entre nous ce mot de froment est vne espèce de pur blé ou n ’ y a ny segle ny autre grain meslé, Alciat. in d. l. frugem de zer. sig. Sous ce terme de blé n ’ est copris le pain, dont ne connoistra le bas iusticier : car combien que le pain se face de blé, tamen mutata forma res alia dicitur esse l. Iul. S. si quis ff. ad exhib. l. 8. Adeo S. cum quis ff. de acquir. rer. do. Aussi la visitation du pain a tousiours esté attribuce u Viconte par arrest du S. Iuin 1526. qui est le reglement sur le fait des boulengers, et par arrests dés 7. Iuillet 1546. et 11. Mars 1548. Videndus Cassiodorus lib. 9. formula 18.","COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY.",TITRE DE JURISDICTION.,XXIIII.
cassiod,Cassiodore (0490?-0580?),http://data.bnf.fr/ark:/12148/cb121582004,http://www.idref.fr/030097703/id,0490-01-01,0490-01-01,0580-01-01,0580-01-01,3,berault,"Ce qu ’ il doit faire auec conoissance de cause apres auoir fait venir et ouy les tauerniers et hosteliers du lieu, et pris aduis et conseil des officiers ou aduocats s ’ il y. en a, ou des principaux laboureurs, habitans et parroissiens du bourg ou parroisse : Omnibus placeat quod ad cunctorum necesse est pertinere fortunas, precia debent communi deliberatione constitui, quia non est delectatio commercii que iubetur inuitis, dit lin. 9. epist. 14. videndus idem",Cassiod.,"lib, 11. epist. 11. et 12. facit l. f. ff. ad. leg-Iul. de aununa, l, 1. C-de Spisc, aud.","Ce qu ’ il doit faire auec conoissance de cause apres auoir fait venir et ouy les tauerniers et hosteliers du lieu, et pris aduis et conseil des officiers ou aduocats s ’ il y. en a, ou des principaux laboureurs, habitans et parroissiens du bourg ou parroisse : Omnibus placeat quod ad cunctorum necesse est pertinere fortunas, precia debent communi deliberatione constitui, quia non est delectatio commercii que iubetur inuitis, dit lin. 9. epist. 14. videndus idem Cassiod. lib, 11. epist. 11. et 12. facit l. f. ff. ad. leg-Iul. de aununa, l, 1. C-de Spisc, aud.","COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY.",TITRE DE JURISDICTION.,XXVII.
cassiod,Cassiodore (0490?-0580?),http://data.bnf.fr/ark:/12148/cb121582004,http://www.idref.fr/030097703/id,0490-01-01,0490-01-01,0580-01-01,0580-01-01,4,berault,"vel le dementir est vne iniure qui a esté tenue plus atroce depuis que le Roy Fraçois I. ayant enuoyé vn dementir à l ’ Empereur Charles V. dist en la presence des plus grands de son royaume qu ’ il ne tenoit pas pour homme de bien celuy. qui enduroit vn dementir : mais il ne faut pas qualifier vne iniure par l ’ estime qu ’ en fait vn prince au mépris et deshonneur de son ennemy. Neanmoins les François y sont plus chatouilleux que les Italiens, dit Corras in l. si tam angustinu. 5. de seruit. Car les François tirent vn dementir de paroles couuertes. Ce qui prouient d ’ vne promptitude et inclination qu ’ à cette nation plus que toutes les autres à contention et querelle, et de la aux duels. Comme si les François auoyent eu le coeur formé dans l ’ eau de la fontaine Arcthuse, dont parle Aristote, et apres luy",Cassiodore,"liure 8. ep. 32. qu ’ ils disent estre fort coye et tranquille quand onen approche sans dire mot, mais qu ’ au premier son d ’ vne voix haute oud ’ vne forte toux elle s ’ émeut de telle soite, que son eau échauffee fort en bouillons comme l ’ eau d ’ un pot boüillant. Nostre feu Roy Henry le Grand, pour cuiter aux tristes accidens qui a riuoyent de ces duels, les a, comme Roy treseerestien, tres. estroittement de ffendus par son edit duj mois de Iuin 1609. lequel comme tres-saint mérite une exacte et perpetuelle obseruance : cela a esté depuis renouuellé par vne declaration de iun success seur nostre Roy Louys XIII. leué et publice à l ’ audience de la grand ’ Chabre le 12. Féurier 1613. Arrest fut donné le 13. Decembre 1588. au profit d ’ vn nommé Rauen aduocat du Roy à Carenten contre vn nommé Beinaid adijoz cat audit lieu : Sur ce que ledit Besnard auoit dit en iugement audit Rauen que la conclusion par ledit Rauen baillée estoit vneconclusion d ’ escollier. Ledit aduocat du Roy ayant respondu qu ’ il s ’ entendoit mieux que luy a bailler conclusions, fut par ledit Besnard repliqué qu ’ il en auoit menty, ledit Besnard par sentence du Bailly fut condamné en deux escus d ’ amende et six escus d ’ interest enuers la paitie. Sur l ’ appel a minima la Cour en reformant condamna ledit Besnard en vint cinqeseus d ’ amende enuers le Roy, autant en la decoiation dur Palais, autant enuers lapartie et aux despens, et à desdire cotte parole la teste nuë en la iurisdiction et le suspendit de l ’ exercice, d ’ aduo cat iusques à Pasques.","vel le dementir est vne iniure qui a esté tenue plus atroce depuis que le Roy Fraçois I. ayant enuoyé vn dementir à l ’ Empereur Charles V. dist en la presence des plus grands de son royaume qu ’ il ne tenoit pas pour homme de bien celuy. qui enduroit vn dementir : mais il ne faut pas qualifier vne iniure par l ’ estime qu ’ en fait vn prince au mépris et deshonneur de son ennemy. Neanmoins les François y sont plus chatouilleux que les Italiens, dit Corras in l. si tam angustinu. 5. de seruit. Car les François tirent vn dementir de paroles couuertes. Ce qui prouient d ’ vne promptitude et inclination qu ’ à cette nation plus que toutes les autres à contention et querelle, et de la aux duels. Comme si les François auoyent eu le coeur formé dans l ’ eau de la fontaine Arcthuse, dont parle Aristote, et apres luy Cassiodore liure 8. ep. 32. qu ’ ils disent estre fort coye et tranquille quand onen approche sans dire mot, mais qu ’ au premier son d ’ vne voix haute oud ’ vne forte toux elle s ’ émeut de telle soite, que son eau échauffee fort en bouillons comme l ’ eau d ’ un pot boüillant. Nostre feu Roy Henry le Grand, pour cuiter aux tristes accidens qui a riuoyent de ces duels, les a, comme Roy treseerestien, tres. estroittement de ffendus par son edit duj mois de Iuin 1609. lequel comme tres-saint mérite une exacte et perpetuelle obseruance : cela a esté depuis renouuellé par vne declaration de iun success seur nostre Roy Louys XIII. leué et publice à l ’ audience de la grand ’ Chabre le 12. Féurier 1613. Arrest fut donné le 13. Decembre 1588. au profit d ’ vn nommé Rauen aduocat du Roy à Carenten contre vn nommé Beinaid adijoz cat audit lieu : Sur ce que ledit Besnard auoit dit en iugement audit Rauen que la conclusion par ledit Rauen baillée estoit vneconclusion d ’ escollier. Ledit aduocat du Roy ayant respondu qu ’ il s ’ entendoit mieux que luy a bailler conclusions, fut par ledit Besnard repliqué qu ’ il en auoit menty, ledit Besnard par sentence du Bailly fut condamné en deux escus d ’ amende et six escus d ’ interest enuers la paitie. Sur l ’ appel a minima la Cour en reformant condamna ledit Besnard en vint cinqeseus d ’ amende enuers le Roy, autant en la decoiation dur Palais, autant enuers lapartie et aux despens, et à desdire cotte parole la teste nuë en la iurisdiction et le suspendit de l ’ exercice, d ’ aduo cat iusques à Pasques.","COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY.",CHAPITRE DES FIEFS ET DROITS FEODAVX.,CXXV.
cassiod,Cassiodore (0490?-0580?),http://data.bnf.fr/ark:/12148/cb121582004,http://www.idref.fr/030097703/id,0490-01-01,0490-01-01,0580-01-01,0580-01-01,5,berault,Thesaurus est vetus quadam pecuniae depositio cuius non extat mem via et iam dominum nonhabeat.,Cassiod,lib. 6. definit depositam pecuniam que longus etustate competentes dominos amisit.,Thesaurus est vetus quadam pecuniae depositio cuius non extat mem via et iam dominum nonhabeat. Cassiod lib. 6. definit depositam pecuniam que longus etustate competentes dominos amisit.,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY.",CHAPITRE DES FIEFS ET DROITS FEODAVX.,CCXL.
cassiod,Cassiodore (0490?-0580?),http://data.bnf.fr/ark:/12148/cb121582004,http://www.idref.fr/030097703/id,0490-01-01,0490-01-01,0580-01-01,0580-01-01,6,berault,"Le Roy pourtant peut donner dispense de l ’ age ainsi que de droit estoit il ordonné tit, de his qui ven, i L. impetr. Et ne se donnent telles dispenses en la petite Chancellerie, mais les faut impetrer du Roy en la grande, lequel a accoutumé les addresser à sa Cour de Parlement pour infoimer de l ’ honnesteté, sagesse et bonnes meurs de l ’ impetrant, et interiner lesdites lettres par laduis. et deliberation des prochains parens et amis d ’ iceluy, et en ce faisant le mettre hors de garde, et luy deliurer ses fiefs et le permettre à auoir le regime et administration de son bien et reüenu tout ainsique s ’ il estoit agé, hors-mis l ’ alienation de ses biens immeubles pour laquelle seroit besoin de decret de iuge : et ne se donne gueres de lettres que le mineur n ’ ait dixhuit ans accomplis. Vide",Cassiod.,lib. 3. epistolarum epist. 41. et ibi Fornerium.,"Le Roy pourtant peut donner dispense de l ’ age ainsi que de droit estoit il ordonné tit, de his qui ven, i L. impetr. Et ne se donnent telles dispenses en la petite Chancellerie, mais les faut impetrer du Roy en la grande, lequel a accoutumé les addresser à sa Cour de Parlement pour infoimer de l ’ honnesteté, sagesse et bonnes meurs de l ’ impetrant, et interiner lesdites lettres par laduis. et deliberation des prochains parens et amis d ’ iceluy, et en ce faisant le mettre hors de garde, et luy deliurer ses fiefs et le permettre à auoir le regime et administration de son bien et reüenu tout ainsique s ’ il estoit agé, hors-mis l ’ alienation de ses biens immeubles pour laquelle seroit besoin de decret de iuge : et ne se donne gueres de lettres que le mineur n ’ ait dixhuit ans accomplis. Vide Cassiod. lib. 3. epistolarum epist. 41. et ibi Fornerium.","COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY.",CHAPITRE DE GARDES.,CCXXIII.
cassiod,Cassiodore (0490?-0580?),http://data.bnf.fr/ark:/12148/cb121582004,http://www.idref.fr/030097703/id,0490-01-01,0490-01-01,0580-01-01,0580-01-01,7,berault,olimmanus iniectio fixis tabulis fiebat.,Cassiod.,"lib. 5. epist. ep. 6. et lib. 3. epist. 18. au lieu dequoy on vse en France de pannonceaux. Ce qui ne se pratique en Normandie ayant le decreté et tous autres assez de connoissance du décret par la saisie qui se fait à l ’ yssué de la grand Messe parroissiale, en laquelle saisie sont declarez par bouts et costez les héritages saisis.","olimmanus iniectio fixis tabulis fiebat. Cassiod. lib. 5. epist. ep. 6. et lib. 3. epist. 18. au lieu dequoy on vse en France de pannonceaux. Ce qui ne se pratique en Normandie ayant le decreté et tous autres assez de connoissance du décret par la saisie qui se fait à l ’ yssué de la grand Messe parroissiale, en laquelle saisie sont declarez par bouts et costez les héritages saisis.","COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY.",DES EXECVTIONS PAR DECRET.,V. C. XLVII.
cassiod,Cassiodore (0490?-0580?),http://data.bnf.fr/ark:/12148/cb121582004,http://www.idref.fr/030097703/id,0490-01-01,0490-01-01,0580-01-01,0580-01-01,1,pesnelle,"Théodorie mettoit les tréfors au nombre des biens fiscaux, & il se les attribuoit à l ’ exclusion de ses Sujets, quisquis thesaurum reperisset, dit",Cassiodore,", ad fiscum deferre debebat.","Théodorie mettoit les tréfors au nombre des biens fiscaux, & il se les attribuoit à l ’ exclusion de ses Sujets, quisquis thesaurum reperisset, dit Cassiodore, ad fiscum deferre debebat.",COUTUME DE NORMANDIE.,CHAPITRE NEUVIEME. DES FIEFS ET DROITS FEODAUX.,CCXII.
