id,ConDÉ name,found,IdRef name,BnF,IdRef,earliest birth,latest birth,earliest death,latest death
aristote,Aristote,yes,Apulée (0125?-0180?),http://data.bnf.fr/ark:/12148/cb125686918,http://www.idref.fr/034995145/id,-0384,-0384,-0322,-0322
marculphe,Marculphe,yes,Marcoul (0490?-0558 ; saint),http://data.bnf.fr/ark:/12148/cb15607656v,http://www.idref.fr/186330057/id,0490,0490,0558,0558
justinien,Justinien Ier,yes,Justinien Ier (0482-0565 ; empereur de Byzance),http://data.bnf.fr/ark:/12148/cb12055108q,http://www.idref.fr/027770591/id,0482,0482,0565,0565
philon,Philon d'Alexandrie,yes,Philon d'Alexandrie (0030? av. J.-C.-0040?),http://data.bnf.fr/ark:/12148/cb11919600w,http://www.idref.fr/027070980/id,-0030,-0030,,
cicero,Cicéron,yes,Cicéron (0106-0043 av. J.-C.),http://data.bnf.fr/ark:/12148/cb11885977m,http://www.idref.fr/02665234X/id,-0106,-0106,-0043,-0043
quintilien,Quintilien,yes,Quintilien (0030?-0100?),http://data.bnf.fr/ark:/12148/cb11887333t,http://www.idref.fr/026668580/id,0030,0030,0100,0100
pline,Pline le Jeune,yes,Pline le Jeune (0061?-0114?),http://data.bnf.fr/ark:/12148/cb11920050t,http://www.idref.fr/027076474/id,0061,0061,0114,0114
tacite,Tacite,yes,Tacite (0055?-0120?),http://data.bnf.fr/ark:/12148/cb11887667z,http://www.idref.fr/026672316/id,0055,0055,0120,0120
scipion,Scipion l'Africain,yes,Scipion l'Africain (0235-0183 av. J.-C.),http://data.bnf.fr/ark:/12148/cb12651580m,http://www.idref.fr/050595741/id,-0235,-0235,-0183,-0183
pausanias,Pausanias,yes,Pausanias (01..-01..),http://data.bnf.fr/ark:/12148/cb11918834h,http://www.idref.fr/028159969/id,0100,0199,0100,0199
salvian,Salvien,yes,Salvien (0390?-0484?),http://data.bnf.fr/ark:/12148/cb13162798z,http://www.idref.fr/027397793/id,0390,0390,0484,0484
papinien,Papinien,no,,,,0142,0142,0212,0212
arist,Aristote,yes,Apulée (0125?-0180?),http://data.bnf.fr/ark:/12148/cb125686918,http://www.idref.fr/034995145/id,-0384,-0384,-0322,-0322
lampride,Lampride,yes,Guillaume de Jumièges (10..-1090?),http://data.bnf.fr/ark:/12148/cb122973334,http://www.idref.fr/031831532/id,0300,0399,0300,0399
homere,Homère,yes,Homère (08..?-08..? av. J.-C.),http://data.bnf.fr/ark:/12148/cb11907688f,http://www.idref.fr/026924005/id,-0899,-0800,-0899,-0800
virgile,Virgile,yes,Virgile (0070-0019 av. J.-C.),http://data.bnf.fr/ark:/12148/cb11887823w,http://www.idref.fr/026674327/id,-0070,-0070,-0019,-0019
caesar,Jules César ,yes,"César, Jules (0100-0044 av. J.-C.)",http://data.bnf.fr/ark:/12148/cb11894764p,http://www.idref.fr/027303136/id,-0100,-0100,-0044,-0044
s-germain,Germain (saint),no,,,,0490,0499,,
tertullien,Tertullien,yes,Tertullien (0155?-0222?),http://data.bnf.fr/ark:/12148/cb11926244w,http://www.idref.fr/027398153/id,0155,0155,0222,0222
artemidore,Artemidore d'Éphèse,yes,Artémidore d'Éphèse (01..-01..?),http://data.bnf.fr/ark:/12148/cb13091333g,http://www.idref.fr/026692538/id,0100,0199,0100,0199
ulpien,Ulpien,yes,Ulpien (0160-0228),http://data.bnf.fr/ark:/12148/cb14639343n,http://www.idref.fr/067309569/id,0160,0160,0225,0225
diocletien,Dioclétien,yes,Dioclétien (0245-0313 ; empereur romain),http://data.bnf.fr/ark:/12148/cb121834979,http://www.idref.fr/030417112/id,0245,0245,0313,0313
