ID,Auteur,BnF,IdRef,Naissance (min),Naissance (max),Mort (min),Mort (max),N°,Témoin,Contexte G,Mention,Contexte D,Paragraphe,Partie,Chapitre,Section
marculphe,Marcoul (0490?-0558 ; saint),http://data.bnf.fr/ark:/12148/cb15607656v,http://www.idref.fr/186330057/id,0490-01-01,0490-01-01,0558-01-01,0558-01-01,1,basnage,"Les François conserverent leur nom, et comme ils avoient de la peine à distinguer les noms de tant de peuples qui habitoient les Gaules, ils leur donnerent à tous sans distinction le nom de Romains, parce que c ’ étoit celuy de la Nation Dominante, et que la pluspart d ’ entr ’ eux parloient le l an-gage des Romains. Nous en avons les preuves dans",Marculphe,"liv. 1. cap. 40. dans les Loix Saliques, et en plusieurs autres lieux, où par le terme de Romains, il faut entendre les Gaulois, et ceux qui tiroient d ’ eux leur origine. Monsieur Bignon sur cette formule de Marculphe : Romani autem veteres incolae appellabantur, et Conringius lib. 1. cap. 3. rapporte un Edit Roceswindus, de Origine juris Germanici connubio inter Gotthos et Romanos, id est priscos incolas coëundo.","Les François conserverent leur nom, et comme ils avoient de la peine à distinguer les noms de tant de peuples qui habitoient les Gaules, ils leur donnerent à tous sans distinction le nom de Romains, parce que c ’ étoit celuy de la Nation Dominante, et que la pluspart d ’ entr ’ eux parloient le l an-gage des Romains. Nous en avons les preuves dans Marculphe liv. 1. cap. 40. dans les Loix Saliques, et en plusieurs autres lieux, où par le terme de Romains, il faut entendre les Gaulois, et ceux qui tiroient d ’ eux leur origine. Monsieur Bignon sur cette formule de Marculphe : Romani autem veteres incolae appellabantur, et Conringius lib. 1. cap. 3. rapporte un Edit Roceswindus, de Origine juris Germanici connubio inter Gotthos et Romanos, id est priscos incolas coëundo.",coutume,TITRE DE JURISDICTION.,introduction
marculphe,Marcoul (0490?-0558 ; saint),http://data.bnf.fr/ark:/12148/cb15607656v,http://www.idref.fr/186330057/id,0490-01-01,0490-01-01,0558-01-01,0558-01-01,2,basnage,"Les François conserverent leur nom, et comme ils avoient de la peine à distinguer les noms de tant de peuples qui habitoient les Gaules, ils leur donnerent à tous sans distinction le nom de Romains, parce que c ’ étoit celuy de la Nation Dominante, et que la pluspart d ’ entr ’ eux parloient le l an-gage des Romains. Nous en avons les preuves dans Marculphe liv. 1. cap. 40. dans les Loix Saliques, et en plusieurs autres lieux, où par le terme de Romains, il faut entendre les Gaulois, et ceux qui tiroient d ’ eux leur origine. Monsieur Bignon sur cette formule de",Marculphe,": Romani autem veteres incolae appellabantur, et Conringius lib. 1. cap. 3. rapporte un Edit Roceswindus, de Origine juris Germanici connubio inter Gotthos et Romanos, id est priscos incolas coëundo.","Les François conserverent leur nom, et comme ils avoient de la peine à distinguer les noms de tant de peuples qui habitoient les Gaules, ils leur donnerent à tous sans distinction le nom de Romains, parce que c ’ étoit celuy de la Nation Dominante, et que la pluspart d ’ entr ’ eux parloient le l an-gage des Romains. Nous en avons les preuves dans Marculphe liv. 1. cap. 40. dans les Loix Saliques, et en plusieurs autres lieux, où par le terme de Romains, il faut entendre les Gaulois, et ceux qui tiroient d ’ eux leur origine. Monsieur Bignon sur cette formule de Marculphe : Romani autem veteres incolae appellabantur, et Conringius lib. 1. cap. 3. rapporte un Edit Roceswindus, de Origine juris Germanici connubio inter Gotthos et Romanos, id est priscos incolas coëundo.",coutume,TITRE DE JURISDICTION.,introduction
marculphe,Marcoul (0490?-0558 ; saint),http://data.bnf.fr/ark:/12148/cb15607656v,http://www.idref.fr/186330057/id,0490-01-01,0490-01-01,0558-01-01,0558-01-01,3,basnage,"Car encore que quelques-uns mertent de la différence entre les Vidames, et les Avocats, néannoins la pluspart des Auteurs de ce siecle-là les ont confondus ; Pithou des Comtes de Champagne, page 472, et 473 Ces Défenseurs ne pouvoient accepter cet employ que par la permission du Roy : ce qui procedoit apparemment de cette ancienne Coûtume de France, dont",Marculphe,"l. 1. c. 21. nous a conservé la formule, suivant laquelle l ’ on ne pouvoit plaider par Procureur, sans la pernission du Roy. De sorte qu ’ à l ’ effet de pouvoir exercer cette qualité d ’ Advoüez et de Défen-seurs, il leur falloit obtenir l ’ aggrément du Roy. L ’ Histoire nous apprend que dans la suite ces Vidames et ces Avocats en userent fort mal ; mais cela n ’ est pas de mon sujet.","Car encore que quelques-uns mertent de la différence entre les Vidames, et les Avocats, néannoins la pluspart des Auteurs de ce siecle-là les ont confondus ; Pithou des Comtes de Champagne, page 472, et 473 Ces Défenseurs ne pouvoient accepter cet employ que par la permission du Roy : ce qui procedoit apparemment de cette ancienne Coûtume de France, dont Marculphe l. 1. c. 21. nous a conservé la formule, suivant laquelle l ’ on ne pouvoit plaider par Procureur, sans la pernission du Roy. De sorte qu ’ à l ’ effet de pouvoir exercer cette qualité d ’ Advoüez et de Défen-seurs, il leur falloit obtenir l ’ aggrément du Roy. L ’ Histoire nous apprend que dans la suite ces Vidames et ces Avocats en userent fort mal ; mais cela n ’ est pas de mon sujet.",coutume,TITRE DE JURISDICTION.,XIII.
marculphe,Marcoul (0490?-0558 ; saint),http://data.bnf.fr/ark:/12148/cb15607656v,http://www.idref.fr/186330057/id,0490-01-01,0490-01-01,0558-01-01,0558-01-01,4,basnage,"Les gens d ’ Eglise obrintent encore une seconde grate, qui fut qu ’ aucun Juge public, ni seculier ne tiendroit ses Assises, ou ses Pleds dans les maisons qui leur appartenoients t nullus judex publicus ad causas audiendas, aut freda undique exigenda a quocumque tempore non presumat ingredi ;",Marculp.,"de immunit. Regia. Dans le t. de immun. aux Decret. on n ’ a pas manqué d ’ employer ce privilege, ut in domibus Ecclesiarum, neque Missus, neque Comes vel udex publicus, quasi pro consuetudine placita teneant, sed in publicis locis domos constituant quibus placitum teneant.","Les gens d ’ Eglise obrintent encore une seconde grate, qui fut qu ’ aucun Juge public, ni seculier ne tiendroit ses Assises, ou ses Pleds dans les maisons qui leur appartenoients t nullus judex publicus ad causas audiendas, aut freda undique exigenda a quocumque tempore non presumat ingredi ; Marculp. de immunit. Regia. Dans le t. de immun. aux Decret. on n ’ a pas manqué d ’ employer ce privilege, ut in domibus Ecclesiarum, neque Missus, neque Comes vel udex publicus, quasi pro consuetudine placita teneant, sed in publicis locis domos constituant quibus placitum teneant.",coutume,TITRE DE JURISDICTION.,XIII.
marculphe,Marcoul (0490?-0558 ; saint),http://data.bnf.fr/ark:/12148/cb15607656v,http://www.idref.fr/186330057/id,0490-01-01,0490-01-01,0558-01-01,0558-01-01,5,basnage,Nous trouvons dans,Marculphe,"l. 1. c. 17. la confirmation d ’ une donation de certains heritages fiscaux, faite en ces termeé, absque ullius introitu judicum, de quibustibet caufis ad frecta exigenda.","Nous trouvons dans Marculphe l. 1. c. 17. la confirmation d ’ une donation de certains heritages fiscaux, faite en ces termeé, absque ullius introitu judicum, de quibustibet caufis ad frecta exigenda.",coutume,TITRE DE JURISDICTION.,XIII.
marculphe,Marcoul (0490?-0558 ; saint),http://data.bnf.fr/ark:/12148/cb15607656v,http://www.idref.fr/186330057/id,0490-01-01,0490-01-01,0558-01-01,0558-01-01,6,basnage,"vetrus Dominici n ’ est pas du sentiment de M Bignon, de Prarog. Alod. c. 8. Il estime que fiscus, & bona fiscalia, n ’ étoient point la même chose que les benefices, et qu ’ en France, et particulierement sous la première Race de nos Rois, il y avoit trois. sortes de biens. Nos Rois avoient comme les Empereurs Romains fundos patrimoniales, leurs fonds patrimoniaux qu ’ ils donnoient en Emphyteose sous de certaines pensions, et ceux qui les prenoient sont appellez par les Ecrivains de ce siecle-là, Coloni fiscales, et Coloni Regii, qui et. Mansorii diountur apud Marculplium l. 2. Et ils étoient de condition différente, les uns libres, et les au-tres serfs. Les Rois mêmes donnoient quelquefois des héritages en proprieté. On trouve dans",Marculphe,"la confirmation de biens fiscaux qui avoient êté donnez en proprieté ; voicy les termes ; ut ipse et posteriores ejus eam teneant & possideant, et cui voluerint ad possidendum relinquant, vel quidquid exinde facere voluerint ex nostro permissu libero perfruantur arbitrio.","vetrus Dominici n ’ est pas du sentiment de M Bignon, de Prarog. Alod. c. 8. Il estime que fiscus, & bona fiscalia, n ’ étoient point la même chose que les benefices, et qu ’ en France, et particulierement sous la première Race de nos Rois, il y avoit trois. sortes de biens. Nos Rois avoient comme les Empereurs Romains fundos patrimoniales, leurs fonds patrimoniaux qu ’ ils donnoient en Emphyteose sous de certaines pensions, et ceux qui les prenoient sont appellez par les Ecrivains de ce siecle-là, Coloni fiscales, et Coloni Regii, qui et. Mansorii diountur apud Marculplium l. 2. Et ils étoient de condition différente, les uns libres, et les au-tres serfs. Les Rois mêmes donnoient quelquefois des héritages en proprieté. On trouve dans Marculphe la confirmation de biens fiscaux qui avoient êté donnez en proprieté ; voicy les termes ; ut ipse et posteriores ejus eam teneant & possideant, et cui voluerint ad possidendum relinquant, vel quidquid exinde facere voluerint ex nostro permissu libero perfruantur arbitrio.",coutume,DES FIEFS ET DROITS FEODAUX,introduction
marculphe,Marcoul (0490?-0558 ; saint),http://data.bnf.fr/ark:/12148/cb15607656v,http://www.idref.fr/186330057/id,0490-01-01,0490-01-01,0558-01-01,0558-01-01,7,basnage,"Mr Bignon dans un passage, dont j ’ ay déja parlé ailleurs, a expliqué fort nettement la nature et la qualité des biens alodiaux, sur ces paroles de",Marculphe,", l. 1. c. 2. aut super proprietate aut uper fisco his verbis duae notantur bonorum species, et velut maximâ rerum divisio, que ex eo seculo vecepta erat. (Marculphe vivoit sous le Roy Dagobert dans le septiéme siecle.) Omnia namque predia aut propria érant aut fiscalia : propria seu proprietates dicebantur, que nullius juri obnoxia essent, sed optimo & maximo jure possidebantur, ideoque ad heredes transibant : fiscalia verb, sive fisci vocabant, que à Rege ut plurimum, posteaque ab aliis ita concedebantur, ut certis legibus servitii obnoxia cum vita accipientis finirentur.","Mr Bignon dans un passage, dont j ’ ay déja parlé ailleurs, a expliqué fort nettement la nature et la qualité des biens alodiaux, sur ces paroles de Marculphe, l. 1. c. 2. aut super proprietate aut uper fisco his verbis duae notantur bonorum species, et velut maximâ rerum divisio, que ex eo seculo vecepta erat. (Marculphe vivoit sous le Roy Dagobert dans le septiéme siecle.) Omnia namque predia aut propria érant aut fiscalia : propria seu proprietates dicebantur, que nullius juri obnoxia essent, sed optimo & maximo jure possidebantur, ideoque ad heredes transibant : fiscalia verb, sive fisci vocabant, que à Rege ut plurimum, posteaque ab aliis ita concedebantur, ut certis legibus servitii obnoxia cum vita accipientis finirentur.",coutume,DES FIEFS ET DROITS FEODAUX,CII. Definition de Franc-Aleu.
marculphe,Marcoul (0490?-0558 ; saint),http://data.bnf.fr/ark:/12148/cb15607656v,http://www.idref.fr/186330057/id,0490-01-01,0490-01-01,0558-01-01,0558-01-01,8,basnage,"Mr Bignon dans un passage, dont j ’ ay déja parlé ailleurs, a expliqué fort nettement la nature et la qualité des biens alodiaux, sur ces paroles de Marculphe, l. 1. c. 2. aut super proprietate aut uper fisco his verbis duae notantur bonorum species, et velut maximâ rerum divisio, que ex eo seculo vecepta erat. (",Marculphe,"vivoit sous le Roy Dagobert dans le septiéme siecle.) Omnia namque predia aut propria érant aut fiscalia : propria seu proprietates dicebantur, que nullius juri obnoxia essent, sed optimo & maximo jure possidebantur, ideoque ad heredes transibant : fiscalia verb, sive fisci vocabant, que à Rege ut plurimum, posteaque ab aliis ita concedebantur, ut certis legibus servitii obnoxia cum vita accipientis finirentur.","Mr Bignon dans un passage, dont j ’ ay déja parlé ailleurs, a expliqué fort nettement la nature et la qualité des biens alodiaux, sur ces paroles de Marculphe, l. 1. c. 2. aut super proprietate aut uper fisco his verbis duae notantur bonorum species, et velut maximâ rerum divisio, que ex eo seculo vecepta erat. (Marculphe vivoit sous le Roy Dagobert dans le septiéme siecle.) Omnia namque predia aut propria érant aut fiscalia : propria seu proprietates dicebantur, que nullius juri obnoxia essent, sed optimo & maximo jure possidebantur, ideoque ad heredes transibant : fiscalia verb, sive fisci vocabant, que à Rege ut plurimum, posteaque ab aliis ita concedebantur, ut certis legibus servitii obnoxia cum vita accipientis finirentur.",coutume,DES FIEFS ET DROITS FEODAUX,CII. Definition de Franc-Aleu.
marculphe,Marcoul (0490?-0558 ; saint),http://data.bnf.fr/ark:/12148/cb15607656v,http://www.idref.fr/186330057/id,0490-01-01,0490-01-01,0558-01-01,0558-01-01,9,basnage,"D ’ Argentré, Coûtume de Bretagne, Article 332. Chassanée, titre des fiefs, tab. 3. Manibus dati nore antiquo fidelitas promittebatur : Dans",Marculphe,", l. 1. Form. 18. in manu nostra Trustem et idelitatem visus est conjurasse. Trustem, id est, fidem, et Antrustio est fidelis : Vide, plura apud Bignonem.","D ’ Argentré, Coûtume de Bretagne, Article 332. Chassanée, titre des fiefs, tab. 3. Manibus dati nore antiquo fidelitas promittebatur : Dans Marculphe, l. 1. Form. 18. in manu nostra Trustem et idelitatem visus est conjurasse. Trustem, id est, fidem, et Antrustio est fidelis : Vide, plura apud Bignonem.",coutume,DES FIEFS ET DROITS FEODAUX,CVII. La forme de l ’ hommage.
marculphe,Marcoul (0490?-0558 ; saint),http://data.bnf.fr/ark:/12148/cb15607656v,http://www.idref.fr/186330057/id,0490-01-01,0490-01-01,0558-01-01,0558-01-01,10,basnage,"Les premiers Empereurs Chrêtiens qui en connoissoient l ’ importance ne donnoient cette exemption que pour les charges et les services personnels. M. Bignon a fait cette observation, que nos Rois ont été les premiers qui les ont accordez tres-amples, et qu ’ ils en ont donné l ’ exemple aux autres Princes. In not. Ad lib. c. 3.",Marculphi,", on trouve dans Marculphe plusieurs modéles de ces immunitez ou émunitez, comme cet Auteur les appelle : mais appa-remment nos Rois ne les donnoient dans le commencement que pour des terres alodiales, dont les proprietaires n ’ étoient sujets à aucuns services militaires, et par cette raison elles n ’ étoient pas préjudiciables à l ’ Etat. Mais il est toûjours véritable que sous les Empereurs","Les premiers Empereurs Chrêtiens qui en connoissoient l ’ importance ne donnoient cette exemption que pour les charges et les services personnels. M. Bignon a fait cette observation, que nos Rois ont été les premiers qui les ont accordez tres-amples, et qu ’ ils en ont donné l ’ exemple aux autres Princes. In not. Ad lib. c. 3. Marculphi, on trouve dans Marculphe plusieurs modéles de ces immunitez ou émunitez, comme cet Auteur les appelle : mais appa-remment nos Rois ne les donnoient dans le commencement que pour des terres alodiales, dont les proprietaires n ’ étoient sujets à aucuns services militaires, et par cette raison elles n ’ étoient pas préjudiciables à l ’ Etat. Mais il est toûjours véritable que sous les Empereurs",coutume,DES FIEFS ET DROITS FEODAUX,CXL.
