ID,Auteur,N°,Témoin,Contexte G,Mention,Contexte D,Paragraphe,Partie,Chapitre,Section
aristote,Aristote,1,basnage,,Aristote,,"L ’ échange, suivant le sentiment d ’, Polit. l. 1. c. 9. n ’ est point une negociation pour avoir de l ’ argent, mais pour avoir ce qui nous est necessaire ou commode ; c ’ est un commerce par le moyen duquel nous pouvons avoir les choses qui nous manquent, en baillant celles qui nous sont moins propres ; ainsi l ’ affection et la commodité tenant lieu de prix dans l ’ échange, la lesion ne doit jamais y être considerée.",coutume,TITRE DE JURISDICTION.,III.
aristote,Aristote,2,basnage,,Aristote,,"La Coûtume qui punit indistinctement ceux qui se sont défaits eux-mêmes, quand ils ne se sont point portez à cet attentat par la force d ’ une maladie ou d ’ une frenesie, ou par quelqu ’ autre accident, n ’ auroit pas été approuvée par les Philosophes Stoiques, Si necessitates ulti-mae inciderint, jamdudum exiliet e vita et molestuis sibi esse destinet., Ep. 11. Le sentiment d ’ étoit plus conforme au Christianisme : Il estimoit qu ’ il étoit plus genereux de soûtenir les coups de la mauvaise fortune, que d ’ abandonner la vie par desespoir et par la crainte du mal : Fortium virorum est magis mortem contemnere quam odisse vitam. 1. et. l. 3. Hist. majore animo tolerari adversa quâm relinqui, fortes et strenuos etiam contra fortunam insistere spei, timidos. & ignavos ad desperationem formidine properare La Loy civil n ’ ordonnoit aucune punition que contre ceux qui se défaisoient eux, mêmes, étant prévenus de crime, siquis non metu criminis imminentis, sed tadio vitae vel impatientiâ doloris violentas manus sibi intulit, ejus testamentum aperiri & recitari mortis casus non impedit, l. 1. 8. iquis non metu. D. de Senat. Syllan. La pauvreté est la cause la plus ordinaire qui porte les hommes à racourcir leurs jours : dans une Epigramme raille agreablement un Stoique, n luy reprochant que sa misere, plûtost que sa generosité, luy faisoit mépriser la mort.",coutume,DES FIEFS ET DROITS FEODAUX,CXLIX.
aristote,Aristote,3,basnage,,Arist,,"Pour la mere et l ’ enfant on disoit que les Jurisconsultes et les Medecins n ’ ont point défini précisément le temps de la naissance d ’ un homme, solus homo ex omnium animalium genere varia generationis tempora & nascendi obtinet.. de Nat. anim. l. 7. c. 7. On apprend d ’ que Flaminia, dont la conduite étoit sans reproche, et la vertu fort connuë, honestis moribus G non ambiguâ pudicitiâ, ayant accouché onze mois aprés la mort de son mary, elle plaida longtemps contre les heritiers, touchant la legitimité de l ’ enfant, mais enfin l ’ Empereur Adrien jugea que l ’ enfant né à onze mois pouvoit être legitime. remarque au lieu préallégué que diverses sortes d ’ animaux conçoivent et produisent leurs petits en divers temps. Les Elephans portent deux ans ; les Chameaux quatre mois ; les Jumens neuf ; et les Femmes produisent leurs enfans à sept, huit, neuf, dix, et onze mois., l. 4. 4. 30. en son Traité de l ’ Anatomie, dit que, comme l ’ enfantement peut s ’ avanceri et l ’ enfant naître parfait à sept mois, plusieurs accidents peuvent aussi retarder les couches d ’ une femme, et que la tristesse de la mère, sa foiblesse ou celle de l ’ enfant peuvent causer ce retardement : Il n ’ est pas même vraysemblable que dans les premiers jours de sa perte, lorsque les plus insensibles ne peuvent s ’ empescher de verser des larmes, une femme conçoive la pensée d ’ une prostitution si honteuse Les heritiers répondoient que le scandale qu ’ elle avoit causé durant son mariage par sa mauvaise conduite, faisoit aisement présumer la continuation de sa débauche : La maladie de son mary qui avoit été grande et qui avoit duré plus d ’ un mois, ne souffroit pas que l ’ on présumât que cet enfant fût de ses oeuvres. Ce seroit un grand abus de rendre incertain le temps. de la naissance ; l ’ a fixé dans la l. 3. 8. post decem ff. de suis et leg. hered. post decem menses natus non admittitur ad hereditatem. Et la l. quidam C. de posthum. post decem menses à morte patris natus non censetur legitimus, quia longissimum putabatur & olim pariendi tempus. Voyez phon et sur la naissance d ’ Agesilalls et de Leotichydes. limite la naissance de l ’ enfant à dix mois, de Naturâ pueri. Dans Neptuné parlant à la Nymphe qu ’ il avoit caressée, luy promet qu ’ elle accouchera avant que l ’ an eût fait son tout MOTGREC MOTGREC MOTGREC ; MOTGREC MOTGREC ’ MOTGREC",coutume,DE SUCCESSIONS EN PROPRE,CCXXXV. Temps et acte de l ’ adition d ’ heredité.
aristote,Aristote,4,basnage,,Aristote,,"Pour la mere et l ’ enfant on disoit que les Jurisconsultes et les Medecins n ’ ont point défini précisément le temps de la naissance d ’ un homme, solus homo ex omnium animalium genere varia generationis tempora & nascendi obtinet.. de Nat. anim. l. 7. c. 7. On apprend d ’ que Flaminia, dont la conduite étoit sans reproche, et la vertu fort connuë, honestis moribus G non ambiguâ pudicitiâ, ayant accouché onze mois aprés la mort de son mary, elle plaida longtemps contre les heritiers, touchant la legitimité de l ’ enfant, mais enfin l ’ Empereur Adrien jugea que l ’ enfant né à onze mois pouvoit être legitime. remarque au lieu préallégué que diverses sortes d ’ animaux conçoivent et produisent leurs petits en divers temps. Les Elephans portent deux ans ; les Chameaux quatre mois ; les Jumens neuf ; et les Femmes produisent leurs enfans à sept, huit, neuf, dix, et onze mois., l. 4. 4. 30. en son Traité de l ’ Anatomie, dit que, comme l ’ enfantement peut s ’ avanceri et l ’ enfant naître parfait à sept mois, plusieurs accidents peuvent aussi retarder les couches d ’ une femme, et que la tristesse de la mère, sa foiblesse ou celle de l ’ enfant peuvent causer ce retardement : Il n ’ est pas même vraysemblable que dans les premiers jours de sa perte, lorsque les plus insensibles ne peuvent s ’ empescher de verser des larmes, une femme conçoive la pensée d ’ une prostitution si honteuse Les heritiers répondoient que le scandale qu ’ elle avoit causé durant son mariage par sa mauvaise conduite, faisoit aisement présumer la continuation de sa débauche : La maladie de son mary qui avoit été grande et qui avoit duré plus d ’ un mois, ne souffroit pas que l ’ on présumât que cet enfant fût de ses oeuvres. Ce seroit un grand abus de rendre incertain le temps. de la naissance ; l ’ a fixé dans la l. 3. 8. post decem ff. de suis et leg. hered. post decem menses natus non admittitur ad hereditatem. Et la l. quidam C. de posthum. post decem menses à morte patris natus non censetur legitimus, quia longissimum putabatur & olim pariendi tempus. Voyez phon et sur la naissance d ’ Agesilalls et de Leotichydes. limite la naissance de l ’ enfant à dix mois, de Naturâ pueri. Dans Neptuné parlant à la Nymphe qu ’ il avoit caressée, luy promet qu ’ elle accouchera avant que l ’ an eût fait son tout MOTGREC MOTGREC MOTGREC ; MOTGREC MOTGREC ’ MOTGREC",coutume,DE SUCCESSIONS EN PROPRE,CCXXXV. Temps et acte de l ’ adition d ’ heredité.
aristote,Aristote,5,basnage,,Aristote,,"Nonobstant ces autoritez la disposition de l ’ Ordonnance peut être soûtenuë par la raison et par les exemples ; car cet empire absolu des peres sur leurs enfans n ’ est pas perpetuel en toutes choses, la nature en a limité la durée pour leurs actions morales, jusqu ’ à ce que les années les ayent rendus capables de se conduire et de se gouverner, et qu ’ ils soient en état de former une nouvelle maison, et de devenir eux-mêmes peres de familles : Ainsi les autres animaux abandonnent le soin de leurs petits lorsqu ’ ils les ont mis en état de se défendre et de chercher leur vie, magnus est amor bestiarum in educandis, custodiendisque eis quae procrearunt usque ad eum finem, dum possint se ipsa defendere, de Nat. Deo. l. 2. Et c ’ est pourquoy, suivant le sentiment d ’, Politic. l. 1. c. ult. et hic. l. 5. c. 10. Il faut considerer les enfans de famille en trois temps differens ; le premier, lorsque leur jugement est encore foible et imparfait, et qu ’ ils ne sont point encore capables de faire un discernement solide des choses ; le second, lorsqu ’ ils sont d ’ un esprit et d ’ un jugement meur ; mais ils font encore partie de la maison paternelle ; et le troisiéme, lorsqu ’ ils ont formé une famille à part, et qu ’ ils sont sortis de la maison de leurs peres. Dans le premier temps toutes leurs actions dépendent de la volonté de leurs peres :",coutume,DU DOUAIRE.,CCCLXIX. Femme quand a doüaire sur les biens du pere et ayeul de son mary.
aristote,Aristote,6,basnage,,Aristote,,"avoit apparemment emprunté cette morale des Loix de, de Pirtacus et de, dont a fait mention, l. 3. Antiq. Rom. Suivant ces Loix la puissance paternelle ne duroit que trois ans aprés la puberté, ou durant le temps que les enfans n ’ étoient point mariez, ou jusqu ’ à ce qu ’ ils fussent employez dans le rôle de ceux qui avoient atteint leur âge viril ; d ’ où l ’ on infere que lorsque les enfans de famille sont parvenus à un âge assez avancé pour se conduire avec prudence, quoy qu ’ en contractant mariage sans le consentement de leurs peres, ils blessent la pieté et manquent au devoir et à la gratitude où ils sont tenus envers eux ; neanmoins leurs mariages ne doivent pas être separez ny annullez : Cette espece de desobeïssance ne suffit pas pour rendre le mariage nul ; car encore que les Loix Romaines l ’ ordonnent de la sorte, cela n ’ est pas fondé sur le droit de la nature, mais sur la volonté des Legislateurs, non ex Natura est, sed ex juris Conditorum voluntate, ibid. n. 10. car autrement comme les enfans doivent le même respect à leur mere, le mariage contracté sans leur consentement seroit aussi nul ; et cependant par le même Droit Romain l ’ opposition ou le defaut du consentement de la part de la mere ne rend point le mariage nul, et même le fils émancipé peut se marier contre la volonté de son pere : ce que confirme aussi par l ’ exemple d ’ Esaü, dont les mariages ne furent pas annullez par son pere, ny ses enfans ne furent pas reputez illegitimes, quoy qu ’ il les desaprouvât extrémement, Vide de jure Connub. apud Batav. l. 1. c. 5. n. 10. et seq.",coutume,DU DOUAIRE.,CCCLXIX. Femme quand a doüaire sur les biens du pere et ayeul de son mary.
aristote,Aristote,7,basnage,,Aristote,,"Nos Ordonnances ont marqué le temps auquel ceux qui sont soûmis à la puissance d ’ autruy, peuvent ou ne peuvent pas contracter mariage : D ’ autre part, les Loix nous apprennent aussi à quel âge la nature rend les hommes capables des actes du mariage ; car comme il est certain que l ’ homme n ’ est pas habile pour la generation en tous les âges et en tous les états de sa vie, on les a distinguez en plusieurs parties pour marquer les temps où il en peut être capable : Les sentimens des Medecins, des Philosophes, des Legislateurs et des Jurisconsultes ont été fort differens. Les Medecins qui n ’ ont recherché que la disposition des corps et leur vertu prolifique, ont réglé l ’ âge selon la force et la diversité des temperamens, ars medica non est quaee annos numeret : et ont reculé fort loin le temps propre au mariage,. lib. 5. de Rep.. lib. 7. c. 17. politic. Le premier ne permettoit le mariage qu ’ à trente ans pour les hommes et à vingt ans pour les filles : Le fecond mettoit encore le terme plus loin pour les hommes, il falloit avoir trente-sept ans pour les mâles, pour les filles il le regloit à dix-huit ans ; mais ces Philosophes ne recherchoient pas tant le temps que l ’ on pouvoit être apable du mariage, que celuy où l ’ on pouvoit engendrer des enfans robustes et vigoureux pour le service de la Republique : Les Legislateurs ont avancé le temps, considérant principalement non ce qui arrive quelquefois, mais ce qui arrive ordinairement ; ils ont décidé que les hommes à quatorze ans et les filles à douze ans étoient capables du mariage : Les Jurisronsdlpes ont pareillement définy le temps propre au mariage aprés la puberté.",coutume,DU DOUAIRE.,CCCLXIX. Femme quand a doüaire sur les biens du pere et ayeul de son mary.
aristote,Aristote,8,basnage,,Arist,,"Nos Ordonnances ont marqué le temps auquel ceux qui sont soûmis à la puissance d ’ autruy, peuvent ou ne peuvent pas contracter mariage : D ’ autre part, les Loix nous apprennent aussi à quel âge la nature rend les hommes capables des actes du mariage ; car comme il est certain que l ’ homme n ’ est pas habile pour la generation en tous les âges et en tous les états de sa vie, on les a distinguez en plusieurs parties pour marquer les temps où il en peut être capable : Les sentimens des Medecins, des Philosophes, des Legislateurs et des Jurisconsultes ont été fort differens. Les Medecins qui n ’ ont recherché que la disposition des corps et leur vertu prolifique, ont réglé l ’ âge selon la force et la diversité des temperamens, ars medica non est quaee annos numeret : et ont reculé fort loin le temps propre au mariage,. lib. 5. de Rep.. lib. 7. c. 17. politic. Le premier ne permettoit le mariage qu ’ à trente ans pour les hommes et à vingt ans pour les filles : Le fecond mettoit encore le terme plus loin pour les hommes, il falloit avoir trente-sept ans pour les mâles, pour les filles il le regloit à dix-huit ans ; mais ces Philosophes ne recherchoient pas tant le temps que l ’ on pouvoit être apable du mariage, que celuy où l ’ on pouvoit engendrer des enfans robustes et vigoureux pour le service de la Republique : Les Legislateurs ont avancé le temps, considérant principalement non ce qui arrive quelquefois, mais ce qui arrive ordinairement ; ils ont décidé que les hommes à quatorze ans et les filles à douze ans étoient capables du mariage : Les Jurisronsdlpes ont pareillement définy le temps propre au mariage aprés la puberté.",coutume,DU DOUAIRE.,CCCLXIX. Femme quand a doüaire sur les biens du pere et ayeul de son mary.
aristote,Aristote,9,basnage,,Aristo,,"Que si la convention n ’ exprime point la portion que chaque associé doit avoir en la communauté, ils seront tous égaux, l. si non fuerint, eod. que s ’ il est dit combien chacun pren-lra, cette paction doit être gardée, pourvû qu ’ elle soit équitable ; car s ’ il étoit convenu que l ’ un auroit tout le profit, et que l ’ autre demeureroit seul chargé de toute la perte, cette consention ne pourroit valoir : Iniquissimum eest onim genus societatis, ex quâ quis damnum non eriam lucrum specter. l. 29. 8.. eod.",coutume,DU DOUAIRE.,CCCLXXXIX. Femme n ’ a communauté avec le mary.
aristote,Aristote,10,basnage,,Aristote,,"Ce n ’ étoit pas seulement dans Lacedemone qu ’ il étoit défendu de vendre ses propres :, l. 2. c. 5. et 7. et l. 6. c. 4. Politic. remarque que plusieurs autres villes avoient fait une Ordonnance pareille. Les peuples même les plus éloignez de la politesse ne souffroient point l ’ alienation des propres sans l ’ autorité du Juge et sans le consentement des proches parens, Rheinardus lib. 1. c. 5. diferent. juris Saxonici et Romani. Et n ’ est-ce pas par ce même principe que nôtre ancien Droit François a introduit cette fameuse regle Paterna paternis, Materna maternis : Car nous ne sommes pas, dit, les Seigneurs absolus de nôtre patrimoine, il appartient à nôtre famille, à nôtre postérité, et encore plus à la Republique, heredia antiqua sunt affecta linez feu gentilitati,. Cons. 7. n. 48.",coutume,DU DOUAIRE.,CCCCVIII. Remplacement du propre quand est reputé conquests.
