"","  Aulu-Gelle ","  Quinte-Curce "," Paul (saint) ","Aelius Spartianus","Alexandre Sévère","Ambroise (saint)","Anastase I","Arcadius","Aristophane","Aristote","Artemidore d'Éphèse","Augustin (saint)","Basile de Césarée (saint)","Caius Velleius Paterculus","Cassiodore","Caton","Catulle","Celse","Cicéron","Clément d'Alexandrie","Clément I","Denis d'Halicarnasse","Denis le Petit","Dioclétien","Diodore de Sicile","Flavius Vopiscus","Gélase Ier","Germain (saint)","Grégoire Ier","Grégoire III","Héliodore de Larisse","Hermogénien","Hérodote","Hippocrate","Homère","Honorius","Horace","Innocent I","Jules César","Julius Firmicus Maternus","Justinien Ier","Labéon","Lampride","Léon Ier","Lucius Neratius Priscus ","Lycurgue","Marcellin Ammien","Marculphe","Martial","Maurus Honoratus Servius","Maximien","none","Papinien","Paulus","Pausanias","Philon d'Alexandrie","Platon","Plaute","Pline le Jeune","Plutarque","Pompée","Quintilien","Quintus Ennius","Salluste","Salvien","Scipion l'Africain","Sénèque","Sextus Pomponius","Siculus Flaccus ","Sidoine Apollinaire","Solon","Suétone","Tacite","Térence","Tertullien","Thucydide","Tiberius Catius Silius Italicus","Tite-Live ","Ulpien","Venance Fortunat","Virgile","Xénophon","Zénon"
"001___'COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY.'",1,0,3,0,2,2,1,0,0,5,0,5,0,0,7,1,0,4,11,0,0,3,0,0,0,0,0,0,1,0,0,0,2,0,3,1,0,0,3,0,12,3,3,0,0,0,1,0,0,1,0,0,4,0,0,0,9,2,6,14,0,1,0,1,0,0,2,0,0,0,8,2,7,1,0,0,0,2,5,0,1,0,0
"001___'COUTUME DE NORMANDIE.'",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,26,0,0,0,0,0,0,12,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,4,0,1,0,0
"001___'coutume'",5,0,5,0,0,4,1,5,0,12,0,13,3,0,1,1,1,2,17,0,0,2,0,3,1,0,4,1,3,1,0,0,0,0,3,4,0,0,4,0,95,9,0,3,2,0,1,21,1,1,0,7,53,17,0,2,9,5,5,2,0,2,0,2,2,3,6,0,1,0,6,2,8,5,7,0,0,1,30,0,4,1,0
"001___'DECISIONS SUR CHAQUE ARTICLE DE LA COUTUME DE NORMANDIE.'",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"001___'LIVRE PREMIER QVI EST, DE LA IVSTICE ET DV droict des Normans.'",0,0,2,0,1,0,0,0,0,4,0,2,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0
"002___'LIVRE SECOND. QVI EST, DV DROICT ET Estat des personnes.'",0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"003___'LIVRE TROISIESME QVI EST DES MAGISTRATS ET officiers ordinaires de la Iustice.'",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"004___'LIVRE QVATRIEME. QVI EST DES DROICTS ET DEMAIne du Roy, et de la chose publique.'",0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"005___'LIVRE CINQVIEME, QVI EST, DE LA DIFFERENCE DES biens, de teneures et droicts seigneuriaux.'",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"006___'LIVRE SIXIEME QVI EST, DE SVCCESSION ET partages d ’ héritage.'",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
