"","basnage","berault","merville","pesnelle","terrien"
"-0004",7,2,2,1,1
"-0019",0,1,0,0,0
"-0030",3,0,0,0,0
"-0050",10,3,0,0,1
"-0059",2,2,0,0,0
"-0065",1,0,0,0,3
"-0070",5,1,0,1,3
"-0075",1,0,0,0,0
"-0086",3,1,0,0,0
"-0087",2,0,0,0,0
"-0090",4,1,0,0,0
"-0100",5,3,0,1,2
"-0106",18,11,0,2,41
"-0190",6,1,0,0,0
"-0235",4,0,0,0,0
"-0239",1,0,0,0,0
"-0254",6,2,0,0,1
"-0384",13,6,0,0,8
"-0390",1,0,0,0,0
"-0427",10,9,0,0,3
"-0430",2,0,0,0,1
"-0445",1,0,0,0,0
"-0460",2,0,0,0,0
"-0484",1,2,0,0,0
"-0640",7,8,0,0,1
"-0800",4,3,0,0,1
"0025",1,0,0,0,0
"0030",3,1,0,0,1
"0040",2,0,0,0,2
"0046",3,14,0,1,8
"0055",9,7,0,5,2
"0061",6,6,0,0,13
"0069",6,5,0,0,2
"0099",11,3,0,1,6
"0123",6,1,0,0,3
"0142",54,4,0,1,0
"0150",1,0,0,0,0
"0155",8,0,0,0,2
"0160",31,5,0,4,5
"0199",25,4,0,1,13
"0208",0,3,0,0,2
"0245",4,0,0,0,1
"0250",1,0,0,0,1
"0299",11,0,0,0,0
"0329",4,0,0,0,0
"0330",2,1,0,0,0
"0340",5,2,0,0,1
"0354",14,5,0,0,5
"0363",2,1,0,0,1
"0377",6,0,0,0,0
"0384",5,1,0,0,0
"0390",3,0,0,0,0
"0399",7,4,0,0,0
"0430",1,0,0,0,0
"0431",3,1,0,0,0
"0482",96,12,1,26,3
"0490",24,7,0,13,0
"0497",1,0,0,0,0
"0499",7,0,0,0,0
"0530",1,0,0,0,0
"0540",6,1,0,1,0
