"","basnage","berault","merville","pesnelle","terrien"
"001___'COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY.'",0,140,0,0,0
"001___'COUTUME DE NORMANDIE.'",0,0,0,58,0
"001___'coutume'",409,0,0,0,0
"001___'DECISIONS SUR CHAQUE ARTICLE DE LA COUTUME DE NORMANDIE.'",0,0,3,0,0
"001___'LIVRE PREMIER QVI EST, DE LA IVSTICE ET DV droict des Normans.'",0,0,0,0,36
"002___'LIVRE SECOND. QVI EST, DV DROICT ET Estat des personnes.'",0,0,0,0,8
"003___'LIVRE TROISIESME QVI EST DES MAGISTRATS ET officiers ordinaires de la Iustice.'",0,0,0,0,5
"004___'LIVRE QVATRIEME. QVI EST DES DROICTS ET DEMAIne du Roy, et de la chose publique.'",0,0,0,0,10
"005___'LIVRE CINQVIEME, QVI EST, DE LA DIFFERENCE DES biens, de teneures et droicts seigneuriaux.'",0,0,0,0,2
"006___'LIVRE SIXIEME QVI EST, DE SVCCESSION ET partages d ’ héritage.'",0,0,0,0,4
"007___'LIVRE SEPTIEME, QVI EST, D ’ OBLIGATIONS et contracts.'",0,0,0,0,1
"008___'LIVRE HVITIEME, QVI EST, D ’ ACTIONS, QVERELLES, ou clameurs.'",0,0,0,0,8
"009___'LIVRE NEVFIEME, QVI EST, DE L ’ ORDRE ET STYLE de proceder és Cours inferieures. Et premièrement és matieres ciuiles, et en première instance.'",0,0,0,0,8
"010___'LIVRE DIXIEME, QVI, EST, DES IVGEMENS ET SENtences, et de l ’ execution tant d ’ icelles sentences, que de lettres obligatoires.'",0,0,0,0,9
"011___'LIVRE ONZIEME, QVI EST, D ’ APPELLATIONS ET DOleances en matieres ciuiles, à sortir deuant les Iuges suiets à la Cour.'",0,0,0,0,4
"012___'LIVRE DOVZIEME, QVI EST, DES CRIMES ET PROcez criminels.'",0,0,0,0,32
"014___'LIVRE QVATORZIEME QVI EST, DES EAVX, ET FORESTS.'",0,0,0,0,8
"015___'LIVRE QVINZIEME QVI EST, DE LA COVR DE PARLEMENT et Style de proceder en icelle.'",0,0,0,0,1
"1",79,4,0,0,0
"12",0,0,0,0,1
